tarih,f_ticari_tl,f_ticari_dar,f_ihtiyac,f_konut,f_tasit,f_tuketici,mev_tl,kat_ticari,kat_tuketici,politika,aofm,aofm_kaynak_gun,koridor_alt,koridor_ust,aofm_taban_mn_tl,aofm_gecerli,aofm_ham,makas_kredi_mevduat,spread_politika,spread_aofm,pka_12a,pka_yas_gun,reel_ticari,reel_ticari_yaklasik,reel_tuketici,reel_tuketici_yaklasik,reel_mevduat,reel_mevduat_yaklasik
2007-02-09,20.12,,24.88,20.38,21.74,23.16,18.26,,,,,yok,,,,False,,1.8599999999999994,,,,,,,,,,
2007-02-16,19.43,,24.45,19.78,21.26,22.65,18.24,,,,,yok,,,,False,,1.1900000000000013,,,,,,,,,,
2007-02-23,19.49,,24.77,19.68,20.93,22.75,18.29,,,,,yok,,,,False,,1.1999999999999993,,,,,,,,,,
2007-03-02,19.11,,24.8,19.68,20.53,22.6,18.31,,,,,yok,,,,False,,0.8000000000000007,,,,,,,,,,
2007-03-09,19.94,,24.63,19.47,20.6,22.49,18.21,,,,,yok,,,,False,,1.7300000000000004,,,,,,,,,,
2007-03-16,19.37,,24.38,19.48,20.27,22.36,18.1,,,,,yok,,,,False,,1.2699999999999996,,,,,,,,,,
2007-03-23,18.93,,24.42,19.23,20.11,22.18,17.96,,,,,yok,,,,False,,0.9699999999999989,,,,,,,,,,
2007-03-30,19.14,,24.65,19.42,19.8,22.36,18.12,,,,,yok,,,,False,,1.0199999999999996,,,,,,,,,,
2007-04-06,19.4,,24.19,19.1,19.85,22.0,18.17,,,,,yok,,,,False,,1.2299999999999969,,,,,,,,,,
2007-04-13,19.12,,23.56,19.18,19.92,21.67,18.07,,,,,yok,,,,False,,1.0500000000000007,,,,,,,,,,
2007-04-20,21.21,,22.94,19.36,19.73,21.35,18.09,,,,,yok,,,,False,,3.120000000000001,,,,,,,,,,
2007-04-27,19.19,,23.1,19.54,19.7,21.62,18.09,,,,,yok,,,,False,,1.1000000000000014,,,,,,,,,,
2007-05-04,19.15,,23.1,19.08,19.64,21.35,18.13,,,,,yok,,,,False,,1.0199999999999996,,,,,,,,,,
2007-05-11,18.85,,23.23,19.14,19.89,21.56,18.2,,,,,yok,,,,False,,0.6500000000000021,,,,,,,,,,
2007-05-18,18.98,,22.75,18.67,19.69,21.09,18.1,,,,,yok,,,,False,,0.879999999999999,,,,,,,,,,
2007-05-25,19.64,,23.25,18.07,19.53,21.0,17.92,,,,,yok,,,,False,,1.7199999999999989,,,,,,,,,,
2007-06-01,18.12,,23.33,18.11,19.21,21.22,18.03,,,,,yok,,,,False,,0.08999999999999986,,,,,,,,,,
2007-06-08,18.98,,23.87,17.98,19.57,20.98,18.03,,,,,yok,,,,False,,0.9499999999999993,,,,,,,,,,
2007-06-15,18.67,,24.06,18.11,19.78,21.33,18.07,,,,,yok,,,,False,,0.6000000000000014,,,,,,,,,,
2007-06-22,19.18,,23.37,18.08,19.53,21.08,17.9,,,,,yok,,,,False,,1.2800000000000011,,,,,,,,,,
2007-06-29,18.99,,23.09,17.88,19.54,20.92,17.93,,,,,yok,,,,False,,1.0599999999999987,,,,,,,,,,
2007-07-06,19.12,,22.88,17.59,19.46,20.65,17.96,,,,,yok,,,,False,,1.1600000000000001,,,,,,,,,,
2007-07-13,18.56,,22.57,17.66,19.48,20.57,18.03,,,,,yok,,,,False,,0.5299999999999976,,,,,,,,,,
2007-07-20,18.88,,22.36,17.31,19.44,20.26,17.95,,,,,yok,,,,False,,0.9299999999999997,,,,,,,,,,
2007-07-27,18.93,,24.35,17.15,18.98,21.5,17.95,,,,,yok,,,,False,,0.9800000000000004,,,,,,,,,,
2007-08-03,18.1,,22.37,17.06,18.72,20.06,17.9,,,,,yok,,,,False,,0.20000000000000284,,,,,,,,,,
2007-08-10,18.78,,22.17,17.03,18.75,20.08,17.7,,,,,yok,,,,False,,1.0800000000000018,,,,,,,,,,
2007-08-17,17.82,,21.88,16.98,18.6,19.8,17.81,,,,,yok,,,,False,,0.010000000000001563,,,,,,,,,,
2007-08-24,18.87,,21.99,17.05,18.53,19.86,17.85,,,,,yok,,,,False,,1.0199999999999996,,,,,,,,,,
2007-08-31,17.41,,21.94,17.48,18.48,20.13,17.8,,,,,yok,,,,False,,-0.39000000000000057,,,,,,,,,,
2007-09-07,18.79,,21.99,17.46,18.32,20.13,17.83,,,,,yok,,,,False,,0.9600000000000009,,,,,,,,,,
2007-09-14,18.47,,21.89,17.59,18.59,20.09,17.82,,,,,yok,,,,False,,0.6499999999999986,,,,,,,,,,
2007-09-21,18.19,,24.59,17.49,18.56,21.74,17.72,,,,,yok,,,,False,,0.4700000000000024,,,,,,,,,,
2007-09-28,17.9,,21.55,17.79,18.41,20.06,17.64,,,,,yok,,,,False,,0.259999999999998,,,,,,,,,,
2007-10-05,18.44,,21.11,17.43,18.43,19.88,17.58,,,,,yok,,,,False,,0.860000000000003,,,,,,,,,,
2007-10-12,18.72,,20.74,17.66,18.41,19.82,17.44,,,,,yok,,,,False,,1.2799999999999976,,,,,,,,,,
2007-10-19,17.45,,21.24,16.81,18.39,19.73,17.3,,,,,yok,,,,False,,0.14999999999999858,,,,,,,,,,
2007-10-26,17.24,,22.16,17.17,18.15,20.08,17.07,,,,,yok,,,,False,,0.16999999999999815,,,,,,,,,,
2007-11-02,17.96,,22.38,17.85,17.86,20.37,17.02,,,,,yok,,,,False,,0.9400000000000013,,,,,,,,,,
2007-11-09,18.06,,21.99,17.03,18.0,19.78,16.94,,,,,yok,,,,False,,1.1199999999999974,,,,,,,,,,
2007-11-16,16.9,,20.82,16.68,17.9,19.17,16.76,,,,,yok,,,,False,,0.13999999999999702,,,,,,,,,,
2007-11-23,17.78,,20.38,16.57,17.43,18.91,16.71,,,,,yok,,,,False,,1.0700000000000003,,,,,,,,,,
2007-11-30,16.46,,20.15,16.58,17.04,18.71,16.91,,,,,yok,,,,False,,-0.4499999999999993,,,,,,,,,,
2007-12-07,17.92,,20.15,16.52,16.99,18.58,16.84,,,,,yok,,,,False,,1.0800000000000018,,,,,,,,,,
2007-12-14,17.1,,19.53,16.61,16.85,18.34,16.82,,,,,yok,,,,False,,0.28000000000000114,,,,,,,,,,
2007-12-21,18.05,,19.3,16.77,16.77,18.3,16.7,,,,,yok,,,,False,,1.3500000000000014,,,,,,,,,,
2007-12-28,17.26,,19.22,16.21,16.53,17.97,17.07,,,,,yok,,,,False,,0.19000000000000128,,,,,,,,,,
2008-01-04,17.24,,19.66,16.8,16.46,18.36,16.9,,,,,yok,,,,False,,0.33999999999999986,,,,,,,,,,
2008-01-11,16.69,,19.86,16.51,17.03,18.61,16.65,,,,,yok,,,,False,,0.0400000000000027,,,,,,,,,,
2008-01-18,17.13,,19.95,16.46,16.83,18.52,16.43,,,,,yok,,,,False,,0.6999999999999993,,,,,,,,,,
2008-01-25,18.0,,19.86,16.25,16.85,18.38,16.27,,,,,yok,,,,False,,1.7300000000000004,,,,,,,,,,
2008-02-01,16.85,,19.98,16.29,16.88,18.35,16.35,,,,,yok,,,,False,,0.5,,,,,,,,,,
2008-02-08,17.69,,19.49,16.13,16.85,18.11,16.38,,,,,yok,,,,False,,1.3100000000000023,,,,,,,,,,
2008-02-15,16.56,,20.04,16.38,16.98,18.32,16.21,,,,,yok,,,,False,,0.34999999999999787,,,,,,,,,,
2008-02-22,17.23,,19.85,16.51,17.03,18.42,16.16,,,,,yok,,,,False,,1.0700000000000003,,,,,,,,,,
2008-02-29,15.92,,20.32,16.62,16.96,18.69,16.07,,,,,yok,,,,False,,-0.15000000000000036,,,,,,,,,,
2008-03-07,17.23,,20.69,16.63,17.51,18.89,16.4,,,,,yok,,,,False,,0.8300000000000018,,,,,,,,,,
2008-03-14,16.48,,20.44,16.74,17.28,18.67,16.22,,,,,yok,,,,False,,0.26000000000000156,,,,,,,,,,
2008-03-21,17.49,,20.59,17.5,17.99,19.23,16.17,,,,,yok,,,,False,,1.3199999999999967,,,,,,,,,,
2008-03-28,16.95,,20.79,18.24,18.25,19.72,16.29,,,,,yok,,,,False,,0.6600000000000001,,,,,,,,,,
2008-04-04,17.54,,21.09,18.12,18.48,19.85,16.4,,,,,yok,,,,False,,1.1400000000000006,,,,,,,,,,
2008-04-11,17.02,,21.44,17.99,18.99,19.99,16.3,,,,,yok,,,,False,,0.7199999999999989,,,,,,,,,,
2008-04-18,17.68,,20.62,17.98,18.97,19.62,16.24,,,,,yok,,,,False,,1.4400000000000013,,,,,,,,,,
2008-04-25,17.33,,20.84,18.14,18.61,19.83,16.25,,,,,yok,,,,False,,1.0799999999999983,,,,,,,,,,
2008-05-02,16.51,,20.6,17.99,18.57,19.59,16.49,,,,,yok,,,,False,,0.020000000000003126,,,,,,,,,,
2008-05-09,17.42,,20.72,17.66,19.02,19.65,16.58,,,,,yok,,,,False,,0.8400000000000034,,,,,,,,,,
2008-05-16,17.96,,20.59,17.55,18.86,19.39,16.66,,,,,yok,,,,False,,1.3000000000000007,,,,,,,,,,
2008-05-23,17.89,,20.76,16.95,18.72,19.33,16.84,,,,,yok,,,,False,,1.0500000000000007,,,,,,,,,,
2008-05-30,17.75,,21.09,17.11,18.71,19.62,17.1,,,,,yok,,,,False,,0.6499999999999986,,,,,,,,,,
2008-06-06,17.74,,20.83,17.24,18.8,19.56,17.13,,,,,yok,,,,False,,0.6099999999999994,,,,,,,,,,
2008-06-13,17.89,,20.93,17.38,18.96,19.53,17.29,,,,,yok,,,,False,,0.6000000000000014,,,,,,,,,,
2008-06-20,18.76,,21.19,17.68,19.16,19.86,17.47,,,,,yok,,,,False,,1.2900000000000027,,,,,,,,,,
2008-06-27,18.0,,22.03,18.11,19.22,20.54,17.72,,,,,yok,,,,False,,0.28000000000000114,,,,,,,,,,
2008-07-04,18.8,,21.57,18.17,19.5,20.28,18.03,,,,,yok,,,,False,,0.7699999999999996,,,,,,,,,,
2008-07-11,17.99,,21.71,18.87,20.25,20.75,17.87,,,,,yok,,,,False,,0.11999999999999744,,,,,,,,,,
2008-07-18,18.86,,21.54,19.2,20.31,20.8,17.86,,,,,yok,,,,False,,1.0,,,,,,,,,,
2008-07-25,18.96,,22.02,19.46,20.13,21.27,17.83,,,,,yok,,,,False,,1.1300000000000026,,,,,,,,,,
2008-08-01,18.66,,22.64,19.42,19.83,21.57,17.87,,,,,yok,,,,False,,0.7899999999999991,,,,,,,,,,
2008-08-08,18.52,,22.51,19.1,20.03,21.53,17.59,,,,,yok,,,,False,,0.9299999999999997,,,,,,,,,,
2008-08-15,18.22,,22.27,18.89,20.0,21.34,17.77,,,,,yok,,,,False,,0.4499999999999993,,,,,,,,,,
2008-08-22,18.37,,21.92,19.2,19.88,21.09,17.91,,,,,yok,,,,False,,0.46000000000000085,,,,,,,,,,
2008-08-29,17.96,,21.47,18.82,19.7,20.69,17.93,,,,,yok,,,,False,,0.030000000000001137,,,,,,,,,,
2008-09-05,18.36,,22.03,19.03,19.78,21.12,17.9,,,,,yok,,,,False,,0.46000000000000085,,,,,,,,,,
2008-09-12,18.29,,21.87,18.6,19.56,20.91,17.75,,,,,yok,,,,False,,0.5399999999999991,,,,,,,,,,
2008-09-19,19.16,,20.66,18.26,19.52,20.03,17.92,,,,,yok,,,,False,,1.2399999999999984,,,,,,,,,,
2008-09-26,18.31,,20.37,18.16,19.35,19.77,18.14,,,,,yok,,,,False,,0.16999999999999815,,,,,,,,,,
2008-10-03,18.69,,21.19,18.61,19.46,20.25,17.56,,,,,yok,,,,False,,1.1300000000000026,,,,,,,,,,
2008-10-10,19.79,,21.44,18.32,19.73,20.46,18.33,,,,,yok,,,,False,,1.4600000000000009,,,,,,,,,,
2008-10-17,20.9,,22.41,18.85,20.82,21.21,18.16,,,,,yok,,,,False,,2.7399999999999984,,,,,,,,,,
2008-10-24,21.41,,22.95,19.76,21.14,21.87,18.38,,,,,yok,,,,False,,3.030000000000001,,,,,,,,,,
2008-10-31,21.44,,23.72,20.89,21.85,22.81,18.35,,,,,yok,,,,False,,3.09,,,,,,,,,,
2008-11-07,21.99,,24.93,22.29,23.58,24.33,19.13,,,,,yok,,,,False,,2.8599999999999994,,,,,,,,,,
2008-11-14,22.4,,26.3,22.57,24.3,25.42,19.25,,,,,yok,,,,False,,3.1499999999999986,,,,,,,,,,
2008-11-21,22.99,,25.02,22.74,24.36,24.55,19.23,,,,,yok,,,,False,,3.759999999999998,,,,,,,,,,
2008-11-28,22.37,,24.09,23.16,23.95,23.93,19.69,,,,,yok,,,,False,,2.6799999999999997,,,,,,,,,,
2008-12-05,23.1,,24.78,22.98,24.06,24.47,19.43,,,,,yok,,,,False,,3.6700000000000017,,,,,,,,,,
2008-12-12,20.84,,24.74,22.61,23.58,24.29,18.21,,,,,yok,,,,False,,2.629999999999999,,,,,,,,,,
2008-12-19,23.45,,24.81,22.15,21.44,24.27,19.21,,,,,yok,,,,False,,4.239999999999998,,,,,,,,,,
2008-12-26,22.3,,23.55,21.78,22.54,23.27,18.27,,,,,yok,,,,False,,4.030000000000001,,,,,,,,,,
2009-01-02,22.8,,26.26,20.67,21.59,25.11,18.05,,,,,yok,,,,False,,4.75,,,,,,,,,,
2009-01-09,22.74,,23.58,19.83,22.85,22.96,17.07,,,,,yok,,,,False,,5.669999999999998,,,,,,,,,,
