tarih,g_ar,g_ham,g_ar_13y,g_ham_13y,g_ar_52
2008-11-14,-0.003937915935980141,0.004516370437204209,3.1553478881998442,19.930551943927078,25.86972817927604
2008-11-21,-0.005755478300562666,-0.0006959387688031393,1.3933749785922434,19.903422348556887,25.52943610203695
2008-11-28,0.0009502047814688996,-0.009385306121498238,-2.5636660394191435,10.718987072764662,23.45665023774668
2008-12-05,-0.0015366045815669027,-0.0016159411782731281,-4.436804103796154,7.369390966487144,23.750139137042247
2008-12-12,0.00022599481994700632,0.0002099983847199116,-5.053859567061158,5.201105194769262,22.382157091000863
2008-12-19,-0.0031835160123917516,-0.007506475486456776,-7.259145731073657,0.2660930422186958,21.500039272507387
2008-12-26,0.0032785681653069165,0.002949755675743182,-14.96891279519652,-6.807106427915399,21.0287376824984
2009-01-02,-0.0050727001893466905,-0.003900506081202848,-17.526852260630033,-9.19348473392585,20.551124205367156
2009-01-09,-0.009445565854073745,-0.007493662538160528,-16.37509296413998,-11.79634545437529,18.533412723776866
2009-01-16,-0.0011522077198731218,0.003990440788592897,-14.669204974520166,-11.071234752323678,18.595937988876464
2009-01-23,-0.008113157115248404,-0.005840310047819708,-13.994692902209637,-15.744825996830002,17.508904083276633
2009-01-30,0.003911320749138136,0.0015462585125385342,-15.924739190821757,-12.900806085088979,16.35251916609557
2009-02-06,-0.01104972944924787,-0.009438174770734165,-15.152265909118379,-12.316506877927369,14.827081701049005
2009-02-13,0.00038536574064540474,0.001009941724016139,-13.669564033151671,-13.534405688504702,13.252176654282245
2009-02-20,-0.0021534862972384383,0.0006083539228187718,-12.411702549030856,-13.082101197016593,13.064994570753674
2009-02-27,0.004649274155243077,0.005151708674553612,-11.109757135876796,-7.866701994991998,11.557818673747056
2009-03-06,-0.00734212044873106,-0.0034283726245013524,-13.159187434263098,-8.533904666255665,10.619400612314166
2009-03-13,-0.006867461222820559,-0.005788438034798449,-15.59655470131206,-10.70839883399578,9.16742269371371
2009-03-20,0.004226473172747269,-0.000924641465660625,-13.058727198797026,-8.316143380796348,9.428304822084478
2009-03-27,0.009533761568598864,0.006984132769871643,-10.870136008322639,-6.832020956394224,8.66079740054182
2009-04-03,-0.005637612180927398,-0.008344588762225436,-11.072392644592366,-8.483597112094166,7.472250793635071
2009-04-10,0.004341921349161337,0.0009007010656958414,-6.016939333463123,-5.348007391827913,7.242124972055297
