tarih,usdtry
2017-12-04,3.9324
2017-12-05,3.9191
2017-12-06,3.8624
2017-12-07,3.8528
2017-12-08,3.8608
2017-12-11,3.8546
2017-12-12,3.8275
2017-12-13,3.8277
2017-12-14,3.839
2017-12-15,3.8323
2017-12-18,3.8591
2017-12-19,3.8507
2017-12-20,3.8349
2017-12-21,3.8342
2017-12-22,3.8223
2017-12-25,3.8113
2017-12-26,3.8087
2017-12-27,3.8029
2017-12-28,3.8197
2017-12-29,3.8104
2018-01-01,3.7719
2018-01-02,3.7719
2018-01-03,3.7652
2018-01-04,3.7617
2018-01-05,3.76
2018-01-08,3.7456
2018-01-09,3.7454
2018-01-10,3.7554
2018-01-11,3.7844
2018-01-12,3.7919
2018-01-15,3.7622
2018-01-16,3.7593
2018-01-17,3.815
2018-01-18,3.8143
2018-01-19,3.7967
2018-01-22,3.7777
2018-01-23,3.8098
2018-01-24,3.7874
2018-01-25,3.7558
2018-01-26,3.7421
2018-01-29,3.7371
2018-01-30,3.7728
2018-01-31,3.7795
2018-02-01,3.754
2018-02-02,3.7567
2018-02-05,3.7454
2018-02-06,3.7632
2018-02-07,3.7786
2018-02-08,3.7714
2018-02-09,3.8073
2018-02-12,3.8119
2018-02-13,3.8068
2018-02-14,3.7963
2018-02-15,3.7973
2018-02-16,3.7721
2018-02-19,3.7523
2018-02-20,3.7531
2018-02-21,3.7698
2018-02-22,3.7845
2018-02-23,3.7994
2018-02-26,3.7816
2018-02-27,3.7754
2018-02-28,3.7833
2018-03-01,3.7997
2018-03-02,3.8082
2018-03-05,3.8038
2018-03-06,3.8161
2018-03-07,3.8001
2018-03-08,3.7971
2018-03-09,3.8089
2018-03-12,3.8164
2018-03-13,3.8151
2018-03-14,3.856
2018-03-15,3.8597
2018-03-16,3.8875
2018-03-19,3.9039
2018-03-20,3.9362
2018-03-21,3.9356
2018-03-22,3.9276
2018-03-23,3.9087
2018-03-26,3.9608
2018-03-27,3.9742
2018-03-28,3.9757
2018-03-29,3.9931
2018-03-30,3.9949
2018-04-02,3.9489
2018-04-03,3.9577
2018-04-04,3.976
2018-04-05,4.0076
2018-04-06,4.0269
2018-04-09,4.0527
2018-04-10,4.0561
2018-04-11,4.0707
2018-04-12,4.1453
2018-04-13,4.1284
2018-04-16,4.0785
2018-04-17,4.096
2018-04-18,4.098
2018-04-19,4.0964
2018-04-20,4.0273
2018-04-23,4.0332
2018-04-24,4.0332
2018-04-25,4.0848
2018-04-26,4.0758
2018-04-27,4.0668
2018-04-30,4.0535
2018-05-01,4.0399
2018-05-02,4.0399
2018-05-03,4.1208
2018-05-04,4.1908
2018-05-07,4.255
2018-05-08,4.2558
2018-05-09,4.2817
2018-05-10,4.2878
2018-05-11,4.2666
2018-05-14,4.2572
2018-05-15,4.32
2018-05-16,4.3945
2018-05-17,4.4581
2018-05-18,4.4402
2018-05-21,4.4652
2018-05-22,4.5534
2018-05-23,4.5781
2018-05-24,4.8464
2018-05-25,4.7028
2018-05-28,4.7207
2018-05-29,4.5966
2018-05-30,4.5962
2018-05-31,4.4834
2018-06-01,4.4808
2018-06-04,4.5922
2018-06-05,4.6284
2018-06-06,4.6073
2018-06-07,4.6095
2018-06-08,4.5489
2018-06-11,4.5024
2018-06-12,4.5136
2018-06-13,4.5491
2018-06-14,4.6484
2018-06-18,4.6484
2018-06-19,4.7151
2018-06-20,4.7545
2018-06-21,4.7488
2018-06-22,4.7524
2018-06-25,4.7077
2018-06-26,4.6397
2018-06-27,4.674
2018-06-28,4.6349
2018-06-29,4.6083
2018-07-02,4.5607
2018-07-03,4.6225
2018-07-04,4.656
2018-07-05,4.6987
2018-07-06,4.6427
2018-07-09,4.6004
2018-07-10,4.5304
2018-07-11,4.705
2018-07-12,4.7488
2018-07-13,4.8176
2018-07-16,4.842
2018-07-17,4.8357
2018-07-18,4.8365
2018-07-19,4.7908
2018-07-20,4.823
2018-07-23,4.8
2018-07-24,4.7538
2018-07-25,4.7775
2018-07-26,4.854
2018-07-27,4.8183
2018-07-30,4.8568
2018-07-31,4.885
2018-08-01,4.8999
2018-08-02,4.9223
2018-08-03,5.0504
2018-08-06,5.0778
2018-08-07,5.1464
2018-08-08,5.2634
2018-08-09,5.2813
2018-08-10,5.3988
2018-08-13,5.9389
2018-08-14,6.8798
2018-08-15,6.5465
2018-08-16,6.136
2018-08-17,5.7982
2018-08-20,5.9944
2018-08-27,5.9944
2018-08-28,6.1901
2018-08-29,6.2186
2018-08-31,6.4063
2018-09-03,6.5498
2018-09-04,6.6213
2018-09-05,6.6797
2018-09-06,6.6824
2018-09-07,6.5863
2018-09-10,6.469
2018-09-11,6.4533
2018-09-12,6.4538
2018-09-13,6.3945
2018-09-14,6.3566
2018-09-17,6.0659
2018-09-18,6.2608
2018-09-19,6.3635
2018-09-20,6.3095
2018-09-21,6.2718
2018-09-24,6.2671
2018-09-25,6.2287
2018-09-26,6.124
2018-09-27,6.1242
2018-09-28,6.0752
2018-10-01,5.9902
2018-10-02,5.9659
2018-10-03,6.0082
2018-10-04,6.0289
2018-10-05,6.1244
2018-10-08,6.1543
2018-10-09,6.1516
2018-10-10,6.1156
2018-10-11,6.0885
2018-10-12,5.9833
2018-10-15,5.9042
2018-10-16,5.8113
2018-10-17,5.7794
2018-10-18,5.6825
2018-10-19,5.5498
2018-10-22,5.6134
2018-10-23,5.6481
2018-10-24,5.771
2018-10-25,5.717
2018-10-26,5.6797
2018-10-30,5.6186
2018-10-31,5.5203
2018-11-01,5.4981
2018-11-02,5.5704
2018-11-05,5.4613
2018-11-06,5.447
2018-11-07,5.3418
2018-11-08,5.3575
