o,h,l,c,v,ts
14899.0302734375,14995.08984375,14887.7900390625,14985.9697265625,0,2026-03-06 06:30:00
14985.7998046875,14985.7998046875,14775.98046875,14791.4697265625,0,2026-03-06 07:30:00
14789.240234375,14847.490234375,14782.7998046875,14796.3896484375,0,2026-03-06 08:30:00
14795.9697265625,14806.8095703125,14763.7001953125,14790.419921875,0,2026-03-06 09:30:00
14790.83984375,14796.5595703125,14705.6103515625,14736.599609375,0,2026-03-06 10:30:00
14737.240234375,14750.6904296875,14637.4599609375,14657.1103515625,0,2026-03-06 11:30:00
14656.349609375,14659.0,14576.3798828125,14586.5,0,2026-03-06 12:30:00
14585.2001953125,14590.8095703125,14489.7001953125,14505.75,0,2026-03-06 13:30:00
14502.349609375,14556.1201171875,14479.0302734375,14547.23046875,0,2026-03-06 14:30:00
14531.669921875,14531.669921875,14200.330078125,14210.48046875,0,2026-03-09 06:30:00
14207.8896484375,14285.1298828125,14159.9296875,14165.4697265625,0,2026-03-09 07:30:00
14165.6201171875,14323.2001953125,14153.8203125,14323.2001953125,0,2026-03-09 08:30:00
14322.7197265625,14384.75,14282.830078125,14315.1796875,0,2026-03-09 09:30:00
14315.5400390625,14396.9697265625,14287.1796875,14366.240234375,0,2026-03-09 10:30:00
14366.240234375,14408.8896484375,14299.740234375,14391.5703125,0,2026-03-09 11:30:00
14392.7900390625,14469.66015625,14334.33984375,14375.41015625,0,2026-03-09 12:30:00
14374.7802734375,14401.5595703125,14261.4296875,14309.0498046875,0,2026-03-09 13:30:00
14308.76953125,14457.16015625,14301.0,14456.0703125,0,2026-03-09 14:30:00
14437.6904296875,14801.240234375,14437.6904296875,14769.419921875,0,2026-03-10 06:30:00
14772.41015625,14774.3203125,14703.2001953125,14730.6796875,0,2026-03-10 07:30:00
14727.7802734375,14802.5400390625,14716.26953125,14798.830078125,0,2026-03-10 08:30:00
14798.4296875,14906.0703125,14787.1201171875,14885.3896484375,0,2026-03-10 09:30:00
14883.8603515625,14969.66015625,14861.849609375,14968.009765625,0,2026-03-10 10:30:00
14968.150390625,14981.8203125,14832.3896484375,14842.0400390625,0,2026-03-10 11:30:00
14842.3701171875,14908.0703125,14833.4501953125,14891.8095703125,0,2026-03-10 12:30:00
14891.6796875,14931.0400390625,14867.8896484375,14908.3896484375,0,2026-03-10 13:30:00
14909.0,15017.9697265625,14906.73046875,15003.080078125,0,2026-03-10 14:30:00
14985.2001953125,15089.4697265625,14971.240234375,15031.759765625,0,2026-03-11 06:30:00
15032.349609375,15049.9697265625,14942.4599609375,15003.26953125,0,2026-03-11 07:30:00
15004.5302734375,15005.7099609375,14929.2802734375,14993.6796875,0,2026-03-11 08:30:00
14994.1298828125,15005.900390625,14952.669921875,14959.900390625,0,2026-03-11 09:30:00
14961.0703125,14994.3701171875,14940.25,14949.5,0,2026-03-11 10:30:00
14948.2802734375,14965.330078125,14874.1396484375,14895.0595703125,0,2026-03-11 11:30:00
14895.3603515625,14906.080078125,14819.98046875,14867.7998046875,0,2026-03-11 12:30:00
14866.7197265625,15016.009765625,14819.8896484375,14933.990234375,0,2026-03-11 13:30:00
14934.16015625,15030.400390625,14913.0,15028.7802734375,0,2026-03-11 14:30:00
15023.4501953125,15023.4501953125,14945.91015625,14988.6904296875,0,2026-03-12 06:30:00
14991.849609375,15013.2802734375,14950.48046875,15004.2001953125,0,2026-03-12 07:30:00
15003.400390625,15143.4296875,14979.349609375,15124.009765625,0,2026-03-12 08:30:00
15122.9599609375,15137.7802734375,15083.6904296875,15097.33984375,0,2026-03-12 09:30:00
