o,h,l,c,v,ts
62661.671875,62681.08984375,62548.94921875,62635.96875,60954624,2026-07-09 16:45:00
62644.62109375,62744.4296875,62612.30078125,62643.80859375,121503744,2026-07-09 17:00:00
62652.48828125,62794.859375,62643.58984375,62780.6796875,35289088,2026-07-09 17:15:00
62780.0,62994.91015625,62695.26953125,62972.01171875,174438400,2026-07-09 17:30:00
62958.01953125,63096.859375,62958.01953125,63088.23828125,205875200,2026-07-09 17:45:00
63088.23828125,63439.421875,63015.41015625,63335.2890625,697155584,2026-07-09 18:00:00
63358.28125,63373.62890625,63189.828125,63324.9609375,278708224,2026-07-09 18:15:00
63316.9296875,63367.421875,63200.0,63260.23828125,281036800,2026-07-09 18:30:00
63260.05078125,63303.55859375,63133.28125,63166.2890625,255918080,2026-07-09 18:45:00
63164.0,63220.7890625,63137.76953125,63157.51953125,109701120,2026-07-09 19:00:00
63150.0,63229.51953125,63100.0,63206.578125,443514880,2026-07-09 19:15:00
63215.19921875,63325.390625,63171.05859375,63304.6796875,114681856,2026-07-09 19:30:00
63302.421875,63312.51953125,63172.71875,63193.83984375,471252992,2026-07-09 19:45:00
63214.0390625,63225.3203125,63121.98828125,63156.53125,386568192,2026-07-09 20:00:00
63150.890625,63265.078125,63142.98046875,63226.7890625,29855744,2026-07-09 20:15:00
63219.83984375,63275.87109375,63194.5703125,63266.0,277506048,2026-07-09 20:30:00
63262.37890625,63270.6015625,63187.41015625,63257.5,55169024,2026-07-09 20:45:00
63268.8515625,63346.53125,63237.98828125,63269.46875,251117568,2026-07-09 21:00:00
63264.48828125,63300.83984375,63190.80859375,63196.48046875,38322176,2026-07-09 21:15:00
63204.12890625,63228.37109375,63169.55859375,63169.55859375,92372992,2026-07-09 21:30:00
63177.5703125,63239.21875,63167.26953125,63223.69140625,86745088,2026-07-09 21:45:00
63223.69921875,63293.80859375,63179.62109375,63198.94140625,251561984,2026-07-09 22:00:00
63200.6484375,63321.2890625,63200.6484375,63293.51171875,0,2026-07-09 22:15:00
63293.37109375,63349.16015625,63214.08984375,63312.55859375,158148608,2026-07-09 22:30:00
63307.9609375,63345.671875,63163.98046875,63169.76171875,120807424,2026-07-09 22:45:00
63169.76171875,63204.80859375,63130.01171875,63130.03125,44120064,2026-07-09 23:00:00
63108.62109375,63278.01171875,63012.25,63179.51171875,53743616,2026-07-09 23:15:00
63179.51171875,63245.4296875,63105.62109375,63241.66015625,310829056,2026-07-09 23:30:00
63252.01953125,63265.21875,63175.25,63175.25,440565760,2026-07-09 23:45:00
63170.9609375,63195.98046875,63076.578125,63175.23828125,44189696,2026-07-10 00:00:00
63171.8203125,63202.9296875,63011.69921875,63049.328125,238434304,2026-07-10 00:15:00
63049.3515625,63122.76171875,62883.66015625,62993.55078125,98754560,2026-07-10 00:30:00
62993.1015625,63062.21875,62941.109375,63062.21875,927744,2026-07-10 00:45:00
63058.12109375,63075.55078125,62911.48046875,63075.55078125,178554880,2026-07-10 01:00:00
63074.921875,63344.0,63072.55078125,63340.01171875,5986304,2026-07-10 01:15:00
63344.98828125,63400.94921875,63273.23046875,63338.76171875,39194624,2026-07-10 01:30:00
63357.98046875,63890.98828125,63325.671875,63699.98828125,502431744,2026-07-10 01:45:00
63710.23046875,63840.0,63638.73046875,63822.3515625,393777152,2026-07-10 02:00:00
63828.08984375,63902.0390625,63763.0,63787.94921875,299464704,2026-07-10 02:15:00
63745.0,63870.390625,63734.44921875,63818.3203125,237660160,2026-07-10 02:30:00
63815.9609375,63984.51953125,63788.890625,63911.25,233375744,2026-07-10 02:45:00
63911.25,63941.8203125,63797.62890625,63879.78125,80668672,2026-07-10 03:00:00
63881.5,63881.5,63797.5,63797.62890625,88326144,2026-07-10 03:15:00
63802.53125,63889.78125,63772.58984375,63888.23046875,141324288,2026-07-10 03:30:00
63888.23046875,63990.71875,63855.98828125,63893.5390625,128993280,2026-07-10 03:45:00
63900.03125,63976.71875,63886.7890625,63925.08984375,191504384,2026-07-10 04:00:00
63930.12890625,63999.76953125,63843.62109375,63843.62109375,184995840,2026-07-10 04:15:00
63843.62890625,64097.8984375,63815.1015625,64057.62890625,180408320,2026-07-10 04:30:00
64060.8203125,64127.46875,63989.91015625,64004.03125,287135744,2026-07-10 04:45:00
64004.03125,64004.03125,63911.25,63940.0,116764672,2026-07-10 05:00:00
63940.01171875,63971.25,63900.0,63928.73828125,234616832,2026-07-10 05:15:00
63929.76953125,64151.58984375,63921.16015625,64132.41015625,634542080,2026-07-10 05:30:00
64125.80859375,64134.078125,64031.96875,64076.21875,535490560,2026-07-10 05:45:00
64078.78125,64118.421875,63986.71875,63991.390625,402429952,2026-07-10 06:00:00
63991.37890625,64007.37890625,63825.83984375,63862.1015625,0,2026-07-10 06:15:00
63878.48046875,63899.5390625,63842.5,63842.5,38109184,2026-07-10 06:30:00
63848.55859375,63878.4296875,63789.6484375,63815.01171875,115705856,2026-07-10 06:45:00
63820.109375,63877.51953125,63764.6015625,63877.51953125,0,2026-07-10 07:00:00
63877.51953125,63975.71875,63823.33984375,63931.2109375,97245184,2026-07-10 07:15:00
63920.609375,63923.91015625,63865.03125,63903.05859375,28964864,2026-07-10 07:30:00
63903.0703125,63957.7890625,63874.98046875,63948.0,80818176,2026-07-10 07:45:00
63941.671875,63995.578125,63931.0,63988.01171875,10797056,2026-07-10 08:00:00
63988.01953125,64338.01953125,63988.01953125,64288.7109375,239243264,2026-07-10 08:15:00
64285.0703125,64302.0703125,64131.2109375,64155.76953125,134211584,2026-07-10 08:30:00
64156.12109375,64237.98046875,64104.80078125,64201.53125,57901056,2026-07-10 08:45:00
64187.37109375,64200.859375,64057.5,64162.80859375,100483072,2026-07-10 09:00:00
64169.140625,64375.6015625,64160.03125,64375.6015625,86724608,2026-07-10 09:15:00
64375.6015625,64429.33984375,64324.01953125,64422.23828125,358557696,2026-07-10 09:30:00
64409.33984375,64438.01171875,64337.05078125,64341.828125,0,2026-07-10 09:45:00
64351.12109375,64364.69140625,64232.23828125,64256.0,0,2026-07-10 10:00:00
64257.55859375,64392.390625,64252.75,64392.390625,80736256,2026-07-10 10:15:00
64391.26953125,64446.8203125,64326.1796875,64428.23828125,163248128,2026-07-10 10:30:00
64425.12109375,64442.75,64355.3203125,64355.3203125,420214784,2026-07-10 10:45:00
64360.53125,64430.5703125,64349.12109375,64410.8203125,75028480,2026-07-10 11:00:00
64414.2890625,64432.0390625,64319.578125,64380.7109375,288559104,2026-07-10 11:15:00
64380.4296875,64380.4296875,64293.98828125,64354.01953125,15564800,2026-07-10 11:30:00
64352.3515625,64429.55078125,64342.109375,64378.16015625,35989504,2026-07-10 11:45:00
64385.12109375,64554.640625,64288.1484375,64501.5,201656320,2026-07-10 12:00:00
64489.23046875,64496.23828125,64320.98046875,64452.7109375,517715968,2026-07-10 12:15:00
64452.69140625,64473.0390625,64311.98046875,64321.6015625,0,2026-07-10 12:30:00
64318.01171875,64339.98828125,64226.80859375,64245.01171875,0,2026-07-10 12:45:00
64245.94140625,64294.19921875,64190.25,64191.6015625,197734400,2026-07-10 13:00:00
64191.58984375,64221.33984375,64102.828125,64110.4609375,18579456,2026-07-10 13:15:00
