o,h,l,c,v,ts
7630.25,7631.75,7626.25,7628.0,53246,2026-06-15 20:00:00
7628.0,7628.5,7624.25,7625.5,5755,2026-06-15 20:15:00
7625.5,7628.0,7625.5,7626.25,7131,2026-06-15 20:30:00
7626.0,7629.0,7624.0,7624.25,3883,2026-06-15 20:45:00
7626.5,7630.25,7618.5,7620.75,2953,2026-06-15 22:00:00
7621.0,7621.25,7612.0,7616.75,5204,2026-06-15 22:15:00
7616.75,7618.75,7615.25,7616.0,1939,2026-06-15 22:30:00
7616.0,7619.5,7615.25,7617.5,1781,2026-06-15 22:45:00
7617.25,7618.5,7615.0,7615.5,1242,2026-06-15 23:00:00
7615.75,7622.0,7614.5,7621.0,1685,2026-06-15 23:15:00
7621.0,7621.75,7616.5,7618.75,998,2026-06-15 23:30:00
7619.0,7621.5,7617.75,7620.5,1463,2026-06-15 23:45:00
7620.25,7622.5,7615.5,7620.75,2200,2026-06-16 00:00:00
7620.75,7623.75,7617.5,7621.75,2024,2026-06-16 00:15:00
7621.75,7625.0,7616.75,7617.75,2552,2026-06-16 00:30:00
7617.5,7619.5,7612.75,7615.5,2557,2026-06-16 00:45:00
7615.25,7618.75,7613.5,7615.5,2202,2026-06-16 01:00:00
7615.0,7618.5,7614.5,7616.5,1611,2026-06-16 01:15:00
7616.75,7618.0,7614.75,7616.0,1806,2026-06-16 01:30:00
7615.75,7618.75,7614.0,7616.25,1542,2026-06-16 01:45:00
7616.25,7618.0,7613.75,7615.5,1541,2026-06-16 02:00:00
7615.25,7618.25,7615.0,7616.5,1194,2026-06-16 02:15:00
7616.75,7621.0,7616.25,7619.5,1486,2026-06-16 02:30:00
7619.5,7620.25,7615.75,7617.5,1231,2026-06-16 02:45:00
7617.75,7620.5,7617.0,7617.75,1194,2026-06-16 03:00:00
7617.5,7623.5,7617.25,7621.75,1783,2026-06-16 03:15:00
7621.5,7627.5,7621.0,7626.5,2197,2026-06-16 03:30:00
7626.5,7626.75,7621.0,7622.25,1341,2026-06-16 03:45:00
7621.5,7622.25,7620.75,7621.75,967,2026-06-16 04:00:00
7622.0,7622.5,7619.25,7620.25,913,2026-06-16 04:15:00
7620.5,7622.0,7619.25,7619.5,851,2026-06-16 04:30:00
7619.5,7620.0,7615.0,7618.25,1784,2026-06-16 04:45:00
7618.5,7624.75,7618.5,7623.0,1267,2026-06-16 05:00:00
7623.0,7625.25,7621.5,7621.75,1175,2026-06-16 05:15:00
7621.75,7622.5,7616.0,7617.75,1754,2026-06-16 05:30:00
7617.75,7620.5,7617.5,7618.25,1256,2026-06-16 05:45:00
7618.0,7624.0,7617.0,7623.0,1895,2026-06-16 06:00:00
7623.0,7623.5,7619.75,7623.25,1382,2026-06-16 06:15:00
7623.0,7624.0,7621.0,7621.25,1246,2026-06-16 06:30:00
7621.0,7622.75,7619.75,7622.25,1412,2026-06-16 06:45:00
7622.25,7626.25,7622.0,7623.75,4054,2026-06-16 07:00:00
7623.75,7627.75,7623.5,7626.5,3192,2026-06-16 07:15:00
7626.5,7627.75,7622.0,7622.25,3005,2026-06-16 07:30:00
7622.0,7625.0,7620.25,7624.5,4667,2026-06-16 07:45:00
7624.5,7630.25,7622.75,7626.75,7141,2026-06-16 08:00:00
7626.75,7628.5,7624.0,7626.25,5820,2026-06-16 08:15:00
7626.25,7627.5,7620.75,7623.25,5212,2026-06-16 08:30:00
7623.25,7628.75,7620.75,7626.5,7085,2026-06-16 08:45:00
7626.5,7628.75,7625.25,7627.0,6294,2026-06-16 09:00:00
7627.0,7627.5,7622.0,7622.75,6067,2026-06-16 09:15:00
7622.75,7625.0,7620.25,7621.25,5736,2026-06-16 09:30:00
7621.75,7622.25,7618.75,7620.25,5214,2026-06-16 09:45:00
7620.5,7625.5,7620.5,7625.5,4743,2026-06-16 10:00:00
7625.5,7627.25,7622.75,7626.0,5586,2026-06-16 10:15:00
7626.25,7628.25,7624.5,7627.0,3772,2026-06-16 10:30:00
7627.0,7631.0,7626.25,7630.75,4269,2026-06-16 10:45:00
7630.5,7632.25,7628.5,7631.0,14378,2026-06-16 11:00:00
7631.0,7634.25,7629.0,7632.0,6785,2026-06-16 11:15:00
7631.75,7633.5,7629.0,7633.0,5333,2026-06-16 11:30:00
7633.0,7634.5,7630.5,7631.25,7273,2026-06-16 11:45:00
7631.25,7634.75,7630.25,7631.25,11199,2026-06-16 12:00:00
7631.25,7631.25,7622.0,7625.25,11965,2026-06-16 12:15:00
7625.5,7627.0,7622.5,7624.0,14951,2026-06-16 12:30:00
7623.75,7628.75,7622.25,7625.25,10387,2026-06-16 12:45:00
7625.0,7627.25,7620.5,7624.25,13497,2026-06-16 13:00:00
7624.5,7630.75,7622.0,7628.0,20458,2026-06-16 13:15:00
7627.75,7636.75,7624.25,7630.5,90077,2026-06-16 13:30:00
7630.5,7636.25,7621.75,7622.75,75544,2026-06-16 13:45:00
7622.75,7634.0,7622.25,7630.5,70268,2026-06-16 14:00:00
