Date,Open,High,Low,Close
2025-06-20,9195.400390625,9259.2001953125,9146.900390625,9203.400390625
2025-06-23,9117.0,9175.2998046875,9077.7998046875,9141.2998046875
2025-06-24,9419.099609375,9483.099609375,9302.900390625,9448.900390625
2025-06-25,9473.599609375,9484.0,9395.0,9418.5
2025-06-26,9426.7998046875,9464.7001953125,9301.099609375,9301.099609375
2025-06-27,9310.099609375,9431.400390625,9235.2998046875,9404.900390625
2025-06-30,9452.900390625,9949.5,9450.7998046875,9948.5
2025-07-01,9973.0,10137.400390625,9940.400390625,10080.400390625
2025-07-02,10103.7001953125,10307.0,10103.7001953125,10189.0
2025-07-03,10315.2998046875,10379.2998046875,10180.400390625,10228.400390625
2025-07-04,10248.099609375,10314.2998046875,10188.7001953125,10275.7998046875
2025-07-07,10137.900390625,10183.5,10093.2001953125,10107.7001953125
2025-07-08,10173.7001953125,10203.599609375,9957.7998046875,9998.2001953125
2025-07-09,10008.5,10172.0,9986.7001953125,10167.2998046875
2025-07-10,10266.2998046875,10365.099609375,10266.2998046875,10331.2998046875
2025-07-11,10415.7001953125,10441.099609375,10270.0,10358.5
2025-07-14,10358.599609375,10358.599609375,10225.5,10225.5
2025-07-16,10210.7998046875,10306.7001953125,9990.099609375,10121.5
2025-07-17,10199.2998046875,10386.7998046875,10178.400390625,10370.7001953125
2025-07-18,10381.2998046875,10407.400390625,10334.7998046875,10366.2001953125
2025-07-21,10413.2001953125,10641.0,10413.2001953125,10616.2001953125
2025-07-22,10637.400390625,10680.2001953125,10593.400390625,10616.099609375
2025-07-23,10645.099609375,10673.099609375,10571.7001953125,10592.0
2025-07-24,10633.2998046875,10783.099609375,10592.0,10689.099609375
2025-07-25,10708.0,10723.0,10622.900390625,10642.599609375
2025-07-28,10673.0,10682.2998046875,10540.900390625,10542.099609375
2025-07-29,10555.2001953125,10589.599609375,10487.2998046875,10487.2998046875
2025-07-30,10492.900390625,10648.900390625,10481.5,10619.0
2025-07-31,10650.5,10747.900390625,10640.7998046875,10743.2001953125
2025-08-01,10755.099609375,10774.900390625,10702.5,10747.0
2025-08-04,10807.2998046875,10926.2998046875,10806.7998046875,10853.5
2025-08-05,10886.5,10899.900390625,10839.400390625,10850.0
2025-08-06,10876.400390625,10926.2998046875,10800.599609375,10901.0
2025-08-07,10940.599609375,11044.400390625,10935.2001953125,10956.099609375
2025-08-08,10966.5,11015.7001953125,10938.400390625,10972.599609375
2025-08-11,11041.2998046875,11090.2001953125,11004.7001953125,11038.2998046875
2025-08-12,11041.7998046875,11044.7998046875,10935.900390625,10954.5
2025-08-13,10960.2001953125,11026.5,10911.099609375,10950.0
2025-08-14,10908.099609375,10963.099609375,10823.599609375,10824.599609375
2025-08-15,10796.400390625,10905.400390625,10786.7998046875,10870.599609375
2025-08-18,10911.2998046875,10942.599609375,10850.2001953125,10929.7998046875
2025-08-19,10960.7998046875,10993.599609375,10915.599609375,10962.0
2025-08-20,10962.0,11157.2998046875,10933.599609375,11134.7001953125
2025-08-21,11196.0,11334.5,11187.0,11313.900390625
2025-08-22,11347.400390625,11398.2998046875,11289.5,11372.2998046875
2025-08-25,11468.0,11519.599609375,11447.2001953125,11477.7998046875
2025-08-26,11489.099609375,11605.2998046875,11430.099609375,11529.7998046875
2025-08-27,11561.7001953125,11565.0,11359.0,11359.0
2025-08-28,11392.0,11478.2998046875,11347.599609375,11368.7998046875
2025-08-29,11388.2998046875,11405.5,11262.7998046875,11288.099609375
2025-09-01,11308.2001953125,11334.400390625,11244.2998046875,11280.0
2025-09-02,11304.5,11331.599609375,10616.599609375,10877.5
2025-09-03,10877.5,10877.5,10612.2998046875,10737.7001953125
2025-09-04,10763.099609375,10870.7001953125,10763.099609375,10828.900390625
2025-09-05,10879.5,10961.7001953125,10727.099609375,10729.5
2025-09-08,10568.2998046875,10626.7001953125,10406.900390625,10449.400390625
2025-09-09,10461.2001953125,10594.099609375,10398.7998046875,10486.099609375
2025-09-10,10549.900390625,10590.599609375,10445.7998046875,10586.2998046875
2025-09-11,10573.2998046875,10735.2001953125,10366.7001953125,10382.900390625
2025-09-12,10375.7001953125,10435.5,10265.7001953125,10372.0
2025-09-15,10357.7001953125,11008.400390625,10264.2998046875,11000.2998046875
2025-09-16,11034.0,11194.900390625,11000.0,11183.0
2025-09-17,11186.2998046875,11244.2001953125,11147.2001953125,11165.900390625
2025-09-18,11229.2998046875,11288.2998046875,11023.0,11048.099609375
2025-09-19,11077.5,11297.400390625,11040.2998046875,11294.5
2025-09-22,11533.2001953125,11540.7001953125,11452.900390625,11468.099609375
2025-09-23,11363.2998046875,11432.7998046875,11293.5,11331.7998046875
2025-09-24,11354.599609375,11423.7001953125,11133.2001953125,11366.900390625
2025-09-25,11442.400390625,11470.2001953125,11305.900390625,11377.599609375
2025-09-26,11366.7998046875,11366.7998046875,11137.2001953125,11151.2001953125
2025-09-29,11112.2998046875,11205.599609375,11048.099609375,11048.099609375
2025-09-30,11056.2001953125,11070.2998046875,10943.5,11012.099609375
2025-10-01,10992.7998046875,11259.2998046875,10896.400390625,11220.2001953125
2025-10-02,11223.7001953125,11256.5,11051.599609375,11082.599609375
2025-10-03,11116.900390625,11126.099609375,10831.0,10858.5
2025-10-06,10884.900390625,10928.400390625,10706.099609375,10734.900390625
2025-10-07,10741.7998046875,10847.400390625,10717.2998046875,10814.099609375
2025-10-08,10787.5,10907.2998046875,10729.900390625,10756.2998046875
2025-10-09,10856.7001953125,10862.7998046875,10684.0,10727.0
2025-10-10,10737.900390625,10784.599609375,10654.2001953125,10720.400390625
2025-10-13,10586.0,10683.0,10528.400390625,10556.2001953125
2025-10-14,10567.7001953125,10594.2001953125,10301.2001953125,10316.400390625
2025-10-15,10357.2001953125,10501.2998046875,10288.7001953125,10464.5
2025-10-16,10437.7998046875,10562.2998046875,10335.2001953125,10370.7998046875
2025-10-17,10338.2001953125,10344.900390625,10053.7001953125,10208.7998046875
2025-10-20,10247.2998046875,10522.599609375,10109.0,10484.400390625
2025-10-21,10487.400390625,10534.2001953125,10408.099609375,10467.2001953125
2025-10-22,10512.400390625,10661.900390625,10502.2998046875,10551.2998046875
2025-10-23,10584.599609375,10678.400390625,10563.900390625,10608.2998046875
2025-10-24,10699.7998046875,11158.099609375,10662.2998046875,10941.7998046875
2025-10-27,10928.400390625,10948.099609375,10823.2001953125,10853.400390625
2025-10-28,10858.7001953125,10920.5,10847.400390625,10871.099609375
2025-10-30,10907.400390625,10946.0,10824.599609375,10837.2998046875
2025-10-31,10854.900390625,10994.400390625,10816.900390625,10971.5
2025-11-03,11019.599609375,11152.2998046875,11011.900390625,11060.400390625
2025-11-04,11049.900390625,11083.2998046875,10871.7998046875,10914.099609375
2025-11-05,10927.7998046875,11000.099609375,10849.0,10970.400390625
2025-11-06,11029.2998046875,11108.099609375,10969.400390625,11073.2998046875
2025-11-07,11082.7001953125,11092.900390625,10869.0,10924.5
2025-11-10,10974.2998046875,11044.5,10788.7001953125,10789.0
2025-11-11,10810.599609375,10839.099609375,10373.7998046875,10576.5
2025-11-12,10655.7001953125,10706.599609375,10581.0,10640.900390625
2025-11-13,10675.400390625,10714.7001953125,10581.0,10628.599609375
2025-11-14,10604.900390625,10607.400390625,10440.400390625,10565.7001953125
2025-11-17,10634.0,10774.2001953125,10585.2998046875,10698.099609375
2025-11-18,10669.5,10791.2001953125,10636.400390625,10728.599609375
2025-11-19,10772.0,10933.2001953125,10758.599609375,10903.900390625
2025-11-20,10959.0,11038.7998046875,10887.0,10979.7001953125
2025-11-21,10936.7001953125,10945.2001953125,10815.7001953125,10922.900390625
2025-11-24,10894.7001953125,10944.5,10816.400390625,10888.0
2025-11-25,10928.2001953125,10998.2001953125,10832.7998046875,10857.2001953125
2025-11-26,10874.2001953125,10953.0,10865.7001953125,10914.7001953125
2025-11-27,10973.5,11032.5,10934.2001953125,10945.5
2025-11-28,10934.400390625,10953.0,10879.599609375,10898.7001953125
2025-12-01,10898.099609375,11125.7001953125,10870.099609375,11116.5
2025-12-02,11151.7998046875,11184.099609375,11093.2001953125,11123.5
