o,h,l,c,v,ts
14137.599609375,14141.08984375,14112.1796875,14115.3603515625,0,2026-06-02 13:45:00
14115.33984375,14148.400390625,14104.91015625,14110.83984375,0,2026-06-02 14:00:00
14112.2802734375,14123.830078125,14099.0400390625,14111.4501953125,0,2026-06-02 14:15:00
14111.919921875,14146.740234375,14110.9404296875,14134.3603515625,0,2026-06-02 14:30:00
14134.150390625,14196.9501953125,14130.7001953125,14182.2001953125,0,2026-06-02 14:45:00
14200.2001953125,14200.2001953125,14191.150390625,14191.150390625,0,2026-06-03 06:45:00
14191.150390625,14191.150390625,14106.76953125,14159.83984375,0,2026-06-03 07:00:00
14156.650390625,14219.9599609375,14144.3798828125,14216.7900390625,0,2026-06-03 07:15:00
14214.6298828125,14216.099609375,14124.7001953125,14126.51953125,0,2026-06-03 07:30:00
14125.3701171875,14141.58984375,14107.1904296875,14114.41015625,0,2026-06-03 07:45:00
