İhale Tarihi,Senet Tanımı,Gerçek Gerçekleşme (Milyon TL),Tahmin-Ham (Milyon TL),Gerçek Bid-to-Cover,Tahmin Bid-to-Cover,Gerçek Teklif (Milyon TL),Kıyas Bazı,Tahmin-Strateji (Milyon TL),Tahmin-Düzeltilmiş (Milyon TL),Tahmin Teklif (Milyon TL),Tutar Sapma % (düzeltilmiş),Tutar Sapma % (strateji),Tutar Sapma % (ham),B2C Sapma %,Teklif Sapma %
10.06.2024,Hazine Bonosu,11110.0,3189.0,1.92,2.56,21348.0,Aynı tahvil (itfa eşleşmesi),13168.0,10291.0,26345.0,-7.4,18.5,-71.3,33.3,23.4
11.06.2024,TLREF'e Endeksli Devlet Tahvili,29727.0,23655.0,1.43,1.73,42433.0,Aynı tahvil (itfa eşleşmesi),97675.0,76332.0,132054.0,156.8,228.6,-20.4,21.0,211.2
11.06.2024,Sabit Kuponlu Devlet Tahvili,28142.0,23457.0,1.49,2.06,42057.0,Aynı tahvil (itfa eşleşmesi),96857.0,75693.0,155928.0,169.0,244.2,-16.6,38.3,270.8
08.07.2024,Değişken Faizli Devlet Tahvili,7692.0,10232.0,2.43,1.74,18690.0,Aynı tahvil (itfa eşleşmesi),13743.0,10740.0,18688.0,39.6,78.7,33.0,-28.4,-0.0
08.07.2024,Hazine Bonosu,12026.0,6346.0,2.61,2.16,31329.0,Aynı tahvil (itfa eşleşmesi),8524.0,6661.0,14388.0,-44.6,-29.1,-47.2,-17.2,-54.1
09.07.2024,TLREF'e Endeksli Devlet Tahvili,33316.0,26691.0,2.47,1.58,82374.0,Aynı tahvil (itfa eşleşmesi),35850.0,28016.0,44265.0,-15.9,7.6,-19.9,-36.0,-46.3
09.07.2024,Sabit Kuponlu Devlet Tahvili,22410.0,26210.0,1.86,1.84,41771.0,Aynı tahvil (itfa eşleşmesi),35204.0,27512.0,50622.0,22.8,57.1,17.0,-1.1,21.2
22.07.2024,TÜFE'ye Endeksli Devlet Tahvili,11193.0,14888.0,1.98,1.87,22137.0,Aynı tahvil (itfa eşleşmesi),19997.0,15627.0,29222.0,39.6,78.7,33.0,-5.6,32.0
22.07.2024,Sabit Kuponlu Devlet Tahvili,32534.0,18555.0,1.67,1.88,54466.0,Aynı tahvil (itfa eşleşmesi),24922.0,19476.0,36615.0,-40.1,-23.4,-43.0,12.6,-32.8
23.07.2024,Sabit Kuponlu Devlet Tahvili,11082.0,26326.0,2.75,2.42,30507.0,Aynı tahvil (itfa eşleşmesi),35360.0,27633.0,66872.0,149.4,219.1,137.6,-12.0,119.2
13.08.2024,Sabit Kuponlu Devlet Tahvili,10672.0,28994.0,1.69,1.96,18059.0,Aynı tahvil (itfa eşleşmesi),48172.0,37646.0,73786.0,252.8,351.4,171.7,16.0,308.6
13.08.2024,TLREF'e Endeksli Devlet Tahvili,32526.0,28899.0,2.19,1.88,71162.0,Aynı tahvil (itfa eşleşmesi),48014.0,37522.0,70541.0,15.4,47.6,-11.2,-14.2,-0.9
19.08.2024,TÜFE'ye Endeksli Devlet Tahvili,15546.0,11414.0,1.75,2.29,27137.0,Aynı tip + benzer vade,18964.0,14820.0,33938.0,-4.7,22.0,-26.6,30.9,25.1
19.08.2024,Kuponsuz Devlet Tahvili,11281.0,3876.0,2.89,2.58,32612.0,Aynı tip + benzer vade,6440.0,5033.0,12985.0,-55.4,-42.9,-65.6,-10.7,-60.2
20.08.2024,Değişken Faizli Devlet Tahvili,7757.0,9385.0,2.05,1.97,15914.0,Aynı tahvil (itfa eşleşmesi),15593.0,12186.0,24006.0,57.1,101.0,21.0,-3.9,50.8
20.08.2024,Sabit Kuponlu Devlet Tahvili,9143.0,24087.0,5.06,2.21,46259.0,Aynı tahvil (itfa eşleşmesi),40019.0,31274.0,69116.0,242.1,337.7,163.4,-56.3,49.4
09.09.2024,TLREF'e Endeksli Devlet Tahvili,41480.0,31856.0,1.52,2.03,63156.0,Aynı tip + benzer vade,42940.0,33557.0,68121.0,-19.1,3.5,-23.2,33.6,7.9
09.09.2024,Kuponsuz Devlet Tahvili,8171.0,11281.0,1.58,2.89,12915.0,Aynı tahvil (itfa eşleşmesi),15206.0,11883.0,34342.0,45.4,86.1,38.1,82.9,165.9
10.09.2024,Sabit Kuponlu Devlet Tahvili,16674.0,20108.0,1.36,3.33,22616.0,Aynı tahvil (itfa eşleşmesi),27105.0,21182.0,70536.0,27.0,62.6,20.6,144.9,211.9
10.09.2024,Değişken Faizli Devlet Tahvili,9446.0,8443.0,1.33,2.01,12574.0,Aynı tahvil (itfa eşleşmesi),11381.0,8894.0,17877.0,-5.8,20.5,-10.6,51.1,42.2
16.09.2024,Sabit Kuponlu Devlet Tahvili,38442.0,27452.0,1.41,1.67,54199.0,Aynı tip + benzer vade,37004.0,28918.0,48293.0,-24.8,-3.7,-28.6,18.4,-10.9
16.09.2024,TÜFE'ye Endeksli Devlet Tahvili,16360.0,15546.0,1.54,1.75,25119.0,Aynı tahvil (itfa eşleşmesi),20955.0,16376.0,28658.0,0.1,28.1,-5.0,13.6,14.1
17.09.2024,Sabit Kuponlu Devlet Tahvili,15915.0,20408.0,1.43,1.68,22830.0,Aynı tip + benzer vade,27509.0,21498.0,36117.0,35.1,72.8,28.2,17.5,58.2
07.10.2024,TLREF'e Endeksli Devlet Tahvili,33328.0,41480.0,1.46,1.52,48549.0,Aynı tahvil (itfa eşleşmesi),57704.0,45095.0,68544.0,35.3,73.1,24.5,4.1,41.2
08.10.2024,Sabit Kuponlu Devlet Tahvili,16577.0,12300.0,2.87,3.06,47641.0,Aynı tip + benzer vade,17111.0,13372.0,40918.0,-19.3,3.2,-25.8,6.6,-14.1
08.10.2024,Hazine Bonosu,12006.0,9726.0,1.8,2.24,21565.0,Aynı tahvil (itfa eşleşmesi),13530.0,10574.0,23686.0,-11.9,12.7,-19.0,24.4,9.8
14.10.2024,Sabit Kuponlu Devlet Tahvili,25770.0,38442.0,1.39,1.41,35755.0,Aynı tahvil (itfa eşleşmesi),53478.0,41792.0,58927.0,62.2,107.5,49.2,1.4,64.8
14.10.2024,Değişken Faizli Devlet Tahvili,9011.0,8298.0,1.71,1.94,15397.0,Aynı tahvil (itfa eşleşmesi),11544.0,9022.0,17503.0,0.1,28.1,-7.9,13.5,13.7
15.10.2024,TÜFE'ye Endeksli Devlet Tahvili,10096.0,15953.0,1.24,1.64,12496.0,Aynı tahvil (itfa eşleşmesi),22193.0,17344.0,28444.0,71.8,119.8,58.0,32.3,127.6
15.10.2024,Sabit Kuponlu Devlet Tahvili,17128.0,15915.0,1.4,1.43,24025.0,Aynı tahvil (itfa eşleşmesi),22140.0,17302.0,24742.0,1.0,29.3,-7.1,2.1,3.0
04.11.2024,TLREF'e Endeksli Devlet Tahvili,25483.0,37404.0,1.57,1.49,39955.0,Aynı tahvil (itfa eşleşmesi),44885.0,35077.0,52265.0,37.6,76.1,46.8,-5.1,30.8
04.11.2024,Hazine Bonosu,6441.0,10486.0,2.42,2.09,15568.0,Aynı tahvil (itfa eşleşmesi),12583.0,9833.0,20551.0,52.7,95.4,62.8,-13.6,32.0
05.11.2024,TÜFE'ye Endeksli Devlet Tahvili,13081.0,14001.0,1.3,1.51,16984.0,Aynı tahvil (itfa eşleşmesi),16801.0,13130.0,19826.0,0.4,28.4,7.0,16.2,16.7
05.11.2024,Sabit Kuponlu Devlet Tahvili,11877.0,16577.0,1.94,2.87,23080.0,Aynı tahvil (itfa eşleşmesi),19892.0,15545.0,44614.0,30.9,67.5,39.6,47.9,93.3
11.11.2024,Sabit Kuponlu Devlet Tahvili,42230.0,32106.0,1.48,1.4,62314.0,Aynı tahvil (itfa eşleşmesi),38527.0,30108.0,42151.0,-28.7,-8.8,-24.0,-5.4,-32.4
