tarih,cari,ihracat,ithalat,mal_denge,hizmet_gelir,hizmet_gider,mal_hizmet,birincil_gelir,birincil_gider,mhb_denge,ikincil_denge,sermaye_hesabi,fin_hesabi,dyy_varlik,dyy_yuk,port_varlik,port_yuk,port_yuk_hisse,port_yuk_borc,turev_varlik,turev_yuk,diger_varlik,diger_varlik_gh,diger_varlik_bnk,diger_varlik_dgr,diger_yuk,diger_yuk_tcmb,diger_yuk_gh,diger_yuk_bnk,diger_yuk_dgr,csf_toplam,nhn,genel_denge,rezerv_akim,resmi_rezerv,imf_kredileri,od_finansmani,hc_cari,hc_altin_ihr,hc_altin_ith,hc_altin_net,hc_enerji_ihr,hc_enerji_ith,hc_enerji_net,hc_altin_haric,hc_enerji_haric,hc_cekirdek,ay_cari,ay_sermaye,ay_fin_hesabi,ay_dyy_net,ay_dyy_varlik,ay_dyy_yuk,ay_port_net,ay_port_yuk,ay_turev_net,ay_diger_net,ay_mevduat_net,ay_mevduat_yuk,ay_mevduat_yuk_bnk,ay_kredi_net,ay_kredi_yuk,ay_kredi_bnk,ay_kredi_bnk_kv,ay_kredi_bnk_uv,ay_kredi_bnk_uv_kul,ay_kredi_bnk_uv_ode,ay_kredi_dgr,ay_kredi_dgr_kv,ay_kredi_dgr_uv,ay_kredi_dgr_uv_kul,ay_kredi_dgr_uv_ode,ay_kredi_gh_uv,ay_kredi_gh_uv_kul,ay_kredi_gh_uv_ode,ay_ticari_kredi,ay_sdr,ay_rezerv,ay_nhn,roll_bnk,roll_dgr,roll_bnk_tahvil,roll_dgr_tahvil,eb_kullanim,eb_kullanim_uv,eb_kullanim_gh,eb_kullanim_bnk,eb_kullanim_dgr,eb_odeme,eb_odeme_uv,rezerv_stok
1986-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2391.9
1986-12-01,-1465.0,7457.0,10475.0,-3018.0,3123.0,1533.0,-1428.0,341.0,2218.0,-3305.0,1840.0,0.0,-2124.0,0.0,125.0,0.0,146.0,0.0,146.0,,,313.0,0.0,93.0,0.0,2166.0,45.0,45.0,755.0,1321.0,659.0,-118.0,-541.0,541.0,163.0,378.0,0.0,,,,,,,,,,,-1465.0,0.0,-1583.0,-125.0,0.0,125.0,-146.0,146.0,,-1475.0,-737.0,788.0,370.0,-932.0,1185.0,385.0,390.0,-5.0,28.0,33.0,1506.0,615.0,891.0,1296.0,405.0,45.0,1113.0,1068.0,168.0,0.0,163.0,-118.0,,,,,,,,,,,,2604.7
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683.9
1987-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696.4
1987-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.4
1987-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.3
1987-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623.2
1987-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.8
1987-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498.7
1987-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.7
