tarih,gsyh_bin_tl,usdtry_ceyrek_ort,usdtry_ceyrek_son,gsyh_mn_tl,gsyh_mn_usd,gsyh4_mn_usd,gsyh4_mn_usd_nokta,cari12_mn_usd,cekirdek12_mn_usd,cari_gsyh,cekirdek_gsyh
1998-09-30,20591750.9101964,0.27175075757575756,0.27589,20591.750910196402,75774.40112363227,272732.88843310304,258442.9780570832,-1085.0,5572.780000000001,-0.3978251417471175,2.0433105930188957
1998-12-31,19938675.5125477,0.29297307692307695,0.31272,19938.675512547703,68056.34060969637,275803.775943217,262561.3333199319,2000.0,8011.31,0.7251532337293902,2.9047136764543007
1999-03-31,21065145.8467415,0.341016,0.365579,21065.1458467415,61771.72287148257,272461.879831854,259735.1862888655,4399.0,9906.53,1.6145377851443952,3.635932485716414
1999-06-30,25120458.4312532,0.3949582698412698,0.418189,25120.4584312532,63602.81667566775,269205.281280479,256087.3687885909,3368.0,8803.1,1.251089868660844,3.270032429574904
1999-09-30,30120380.1997286,0.43733416923076923,0.45978,30120.3801997286,68872.68893877557,262303.5690956223,246960.2472504666,2108.0,7629.800000000001,0.8036489961871363,2.9087671305069325
1999-12-31,31184697.7792871,0.4966851384615385,0.540098,31184.6977792871,62785.647011465655,257032.87549739153,240940.33363828,-925.0,5193.99,-0.3598761435516786,2.0207492874010624
2000-03-31,36022584.275701,0.5621735645161291,0.588318,36022.584275701,64077.33580768096,259338.48843358993,244548.79443655442,-4591.0,2816.61,-1.770273293304723,1.0860748117305632
2000-06-30,41419656.3902257,0.608976671875,0.618985,41419.656390225704,68015.17743314739,263750.8491910696,251394.60906297562,-6572.0,2016.77,-2.4917455318746793,0.7646496707728083
2000-09-30,47930081.0283254,0.644603390625,0.663434,47930.0810283254,74355.9244729584,269234.0847252524,258129.63028205675,-8160.0,1545.6100000000001,-3.030819819239122,0.5740766447076201
2000-12-31,46405637.7189418,0.6788632580645162,0.671765,46405.6377189418,68357.85729698691,274806.2950107737,269470.8345112265,-9920.0,1191.28,-3.6098154154769593,0.43349807541828556
2001-03-31,48788929.1019805,0.7817227,1.056544,48788.9291019805,62412.066455253895,273141.0256583466,254418.89896860928,-8190.0,3003.0299999999997,-2.9984510676343104,1.0994430414698246
2001-06-30,59436700.2564273,1.181100734375,1.267415,59436.700256427306,50323.14224059752,255448.99046579673,234399.45956935675,-3497.0,7003.299999999999,-1.3689621531184832,2.7415649547997347
2001-09-30,70087295.1566957,1.3914741875,1.532969,70087.29515669569,50369.09472436454,231462.16071720287,207873.9888890374,-71.0,9856.76,-0.030674560273697075,4.258475756667133
2001-12-31,69494939.5250155,1.5242890476190476,1.439567,69494.9395250155,45591.70692301909,208696.01034323504,187068.7135417552,3760.0,12617.6,1.801663574601191,6.0459229571510615
2002-03-31,74147803.425713,1.3560480163934427,1.332489,74147.803425713,54679.33475019355,200963.2786381747,196536.95517942798,3870.0,12614.13,1.9257249514563108,6.276833302820049
2002-06-30,86155636.0705967,1.4045981875,1.602733,86155.6360705967,61338.27940070348,211978.41579828068,203396.40163032484,1830.0,10767.97,0.8632954412403165,5.079748312793711
2002-09-30,101734048.292358,1.6427445076923075,1.648669,101734.048292358,61929.318780844274,223538.63985476037,219383.20839533216,982.0,10260.48,0.43929765370230145,4.5900252442559974
2002-12-31,100869386.818122,1.6124729206349204,1.634501,100869.386818122,62555.70901519642,240502.6419469377,232820.96692645724,-626.0,9241.300000000001,-0.2602882009662558,3.842494171868148
2003-03-31,101837606.442178,1.6468338983050848,1.708213,101837.606442178,61838.42010234844,247661.72729909263,236791.3332250102,-3247.0,7521.83,-1.3110624864853295,3.0371386334216033
2003-06-30,114048147.630101,1.5122245238095238,1.421717,114048.147630101,75417.46998176987,261740.917880159,263254.48191822635,-5067.0,6583.92,-1.9358837896029626,2.5154339846147105
2003-09-30,130535390.993032,1.388852090909091,1.376707,130535.390993032,93987.97168357098,293799.5707828857,296364.8248241986,-5015.0,7631.25,-1.706945992683571,2.5974340192754743
2003-12-31,126947327.567892,1.438215435483871,1.395835,126947.327567892,88267.25429016276,319511.11605785205,325599.4061909043,-7554.0,5562.9,-2.3642369921903565,1.7410661853131761
2004-03-31,124158764.606504,1.3275682950819674,1.311286,124158.76460650399,93523.44814685268,351196.1441023563,360667.6822912872,-9921.0,3580.0399999999995,-2.8249171201345877,1.019384768346601
