tarih,borc_odeme_top,borc_odeme_top_4h,borc_odeme_haz,borc_odeme_haz_4h,borc_odeme_dgr,borc_odeme_dgr_4h,borc_odeme_tcmb,borc_odeme_tcmb_4h,borc_odeme_top_52h
2022-03-30,1286.32,3256.1499999999996,1282.99,3228.8199999999997,3.16,27.14000000000003,0.17,0.19000000000002842,27157.07
2022-04-06,307.61,3456.1,282.08,3403.34,25.53,52.57000000000003,0.0,0.19000000000002842,27347.99
2022-04-13,122.94,2230.0699999999997,122.75,2198.94,0.19,30.96000000000003,0.0,0.17000000000002843,27023.46
2022-04-20,293.65,2010.5199999999995,208.13,1895.95,85.3,114.18000000000004,0.22,0.39000000000002844,27041.99
2022-04-27,491.72,1215.9199999999996,475.43,1088.3899999999999,16.26,127.28000000000003,0.03,0.2500000000000284,27209.73
2022-05-04,13.64,921.9499999999996,9.76,816.0699999999998,3.54,105.29000000000002,0.34,0.5900000000000285,27083.9
2022-05-11,223.19,1022.1999999999995,222.97,916.2899999999997,0.06,105.16000000000001,0.16,0.7500000000000284,26986.78
2022-05-18,349.51,1078.0599999999995,344.38,1052.54,5.13,24.990000000000016,0.0,0.5300000000000284,27045.589999999997
2022-05-25,345.03,931.3699999999994,344.1,921.2099999999998,0.64,9.370000000000013,0.29,0.7900000000000285,27240.61
2022-06-01,232.41,1150.1399999999994,216.28,1127.7299999999998,15.96,21.790000000000013,0.11,0.5600000000000285,24310.02
2022-06-08,27.74,954.6899999999995,26.28,931.0399999999997,1.46,23.190000000000015,0.0,0.4000000000000284,23095.039999999997
2022-06-15,96.16,701.3399999999995,92.4,679.0599999999998,3.46,21.520000000000017,0.3,0.7000000000000284,23078.91
2022-06-22,250.7,607.0099999999995,202.23,537.1899999999998,47.71,68.59000000000002,0.76,1.1700000000000284,23099.39
2022-06-29,300.27,674.8699999999995,276.24,597.1499999999999,23.64,76.27000000000001,0.39,1.4500000000000282,23208.86
2022-07-06,74.4,721.5299999999995,69.59,640.4599999999998,4.21,79.02000000000001,0.6,2.0500000000000282,23240.16
2022-07-13,100.65,726.0199999999995,99.64,647.6999999999997,0.66,76.22000000000001,0.35,2.1000000000000285,23137.28
2022-07-20,551.33,1026.6499999999996,550.22,995.6899999999998,0.84,29.350000000000016,0.27,1.6100000000000283,20947.43
2022-07-27,197.3,923.6799999999996,195.76,915.2099999999998,1.12,6.830000000000014,0.42,1.6400000000000283,20979.59
2022-08-03,146.67,995.9499999999997,139.36,984.9799999999998,7.1,9.720000000000013,0.21,1.2500000000000284,20948.69
2022-08-10,378.05,1273.3499999999997,374.7,1260.0399999999997,3.35,12.410000000000014,0.0,0.9000000000000284,21007.81
2022-08-17,3509.5,4231.5199999999995,3492.76,4202.58,16.74,28.310000000000013,0.0,0.6300000000000284,24057.940000000002
2022-08-24,176.86,4211.079999999999,138.84,4145.66,38.02,65.21000000000001,0.0,0.21000000000002841,24047.09
2022-08-31,112.69,4177.099999999999,111.64,4117.94,1.05,59.16000000000001,0.0,0.0,23977.28
2022-09-07,146.62,3945.6699999999996,138.2,3881.4399999999996,8.37,64.18000000000002,0.05,0.050000000000028424,23935.04
2022-09-14,486.68,922.8499999999996,485.25,873.9299999999996,1.31,48.750000000000014,0.12,0.1700000000000284,24208.73
2022-09-21,289.25,1035.2399999999996,288.58,1023.6699999999995,0.55,11.280000000000014,0.12,0.2900000000000284,24266.43
2022-09-28,2876.11,3798.66,2874.39,3786.419999999999,1.3,11.530000000000014,0.42,0.7100000000000284,26812.56
2022-10-05,364.42,4016.4599999999996,336.92,3985.14,27.3,30.460000000000015,0.2,0.8600000000000283,27036.19
2022-10-12,261.87,3791.6499999999996,257.27,3757.16,4.36,33.51000000000002,0.24,0.9800000000000284,27138.530000000002
2022-10-19,469.46,3971.8599999999997,457.45,3926.0299999999997,12.0,44.96000000000001,0.01,0.8700000000000283,27285.03
2022-10-26,590.64,1686.389999999999,584.76,1636.3999999999996,5.61,49.27000000000002,0.27,0.7200000000000284,27471.07
2022-11-02,190.31,1512.279999999999,188.32,1487.7999999999995,1.85,23.820000000000014,0.14,0.6600000000000286,27619.370000000003
2022-11-09,318.22,1568.6299999999992,304.72,1535.2499999999995,13.41,32.87000000000002,0.09,0.5100000000000284,27796.879999999997
2022-11-16,662.04,1761.2099999999991,654.44,1732.2399999999998,7.51,28.380000000000017,0.09,0.5900000000000285,26428.87
2022-11-23,148.02,1318.5899999999992,143.74,1291.2199999999996,3.87,26.640000000000015,0.41,0.7300000000000284,26482.73
2022-11-30,287.95,1416.229999999999,279.3,1382.1999999999996,8.4,33.19000000000001,0.25,0.8400000000000284,26552.8
2022-12-07,211.64,1309.6499999999992,197.27,1274.7499999999995,14.37,34.15000000000001,0.0,0.7500000000000284,26646.65
2022-12-14,95.48,743.0899999999991,87.03,707.3399999999996,2.93,29.570000000000018,5.52,6.180000000000028,26562.21
2022-12-21,229.39,824.4599999999991,222.06,785.6599999999996,7.24,32.94000000000001,0.09,5.860000000000028,25184.26
2022-12-28,222.86,759.3699999999991,196.7,703.0599999999995,26.16,50.70000000000002,0.0,5.610000000000028,25190.01
2023-01-04,196.34,744.0699999999991,180.89,686.6799999999996,15.32,51.65000000000002,0.13,5.740000000000028,25235.65
2023-01-11,267.51,916.0999999999991,267.32,866.9699999999996,0.01,48.73000000000002,0.18,0.40000000000002844,25318.61
2023-01-18,456.05,1142.759999999999,455.76,1100.6699999999996,0.07,41.56000000000002,0.22,0.5300000000000284,25288.52
2023-01-25,214.37,1134.269999999999,203.42,1107.3899999999994,1.65,17.050000000000015,0.2,0.7300000000000284,25362.71
2023-02-01,123.16,1061.089999999999,121.33,1047.8299999999995,1.81,3.5400000000000142,0.02,0.6200000000000284,25407.01
2023-02-08,291.62,1085.1999999999991,291.43,1071.9399999999996,0.19,3.7200000000000144,0.0,0.4400000000000284,25255.059999999998
2023-02-15,429.9,1059.0499999999993,420.48,1036.6599999999996,9.39,13.040000000000015,0.03,0.2500000000000284,25195.24
2023-02-22,290.86,1135.539999999999,280.67,1113.9099999999996,10.13,21.520000000000017,0.06,0.11000000000002842,23078.88
2023-03-01,222.38,1234.759999999999,215.36,1207.9399999999996,7.02,26.730000000000018,0.0,0.09000000000002842,21901.320000000003
2023-03-08,284.76,1227.8999999999992,231.66,1148.1699999999996,53.07,79.61000000000001,0.03,0.12000000000002842,22078.420000000002
2023-03-15,303.19,1101.1899999999991,302.8,1030.4899999999996,0.39,70.61000000000001,0.0,0.09000000000002842,21032.64
2023-03-22,499.55,1309.8799999999992,494.3,1244.1199999999997,5.14,65.62000000000002,0.11,0.14000000000002844,21018.99
2023-03-29,1899.22,2986.719999999999,1892.53,2921.29,6.28,64.88000000000002,0.41,0.5500000000000285,21631.89
2023-04-05,1542.26,4244.219999999999,1539.13,4228.759999999999,2.85,14.660000000000021,0.28,0.8000000000000285,22866.54
2023-04-12,1296.51,5237.539999999999,1279.18,5205.139999999999,17.18,31.45000000000002,0.15,0.9500000000000284,24040.11
2023-04-19,425.73,5163.719999999999,418.39,5129.23,7.33,33.64000000000002,0.01,0.8500000000000284,24172.19
2023-04-26,434.57,3699.0699999999993,429.44,3666.14,4.64,32.00000000000002,0.49,0.9300000000000284,24115.04
2023-05-03,119.13,2275.939999999999,113.48,2240.4899999999993,5.24,34.39000000000002,0.41,1.0600000000000285,24220.53
2023-05-10,169.45,1148.8799999999992,151.27,1112.5799999999995,18.07,35.28000000000002,0.11,1.0200000000000284,24166.79
2023-05-17,514.6,1237.749999999999,513.23,1207.4199999999996,1.17,29.120000000000026,0.2,1.2100000000000284,24331.88
2023-05-24,61.48,864.6599999999992,60.93,838.9099999999994,0.55,25.030000000000022,0.0,0.7200000000000284,24048.329999999998
2023-05-31,121.36,866.8899999999991,118.68,844.1099999999996,2.33,22.120000000000022,0.35,0.6600000000000283,23937.28
2023-06-07,122.72,820.1599999999992,108.5,801.3399999999995,14.18,18.23000000000002,0.04,0.5900000000000284,24032.260000000002
2023-06-14,152.62,458.1799999999991,148.12,436.22999999999945,4.5,21.560000000000024,0.0,0.3900000000000284,24088.72
2023-06-21,270.77,667.4699999999991,269.0,644.2999999999995,1.58,22.590000000000025,0.19,0.5800000000000284,24108.79
2023-06-28,233.82,779.929999999999,233.26,758.8799999999994,0.49,20.75000000000002,0.07,0.30000000000002847,24042.34
2023-07-05,199.67,856.8799999999991,116.64,767.0199999999994,80.58,87.15000000000002,0.37,0.6300000000000285,24167.61
