tarih,TP.AB.A01,TP.AB.A02,TP.AB.A03,TP.AB.A04,TP.AB.A05,TP.AB.A051,TP.AB.A052,TP.AB.A053,TP.AB.A054,TP.AB.A06,TP.AB.A061,TP.AB.A07,TP.AB.A08,TP.AB.A081,TP.AB.A09,TP.AB.A10,TP.AB.A11,TP.AB.A12,TP.AB.A13,TP.AB.A14,TP.AB.A15,TP.AB.A16,TP.AB.A17,TP.AB.A18,TP.AB.A19,TP.AB.A20,TP.AB.A21,TP.AB.A22,TP.AB.A23,TP.AB.A24,TP.AB.A25
2026-01-30,11852834080.00000000,9562620648.00000000,3950525990.00000000,,285101637.00000000,289830511.00000000,,,-4728875.00000000,980585164.00000000,0.00000000,2684839189.00000000,-1660312558.00000000,,11852834080.00000000,5952280234.00000000,704456288.00000000,5247823946.00000000,518182907.00000000,4729641040.00000000,5900553846.00000000,4459099077.00000000,866965142.00000000,3583552754.00000000,1134914926.00000000,2448637828.00000000,396771.00000000,8184410.00000000,1441454769.00000000,842137215.00000000,599317554.00000000
2026-02-02,11502640119.00000000,8930692532.00000000,3958753752.00000000,,289906035.00000000,295223118.00000000,,,-5317083.00000000,983780336.00000000,0.00000000,2685067382.00000000,-1386806166.00000000,,11502640119.00000000,5715156157.00000000,684973180.00000000,5030182977.00000000,499042310.00000000,4531140667.00000000,5787483962.00000000,4312640846.00000000,860398555.00000000,3443663447.00000000,1134914926.00000000,2308748521.00000000,394432.00000000,8184412.00000000,1474843115.00000000,837427869.00000000,637415246.00000000
2026-02-03,11544511590.00000000,9155250436.00000000,3963278411.00000000,,289775902.00000000,295223118.00000000,,,-5447216.00000000,987545269.00000000,0.00000000,2685957240.00000000,-1574017257.00000000,,11544511590.00000000,5719026110.00000000,694890108.00000000,5024136002.00000000,512799644.00000000,4511336358.00000000,5825485479.00000000,4267314610.00000000,860955087.00000000,3397777002.00000000,1134914926.00000000,2262862076.00000000,398123.00000000,8184398.00000000,1558170870.00000000,775939993.00000000,782230876.00000000
2026-02-04,11645643579.00000000,9347030159.00000000,3967591010.00000000,,289613939.00000000,295223118.00000000,,,-5609179.00000000,989509100.00000000,0.00000000,2688467971.00000000,-1668977590.00000000,,11645643579.00000000,5757177213.00000000,698826727.00000000,5058350486.00000000,551362565.00000000,4506987921.00000000,5888466366.00000000,4306738045.00000000,857815270.00000000,3440333431.00000000,1134914926.00000000,2305418505.00000000,404613.00000000,8184731.00000000,1581728322.00000000,734331911.00000000,847396410.00000000
2026-02-05,11633376009.00000000,9181826266.00000000,3973549177.00000000,,289432575.00000000,295223118.00000000,,,-5790543.00000000,992137947.00000000,0.00000000,2691978655.00000000,-1521999434.00000000,,11633376009.00000000,5694866022.00000000,690871724.00000000,5003994297.00000000,542220549.00000000,4461773749.00000000,5938509987.00000000,4321544357.00000000,857369525.00000000,3455580146.00000000,1134914926.00000000,2320665220.00000000,407087.00000000,8187599.00000000,1616965630.00000000,740555444.00000000,876410186.00000000
2026-02-06,11568228352.00000000,9123784092.00000000,3975978593.00000000,,294013566.00000000,300157505.00000000,,,-6143938.00000000,988416981.00000000,0.00000000,2693548046.00000000,-1531534333.00000000,,11568228352.00000000,5615014988.00000000,691899884.00000000,4923115104.00000000,542961121.00000000,4380153984.00000000,5953213364.00000000,4303762284.00000000,868623681.00000000,3426560899.00000000,1134914926.00000000,2291645973.00000000,392909.00000000,8184795.00000000,1649451081.00000000,783582100.00000000,865868981.00000000
2026-02-09,11599711691.00000000,9227722464.00000000,3989972625.00000000,,298917063.00000000,305554948.00000000,,,-6637885.00000000,991950426.00000000,0.00000000,2699105136.00000000,-1617983398.00000000,,11599711691.00000000,5669070201.00000000,698989785.00000000,4970080416.00000000,548205194.00000000,4421875222.00000000,5930641490.00000000,4292167277.00000000,858216998.00000000,3425373344.00000000,1134914926.00000000,2290458418.00000000,392145.00000000,8184790.00000000,1638474213.00000000,768831100.00000000,869643113.00000000
2026-02-10,11784193497.00000000,9452895061.00000000,3994911138.00000000,,298700013.00000000,305554948.00000000,,,-6854935.00000000,996136761.00000000,0.00000000,2700074364.00000000,-1663612702.00000000,,11784193497.00000000,5787905065.00000000,707181403.00000000,5080723662.00000000,649644758.00000000,4431078904.00000000,5996288432.00000000,4334198671.00000000,853778674.00000000,3471839851.00000000,1134914926.00000000,2336924925.00000000,395805.00000000,8184341.00000000,1662089762.00000000,838347100.00000000,823742662.00000000
2026-02-11,11762615870.00000000,9465879563.00000000,3980914606.00000000,,283657983.00000000,290794500.00000000,,,-7136517.00000000,996651269.00000000,0.00000000,2700605354.00000000,-1684178299.00000000,,11762615870.00000000,5789094018.00000000,728929818.00000000,5060164200.00000000,651852222.00000000,4408311978.00000000,5973521852.00000000,4281894574.00000000,848765509.00000000,3424527261.00000000,1134914926.00000000,2289612335.00000000,417155.00000000,8184649.00000000,1691627279.00000000,843347493.00000000,848279786.00000000
2026-02-12,11766600789.00000000,9463794051.00000000,3983517534.00000000,,283319407.00000000,290794500.00000000,,,-7475093.00000000,998032822.00000000,0.00000000,2702165304.00000000,-1680710795.00000000,,11766600789.00000000,5785698319.00000000,827861839.00000000,4957836480.00000000,552416474.00000000,4405420006.00000000,5980902471.00000000,4416771316.00000000,846007765.00000000,3560952484.00000000,1134914926.00000000,2426037558.00000000,1626433.00000000,8184634.00000000,1564131154.00000000,1009754293.00000000,554376861.00000000
