tarih,TP.BL053,TP.BL054,TP.BL055,TP.BL123
2025-10-17,3905297527.00000000,8850314545.00000000,12755612072.00000000,12755612072.00000000
2025-10-24,3917555518.00000000,8334765467.00000000,12252320985.00000000,12252320985.00000000
2025-10-31,3894851255.00000000,8263030943.00000000,12157882198.00000000,12157882198.00000000
2025-11-07,3948053860.00000000,8328954630.00000000,12277008490.00000000,12277008490.00000000
2025-11-14,3665144113.00000000,8473173097.00000000,12138317210.00000000,12138317210.00000000
2025-11-21,3728053755.00000000,8202896840.00000000,11930950595.00000000,11930950595.00000000
2025-11-28,3744007097.00000000,8327955178.00000000,12071962275.00000000,12071962275.00000000
2025-12-05,3774678767.00000000,8470948619.00000000,12245627386.00000000,12245627386.00000000
2025-12-12,3814420173.00000000,8687258741.00000000,12501678913.00000000,12501678913.00000000
2025-12-19,3638387359.00000000,8771979892.00000000,12410367251.00000000,12410367251.00000000
2025-12-26,3563533907.00000000,8882070753.00000000,12445604660.00000000,12445604660.00000000
2026-01-02,3943022736.00000000,8669040417.00000000,12612063153.00000000,12612063153.00000000
2026-01-09,3865661952.00000000,9008984173.00000000,12874646125.00000000,12874646125.00000000
2026-01-16,3709875963.00000000,9425455450.00000000,13135331413.00000000,13135331413.00000000
2026-01-23,3737535155.00000000,9898892113.00000000,13636427268.00000000,13636427268.00000000
2026-01-30,3829942979.00000000,10049174917.00000000,13879117897.00000000,13879117897.00000000
2026-02-06,3855880718.00000000,9608504060.00000000,13464384778.00000000,13464384778.00000000
2026-02-13,3870187463.00000000,9821257639.00000000,13691445102.00000000,13691445102.00000000
2026-02-20,3869853384.00000000,9588042558.00000000,13457895942.00000000,13457895942.00000000
2026-02-27,3959432214.00000000,9815796266.00000000,13775228480.00000000,13775228480.00000000
2026-03-06,4480430573.00000000,9276102357.00000000,13756532930.00000000,13756532930.00000000
2026-03-13,4397724004.00000000,8944738974.00000000,13342462978.00000000,13342462978.00000000
2026-03-20,4636017918.00000000,8419687249.00000000,13055705167.00000000,13055705167.00000000
2026-03-27,5474024701.00000000,7476690495.00000000,12950715196.00000000,12950715196.00000000
2026-04-03,4607378647.00000000,7796243127.00000000,12403621774.00000000,12403621774.00000000
2026-04-10,4567351750.00000000,8221060303.00000000,12788412054.00000000,12788412054.00000000
2026-04-17,3986038554.00000000,8412520617.00000000,12398559170.00000000,12398559170.00000000
2026-04-24,4044578089.00000000,8290113030.00000000,12334691119.00000000,12334691119.00000000
2026-05-01,4350454621.00000000,8071386866.00000000,12421841487.00000000,12421841487.00000000
2026-05-08,4648487067.00000000,8376152606.00000000,13024639673.00000000,13024639673.00000000
2026-05-15,4362308573.00000000,8278014588.00000000,12640323161.00000000,12640323161.00000000
2026-05-22,4873533324.00000000,7920726370.00000000,12794259694.00000000,12794259694.00000000
2026-05-29,4912546892.00000000,7877206384.00000000,12789753277.00000000,12789753277.00000000
2026-06-05,4763492494.00000000,7961827153.00000000,12725319647.00000000,12725319647.00000000
2026-06-12,4829911547.00000000,7647426366.00000000,12477337913.00000000,12477337913.00000000
2026-06-19,4359603273.00000000,7908599495.00000000,12268202768.00000000,12268202768.00000000
2026-06-26,4498069779.00000000,7552936193.00000000,12051005973.00000000,12051005973.00000000
2026-07-03,4930083456.00000000,8084756623.00000000,13014840079.00000000,13014840079.00000000
2026-07-10,4845877505.00000000,8285773151.00000000,13131650656.00000000,13131650656.00000000
2026-07-17,4288252458.00000000,8180696073.00000000,12468948531.00000000,12468948531.00000000
2026-07-24,4294839295.00000000,8317596056.00000000,12612435351.00000000,12612435351.00000000
2026-07-31,4406207873.00000000,8426538033.00000000,12832745905.00000000,12832745905.00000000
2026-08-07,4415509662.00000000,9109340568.00000000,13524850231.00000000,13524850231.00000000
2026-08-14,4418222262.00000000,9382769283.00000000,13800991545.00000000,13800991545.00000000
2026-08-21,4431652088.00000000,9674327185.00000000,14105979273.00000000,14105979273.00000000
