tarih,altin_ons_mn,altin_fiyat,altin_fiyat_kaynak,ons_kaynak,altin_deger_seviye,altin_deger_ima,altin_fiyat_etkisi,altin_miktar_etkisi,doviz_rezerv,swap_capa_revizyon,net_alim_satim,net_alim_satim_altin_haric,kumulatif
2023-03-07,27.267289571107028,1849.44,agort03,ara_deger,49.96454994315592,50.42921602438818,-0.8992752100551102,0.06979416366382991,69.6624467900095,-0.0,-0.31252794156457875,-0.38232210522840865,
2023-03-08,27.30571274787053,1816.46,agort03,ara_deger,49.25076415967775,49.5997349779969,0.027851827002827446,0.06983335530413513,69.65770382213128,-0.0,0.15668417357761627,0.08685081827348114,
2023-03-09,27.344135924634035,1817.48,agort03,ara_deger,49.27842002847908,49.69742016030387,0.547976483929665,0.07060335576646926,69.18251377984399,-0.0,-0.5190399847139973,-0.5896433404804665,
2023-03-10,27.382559101397536,1837.52,agort03,ima,49.8217765096347,50.316,1.1306258652967034,0.029164125946679515,70.2812881550164,-0.0,-1.1398468480395247,-1.1690109739862042,
2023-03-13,27.398081759860435,1878.81,agort03,ara_deger,50.94129692415145,51.47578999124339,0.7202955694667298,0.009857405545894222,72.39644658538518,-0.0,-0.5210845641011604,-0.5309419696470546,
2023-03-14,27.40325597934807,1905.1,agort03,ara_deger,51.65411338570741,52.205942966256,0.11838206583078816,0.009879758174074025,73.5833462661468,-0.1002326500000023,-1.0699150321735968,-1.0797947903476708,
2023-03-15,27.408430198835703,1909.42,agort03,ara_deger,52.28480599939049,52.33420479026087,0.22995672936822806,0.009923169875575257,71.75295282261746,-0.0,0.482120521982464,0.4721973521068888,
2023-03-16,27.413604418323334,1917.81,agort03,ara_deger,52.51454567025121,52.57408468950467,0.373921564265933,0.009993746229393415,70.95231603739609,-0.0,2.127761188625154,2.1177674423957606,
2023-03-17,27.41877863781097,1931.45,agort03,ima,52.88804377639428,52.958,1.5763055838877529,-0.5299709683114405,73.94287830264577,-0.0,-2.580202279969593,-2.0502313116581528,
2023-03-20,27.15231963537176,1988.94,agort03,ara_deger,54.46226709913362,54.00433461557631,-0.5419602999220213,-0.17488414887424428,68.83563173575482,-0.0,0.688281933327968,0.8631660822022124,
2023-03-21,27.063499967892028,1968.98,agort03,ara_deger,53.91571121946973,53.287490166780046,-0.6641382892120694,-0.17270451423429856,70.67649316816536,-0.1871211099999925,-0.35228800743478794,-0.17958349320048939,
2023-03-22,26.97468030041229,1944.44,agort03,ara_deger,53.31416993450516,52.45064736333368,0.778489273469896,-0.17526784983776375,70.27643780856154,-0.0,-0.7866308259583175,-0.6113629761205537,
2023-03-23,26.885860632932555,1973.3,agort03,ara_deger,54.105475885992384,53.05386878696581,0.48098804672316614,-0.17685683368897623,68.5811512447032,-0.0,0.9484230410374042,1.1252798747263804,
