Tarih,usdtry,net_dis_varlik_usd,kamu_doviz_mev_usd,brut_usd,swap_toplam_usd,swap_yerli_usd,swap_yabanci_usd,swap_capa_tarih,swap_capa_tipi,swap_haric_usd,swap_capa_revizyon,altin_fiyat,altin_fiyat_kaynak,ons,ons_kaynak,altin_fiyat_etkisi,altin_miktar_etkisi,altin_deger_ima,bennet_fark,net_doviz_alimi,net_doviz_alimi_altin_haric,net_doviz_alimi_birikimli,altin_fiyat_etkisi_birikimli,akim_gecici,altin_usd,doviz_usd,eski_net_rezerv_usd,eski_swap_haric_usd,analitik_dis_varlik_usd,tanim_farki,net_rezerv_usd,swap_haric_net_rezerv_usd,swap_duzeltme_usd,swap_gozlem,kur_varyant_fark
2024-01-04,29.7394,33.46324465187596,9.597528833802969,138.3076708774529,71.09109825,47.58334422,23.50775403,2023-11-30,aylık,-37.62785359812404,-0.15512638000000578,2067.49,agort03,23.30491972364696,ara_deger,-0.5192336114428483,-0.025094867999999337,48.182688479442845,0.0001366885696432174,0.1006556632365766,0.12575053123657592,,,False,47.9923717206428,90.31529915681008,31.850590227106128,-40.67802267611968,140.34543090983678,1.6126544247698327,33.46324465187596,-37.62785359812404,-71.09109825,False,0.0602030649260059
2024-01-05,29.7452,34.01966155883974,9.63513998897301,139.59530039417234,72.02848195000001,48.36560154,23.662880410000007,2023-12-31,aylık,-38.00882039116027,-0.0,2045.21,agort03,23.2926496545587,ima,0.17679121087810393,-0.006865453528824981,47.63836,1.26921259459567e-05,-0.8851967559693711,-0.8783313024405461,,,False,47.475189029584605,92.12011136458773,32.25870123582965,-40.29981489320261,141.63306042655623,1.7609603230100959,34.01966155883974,-38.00882039116027,-72.02848195000001,False,0.061192190945737066
2024-01-08,29.7714,32.6344099034644,9.606593878688942,137.73776624451273,71.38018195000001,47.71730154,23.662880410000007,2023-12-31,aylık,-38.745772046535606,-0.0,2052.8,agort03,23.289305220844348,ara_deger,-0.4033707664250279,-0.002269175978956894,47.80828575734928,9.65426532201219e-06,0.5323291887443211,0.534598364723278,,,False,47.6513746949855,90.08639154952724,30.82198532820089,-41.82624047825073,139.7755262768966,1.8124245752635133,32.6344099034644,-38.745772046535606,-71.38018195000001,False,0.05864893112575635
2024-01-09,29.8342,32.7131097867548,9.625629009660054,138.056177964948,71.31088828,47.64800787,23.662880410000007,2023-12-31,aylık,-38.5977784932452,-0.0,2035.48,agort03,23.288190409606234,ara_deger,0.1495101824296737,-0.002276333067112842,47.402645814945295,3.5785440743452135e-06,-0.4512113019923868,-0.44893496892527396,,,False,47.24932782743037,90.80685013751764,30.989515120231143,-41.68861391202692,140.09393799733195,1.7235946665236561,32.7131097867548,-38.5977784932452,-71.31088828,False,0.05877609318649769
2024-01-10,29.8823,31.91040863655073,9.622823879018682,137.9104443796668,70.81269338000001,47.14981297,23.662880410000007,2023-12-31,aylık,-38.902284743449286,-0.0,2041.9,agort03,23.287075598368116,ara_deger,0.7167761869177647,-0.0023106469570221095,47.54987966430786,1.7156944954632714e-05,-0.5988976321412989,-0.5965869851842768,,,False,47.56126132964341,90.34918305002341,30.23644970434003,-42.47158255372449,139.9317348062231,1.6739589322107022,31.91040863655073,-38.902284743449286,-70.81269338000001,False,0.057348151049949225
2024-01-11,29.9136,31.272219993581515,9.040665951273,137.71596015511895,70.63878411000002,46.9759037,23.662880410000007,2023-12-31,aylık,-39.3665641164185,-0.0,2072.68,agort03,23.285960787129998,ara_deger,-0.45244621809393204,-0.00228898617466548,48.264345204268594,1.0830391178273668e-05,1.4497223303747062,1.4520113165493718,,,False,48.278209086010726,89.43775106910823,30.24135791078306,-42.49657757308791,139.73725058167523,1.030862082798457,31.272219993581515,-39.3665641164185,-70.63878411000002,False,0.05624668916840106
2024-01-12,29.9581,30.71801018756196,9.079410242972685,139.79360417623897,69.0485539,45.38567349,23.662880410000007,2023-12-31,aylık,-38.33054371243804,-0.0,2053.25,agort03,23.28484597589188,ima,-0.034228723584556406,-0.6197635309347753,47.80961,0.00022201512600619755,0.9111021618106108,1.530865692745386,,,False,47.82563290322265,91.96797127301633,29.49732573160514,-43.270512978072276,141.81489460279522,1.2206844559568175,30.71801018756196,-38.33054371243804,-69.0485539,False,0.055270126053433864
2024-01-15,30.0163,31.37215899361347,9.083047610798134,140.14109571030937,68.8221919,45.15931149,23.662880410000007,2023-12-31,aylık,-37.45003290638654,-0.0,2051.78,agort03,22.98278457996504,ara_deger,1.3725318951155074,-0.21260087916651121,47.15561774548067,0.0030065177607916382,-3.5542550346916677,-3.3416541555251564,,,False,47.791392708230454,92.34970300207891,30.186551906797305,-42.670996480299465,142.16238613686562,1.185607086816166,31.37215899361347,-37.45003290638654,-68.8221919,False,0.05644200946959481
2024-01-16,30.0449,26.645219821001234,9.05952710776205,136.17276453784703,66.30049637000002,42.637615960000005,23.662880410000007,2023-12-31,aylık,-39.655276548998785,-0.0,2111.5,agort03,22.882097447989423,ara_deger,-0.9832437273401009,-0.2082743531055191,48.31554876142967,0.0021632630304961875,0.20286448988119865,0.41113884298671777,,,False,49.18242974560069,86.99033479224633,24.936463825807376,-47.950987787095855,138.19405496440328,1.708755995193858,26.645219821001234,-39.655276548998785,-66.30049637000002,False,0.04789216891977191
2024-01-17,30.047,26.01428485372916,8.93228428794888,136.65707888740346,66.57718346000001,42.91430305,23.662880410000007,2023-12-31,aylık,-40.562898606270856,-0.0,2068.53,agort03,22.781410316013808,ara_deger,0.5198717834114285,-0.21057203345719513,47.12403068098405,0.0011488401758417144,-1.0897022346888416,-0.8791302012316465,,,False,48.165402446511635,88.49167644089182,24.384673078843143,-48.53268175986654,138.6727934901987,1.6296117748860155,26.01428485372916,-40.562898606270856,-66.57718346000001,False,0.04675486313080788
