Tarih,net_uluslararasi_rezerv_TL,brut_doviz_rezerv_TL,brut_doviz_yukumluluk_TL,bankalar_doviz_mev_TL,imf_TL,diger_yukumluluk_TL,swap_forward_aylik_USD_M,diger_aylik_USD_M,usdtry,net_rezerv_usd,brut_rezerv_usd,brut_yukumluluk_usd,bankalar_doviz_mev_usd,imf_usd,diger_yukumluluk_usd
2009-04-24,83035488.0,107630352.0,-24594864.0,-20879098.0,-273894.0,-3441872.0,,,,,,,,,
2009-05-01,82287166.0,106928110.0,-24640944.0,-20974564.0,-267291.0,-3399089.0,,0.0,,,,,,,
2009-05-08,82219046.0,105682431.0,-23463385.0,-19864032.0,-260519.0,-3338834.0,,,,,,,,,
2009-05-15,84682481.0,108962505.0,-24280024.0,-20512171.0,-269189.0,-3498665.0,,,,,,,,,
2009-05-22,83253776.0,106973201.0,-23719425.0,-20019264.0,-264213.0,-3435947.0,,,,,,,,,
2009-05-29,85342976.0,110411533.0,-25068557.0,-21283794.0,-270435.0,-3514328.0,,,,,,,,,
2009-06-05,84642074.0,108982076.0,-24340002.0,-20570056.0,-268548.0,-3501398.0,,,,,,,,,
2009-06-12,84417119.0,108201683.0,-23784563.0,-20064574.0,-267571.0,-3452418.0,,,,,,,,,
2009-06-19,82990872.0,107224939.0,-24234067.0,-20488262.0,-271075.0,-3474729.0,,,,,,,,,
2009-06-26,82399670.0,105526881.0,-23127211.0,-19400329.0,-269323.0,-3457559.0,,,,,,,,,
2009-07-03,81260910.0,103983056.0,-22722145.0,-19043978.0,-265572.0,-3412595.0,,,,,,,,,
2009-07-10,82179183.0,105099423.0,-22920240.0,-19218686.0,-269245.0,-3432309.0,,,,,,,,,
2009-07-17,82426567.0,105107458.0,-22680890.0,-18983637.0,-267167.0,-3430086.0,,,,,,,,,
2009-07-24,80329049.0,102436468.0,-22107418.0,-18485411.0,-260620.0,-3361388.0,,,,,,,,,
2009-07-31,81643544.0,103895409.0,-22251865.0,-18677409.0,-258553.0,-3315902.0,,,,,,,,,
2009-08-07,81734030.0,104012647.0,-22278617.0,-18691779.0,-258632.0,-3328206.0,,,,,,,,,
2009-08-14,82372404.0,104643736.0,-22271332.0,-18690812.0,-258463.0,-3322057.0,,,,,,,,,
2009-08-21,83448942.0,106041160.0,-22592218.0,-19009330.0,-261327.0,-3321561.0,,,,,,,,,
2009-08-28,84398374.0,109462996.0,-25064622.0,-19376440.0,-2332391.0,-3355792.0,,,,,,,,,
2009-09-04,85224033.0,110150390.0,-24926357.0,-19219876.0,-2349014.0,-3357467.0,,,,,,,,,
2009-09-11,85739886.0,111085642.0,-25345756.0,-19411974.0,-2543765.0,-3390016.0,,,,,,,,,
2009-09-18,82561126.0,107460981.0,-24899855.0,-19096973.0,-2499841.0,-3303041.0,,,,,,,,,
2009-09-25,83559405.0,108670878.0,-25111473.0,-19269906.0,-2518375.0,-3323192.0,,,,,,,,,
2009-10-02,84288663.0,109313106.0,-25024443.0,-19198507.0,-2519982.0,-3305954.0,,,,,,,,,
2009-10-09,83171341.0,107931291.0,-24759950.0,-18979161.0,-2488378.0,-3292411.0,,,,,,,,,
2009-10-16,82348169.0,106945810.0,-24597641.0,-18855437.0,-2465773.0,-3276432.0,,,,,,,,,
2009-10-23,84233627.0,109388588.0,-25154961.0,-19278227.0,-2514304.0,-3362429.0,,,,,,,,,
2009-10-30,85180544.0,111387662.0,-26207118.0,-20289530.0,-2537123.0,-3380465.0,,,,,,,,,
2009-11-06,85646985.0,111180701.0,-25533716.0,-19651291.0,-2547086.0,-3335339.0,,,,,,,,,
2009-11-13,85350475.0,110596839.0,-25246364.0,-19393064.0,-2531552.0,-3321748.0,,,,,,,,,
2009-11-20,85955525.0,111461229.0,-25505704.0,-19613911.0,-2552443.0,-3339351.0,,,,,,,,,
2009-11-27,85008382.0,111361495.0,-26353112.0,-20361731.0,-2567977.0,-3423404.0,,,,,,,,,
2009-12-04,85341551.0,110974086.0,-25632535.0,-19631632.0,-2569691.0,-3431212.0,,,,,,,,,
2009-12-11,85453977.0,110737458.0,-25283481.0,-19255644.0,-2558014.0,-3469824.0,,,,,,,,,
2009-12-18,85192394.0,110087602.0,-24895208.0,-18911440.0,-2554907.0,-3428861.0,,,,,,,,,
2009-12-25,85173784.0,110451427.0,-25277643.0,-19350420.0,-2543444.0,-3383779.0,,,,,,,,,
2010-01-01,86202900.0,112558313.0,-26355414.0,-20473464.0,-2533695.0,-3348255.0,,0.0,,,,,,,
2010-01-08,84818366.0,109466244.0,-24647878.0,-18912087.0,-2471879.0,-3263912.0,,,,,,,,,
2010-01-15,86544013.0,110989398.0,-24445385.0,-18747626.0,-2456238.0,-3241521.0,,,,,,,,,
2010-01-22,84622922.0,109368950.0,-24746028.0,-19074541.0,-2464058.0,-3207429.0,,,,,,,,,
2010-01-29,85782549.0,111144047.0,-25361498.0,-19653067.0,-2489556.0,-3218875.0,,,,,,,,,
2010-02-05,85746693.0,110624398.0,-24877705.0,-19201712.0,-2479700.0,-3196294.0,,,,,,,,,
2010-02-12,83142581.0,108314248.0,-25171667.0,-19466090.0,-2497377.0,-3208200.0,,,,,,,,,
2010-02-19,83055705.0,107991068.0,-24935364.0,-19251274.0,-2492984.0,-3191105.0,,,,,,,,,
2010-02-26,84834376.0,110552200.0,-25717824.0,-19955801.0,-2534873.0,-3227150.0,,,,,,,,,
2010-03-05,85375113.0,110957288.0,-25582175.0,-19783005.0,-2543980.0,-3255190.0,,,,,,,,,
2010-03-12,85169925.0,110362602.0,-25192677.0,-19464915.0,-2518803.0,-3208958.0,,,,,,,,,
2010-03-19,85714873.0,110486923.0,-24772050.0,-19106881.0,-2503698.0,-3161471.0,,,,,,,,,
2010-03-26,86374797.0,111107018.0,-24732221.0,-19095408.0,-2500698.0,-3136115.0,,,,,,,,,
2010-04-02,85808207.0,110995945.0,-25187738.0,-19596734.0,-2472200.0,-3118804.0,,,,,,,,,
2010-04-09,84440597.0,108714193.0,-24273596.0,-18775765.0,-2438239.0,-3059591.0,,,,,,,,,
2010-04-16,85632136.0,110400957.0,-24768821.0,-19307334.0,-2416384.0,-3045103.0,,,,,,,,,
2010-04-23,88650377.0,113279855.0,-24629478.0,-19185498.0,-2412849.0,-3031130.0,,,,,,,,,
2010-04-30,88314209.0,114163996.0,-25849787.0,-20439869.0,-2403314.0,-3006604.0,,,,,,,,,
2010-05-07,89869395.0,115458697.0,-25589302.0,-20120252.0,-2449595.0,-3019455.0,,,,,,,,,
2010-05-14,89141809.0,115581956.0,-26440147.0,-21083500.0,-2407278.0,-2949369.0,,,,,,,,,
2010-05-21,92045835.0,119298293.0,-27252458.0,-21743887.0,-2488592.0,-3019978.0,,,,,,,,,
2010-05-28,91333677.0,118656012.0,-27322335.0,-21876187.0,-2469308.0,-2976840.0,,,,,,,,,
2010-06-04,91402992.0,118932293.0,-27529301.0,-22053897.0,-2471772.0,-3003632.0,,,,,,,,,
2010-06-11,91988586.0,119305749.0,-27317163.0,-21824796.0,-2496627.0,-2995741.0,,,,,,,,,
2010-06-18,89294999.0,116432957.0,-27137958.0,-21707426.0,-2468344.0,-2962188.0,,,,,,,,,
2010-06-25,90302512.0,117565267.0,-27262755.0,-21830571.0,-2497055.0,-2935129.0,,,,,,,,,
2010-07-02,92142597.0,119079729.0,-26937132.0,-21485140.0,-2512375.0,-2939617.0,,,,,,,,,
2010-07-09,91712613.0,118541179.0,-26828566.0,-21400283.0,-2488056.0,-2940227.0,,,,,,,,,
2010-07-16,91478398.0,118224752.0,-26746354.0,-21332420.0,-2479807.0,-2934127.0,,,,,,,,,
2010-07-23,91191125.0,117756698.0,-26565573.0,-21170955.0,-2464166.0,-2930453.0,,,,,,,,,
2010-07-30,91289280.0,118672755.0,-27383475.0,-21928417.0,-2459987.0,-2995071.0,,,,,,,,,
2010-08-06,92847559.0,120021698.0,-27174139.0,-21715568.0,-2461809.0,-2996762.0,,,,,,,,,
2010-08-13,93351359.0,120349082.0,-26997723.0,-21553417.0,-2470701.0,-2973606.0,,,,,,,,,
2010-08-20,92076043.0,119780804.0,-27704760.0,-22326894.0,-2435025.0,-2942841.0,,,,,,,,,
2010-08-27,94506945.0,122454473.0,-27947528.0,-22521648.0,-2466737.0,-2959143.0,,,,,,,,,
2010-09-03,94578358.0,122792756.0,-28214398.0,-22807307.0,-2455595.0,-2951496.0,,,,,,,,,
2010-09-10,94736383.0,122833343.0,-28096959.0,-22688295.0,-2448845.0,-2959818.0,,,,,,,,,
2010-09-17,89601848.0,118175968.0,-28574120.0,-23172081.0,-2434490.0,-2967550.0,,,,,,,,,
2010-09-24,90409830.0,119251293.0,-28841463.0,-23402587.0,-2451952.0,-2986924.0,,,,,,,,,
2010-10-01,89684534.0,118391332.0,-28706798.0,-23334077.0,-2417134.0,-2955587.0,,0.0,,,,,,,
2010-10-08,89085746.0,117633723.0,-28547977.0,-23221235.0,-2388530.0,-2938213.0,,,,,,,,,
