tarih,delta_gercek,ar_gercek,pe_gercek,delta_tuzel,ar_tuzel,pe_tuzel,delta_toplam,ar_toplam,pe_toplam,ar_gercek_usd,pe_gercek_usd,ar_gercek_eur,pe_gercek_eur,ar_gercek_diger,pe_gercek_diger,ar_gercek_maden,pe_gercek_maden,ar_tuzel_usd,pe_tuzel_usd,ar_tuzel_eur,pe_tuzel_eur,ar_tuzel_diger,pe_tuzel_diger,ar_tuzel_maden,pe_tuzel_maden,artik_gercek,esik_gercek,artik_tuzel,esik_tuzel,artik_toplam,esik_toplam
2024-09-20,584.9000000000087,-361.062501,945.987501,1454.4999999999927,1231.53321,222.89679,2039.3000000000175,870.470709,1168.884291,-218.404,0.0,-46.125501,150.633501,-142.185,0.0,45.652,795.354,807.723,0.0,231.65221,162.90379,164.925,0.0,27.233,59.993,-0.024999999991223376,25.0,0.06999999999266038,25.0,-0.054999999982783265,25.0
2024-09-27,425.5,-893.994617,1319.495617,-1936.8999999999942,-2080.735932,143.900932,-1511.3000000000175,-2974.730549,1463.396549,-511.284,0.0,-147.658617,39.792617,-363.058,0.0,128.006,1279.703,-1169.526,0.0,-845.551932,47.682932,-127.756,0.0,62.098,96.218,-0.0010000000002037268,25.0,-0.06499999999414285,25.0,0.033999999982370355,44.381270980000004
2024-10-04,-730.5,374.662236,-1105.113236,220.3000000000029,722.025366,-501.792366,-510.19999999998254,1096.687602,-1606.905602,-166.403,0.0,123.367236,-430.033236,265.56,0.0,152.138,-675.08,454.446,0.0,163.761366,-457.092366,68.392,0.0,35.426,-44.7,-0.049000000000205546,25.0,0.06700000000296313,25.0,0.018000000017536877,27.03593204
2024-10-11,-346.90000000000873,-299.181334,-47.755666,-2547.9000000000015,-2433.411948,-114.486052,-2894.8000000000175,-2732.593282,-162.241718,-408.735,0.0,32.672666,-107.497666,-112.108,0.0,188.989,59.742,-1677.459,0.0,-760.102948,-121.849052,-61.606,0.0,65.756,7.363,0.03699999999125936,25.0,-0.0020000000015159003,25.478980000000004,0.03499999998234671,28.94835
2024-10-18,812.0,-8.737467,820.719467,1884.7999999999956,2022.520511,-137.684511,2696.8000000000175,2013.783044,683.034956,-95.799,0.0,72.350533,-206.420533,-56.232,0.0,70.943,1027.14,795.914,0.0,1266.033511,-216.338511,-47.412,0.0,7.985,78.654,0.018000000000029104,25.0,-0.036000000004321464,25.0,-0.01799999998252133,26.968180000000004
2024-10-25,60.70000000001164,-440.164117,500.867117,-1603.7999999999956,-1573.58908,-30.18792,-1543.1000000000058,-2013.753197,470.679197,-365.431,0.0,-84.799117,-60.696883,-32.857,0.0,42.923,561.564,-448.429,0.0,-1176.53908,-62.81692,0.658,0.0,50.721,32.629,-0.0029999999883898454,25.0,-0.02299999999566893,25.0,-0.026000000005808488,25.0
2024-11-01,191.5,75.405583,116.078417,-568.0999999999985,-647.675638,79.528638,-376.70000000001164,-572.270055,195.607055,-61.331,0.0,76.447583,69.940417,3.391,0.0,56.898,46.138,233.339,0.0,-769.864638,74.970638,-98.169,0.0,-12.981,4.558,0.016000000000005343,25.0,0.047000000001503395,25.0,-0.03700000001168746,25.0
2024-11-08,-1439.4000000000087,15.211495,-1454.584495,374.1999999999971,696.469926,-322.255926,-1065.0999999999767,711.681421,-1776.840421,-284.33,0.0,12.284495,-228.640495,1.049,0.0,286.208,-1225.944,-104.0,0.0,598.626926,-232.905926,97.429,0.0,104.414,-89.35,-0.027000000008683855,25.0,-0.014000000002909019,25.0,0.059000000023388566,25.0
2024-11-15,-1617.0999999999913,398.966144,-2016.082144,1638.300000000003,2335.454393,-697.119393,21.199999999982538,2734.420537,-2713.201537,-130.336,0.0,158.551144,-518.692144,-73.017,0.0,443.768,-1497.39,544.968,0.0,1535.756393,-546.529393,97.103,0.0,157.627,-150.59,0.016000000008716597,25.0,-0.034999999997126,30.32573786,-0.01900000001751323,54.47622074
2024-11-22,1813.5999999999913,-218.100412,2031.699412,-2223.5,-2102.020192,-121.471808,-409.8999999999942,-2320.120604,1910.227604,-246.461,0.0,-94.101412,-297.438588,-36.062,0.0,158.524,2329.138,-1093.51,0.0,-553.885192,-324.023808,-270.881,0.0,-183.744,202.552,0.0009999999913361535,25.0,-0.00800000000005241,25.0,-0.006999999993922756,42.30348208
2024-11-29,-1003.8999999999942,-185.572767,-818.276233,483.1999999999971,202.311966,280.822034,-520.7000000000116,16.739199,-537.454199,-244.635,0.0,-31.066767,336.607767,56.385,0.0,33.744,-1154.884,681.063,0.0,-756.819034,350.219034,198.233,0.0,79.835,-69.397,-0.05099999999413285,25.0,0.06599999999713191,25.0,0.0149999999883903,25.0
2024-12-06,-804.6000000000058,-321.19596,-483.42604,-2219.4000000000015,-2198.900671,-20.511329,-3024.0,-2520.096631,-503.937369,-145.562,0.0,-175.91296,49.85596,-0.935,0.0,1.214,-533.282,-1575.94,0.0,-551.986671,53.249671,-97.139,0.0,26.165,-73.761,0.02199999999419333,25.0,0.011999999998419497,25.0,0.03399999999987813,30.240339999999996
2024-12-13,-297.8999999999942,-551.402212,253.542212,1416.7000000000044,1595.241075,-178.456075,1118.9000000000233,1043.838863,75.086137,-53.904,0.0,-5.043212,-217.901788,-228.929,0.0,-263.526,471.444,797.917,0.0,976.087075,-224.143075,-168.104,0.0,-10.659,45.687,-0.039999999994222435,25.0,-0.08499999999554575,25.0,-0.02499999997665725,25.0
2024-12-20,-1013.0,-2.723024,-1010.311976,-304.5,-2.825803,-301.672197,-1317.6000000000058,-5.548827,-1311.984173,-52.437,0.0,-90.788024,-231.064976,134.862,0.0,5.64,-779.247,191.567,0.0,-217.383803,-244.889197,32.236,0.0,-9.245,-56.783,0.03499999999996817,25.0,-0.0020000000000095497,25.0,-0.06700000000569162,25.0
2024-12-27,375.3999999999942,110.043142,265.376858,376.29999999999563,274.862823,101.356177,751.6999999999825,384.905965,366.733035,122.008,0.0,14.222142,90.561858,-15.333,0.0,-10.854,174.815,326.729,0.0,9.501823,92.611177,-47.906,0.0,-13.462,8.745,-0.020000000005836682,25.0,0.08099999999564034,25.0,0.06099999998258454,25.0
2025-01-03,269.1999999999971,160.885202,108.254798,-344.90000000000146,-43.874463,-301.009537,-75.79999999998836,117.010739,-192.754739,81.86,0.0,60.946202,-319.738202,33.483,0.0,-15.404,427.993,124.41,0.0,-201.393463,-336.220537,65.336,0.0,-32.227,35.211,0.05999999999710326,25.0,-0.01600000000144064,25.0,-0.055999999988358695,25.0
2025-01-10,-163.39999999999418,-253.773461,90.365461,-740.6999999999971,-701.927278,-38.778722,-904.1000000000058,-955.700739,51.586739,-179.731,0.0,-58.250461,-55.004539,-22.001,0.0,6.209,145.37,-354.84,0.0,-209.522278,-53.049722,-245.252,0.0,107.687,14.271,0.008000000005822017,25.0,0.006000000002913453,25.0,0.013999999994176449,25.0
2025-01-17,131.6999999999971,-225.202981,356.953981,882.3000000000029,808.335465,74.014535,1014.1000000000058,583.132484,430.968516,-35.016,0.0,-129.810981,50.789981,40.236,0.0,-100.612,306.164,849.583,0.0,180.798465,48.859535,-98.543,0.0,-123.503,25.155,-0.051000000002886736,25.0,-0.04999999999708393,25.0,-0.0009999999941783244,25.0
2025-01-24,1269.6000000000058,20.206155,1249.416845,1248.0,707.809734,540.168266,2517.600000000006,728.015889,1789.585111,113.646,0.0,-111.982845,448.076845,43.401,0.0,-24.858,801.34,636.5,0.0,-87.335266,470.319266,160.619,0.0,-1.974,69.849,-0.022999999994226528,25.0,0.021999999999934516,25.0,-0.0009999999942920113,25.17601
2025-01-31,11.69999999999709,-92.435453,104.122453,-1366.9000000000015,-1145.562665,-221.363335,-1355.2000000000116,-1237.998118,-117.240882,-115.309,0.0,65.375547,-226.532547,-13.949,0.0,-28.553,330.655,-261.559,0.0,-657.223665,-243.293335,-202.013,0.0,-24.767,21.93,0.012999999997092004,25.0,0.025999999998475687,25.0,0.038999999988334366,25.0
2025-02-07,1970.3999999999942,980.59486,989.77014,2286.9000000000015,2190.653333,96.301667,4257.3000000000175,3171.248193,1086.071807,718.93,0.0,32.30486,-3.82286,97.742,0.0,131.618,993.593,1126.239,0.0,821.228333,6.426667,190.556,0.0,52.63,89.875,0.03499999999417014,25.0,-0.054999999998742055,25.0,-0.019999999982474037,42.5732
2025-02-14,1055.1000000000058,-65.501314,1120.634314,675.0999999999985,336.935067,338.119933,1730.1999999999825,271.433753,1458.754247,-377.611,0.0,6.296686,259.677314,64.829,0.0,240.984,860.957,-90.273,0.0,157.760067,266.151933,48.006,0.0,221.442,71.968,-0.03299999999399006,25.0,0.04499999999853799,25.0,0.011999999982435838,25.0
2025-02-21,1499.199999999997,910.239789,588.985211,2696.9000000000015,2675.201967,21.744033,4196.200000000012,3585.441756,610.729244,306.387,0.0,136.478789,-45.492789,102.239,0.0,365.135,634.478,1568.344,0.0,889.462967,-38.991967,132.181,0.0,85.214,60.736,-0.02500000000293312,25.0,-0.04599999999851434,26.969459999999998,0.029000000011478733,41.961710000000004
2025-02-28,-1543.5999999999913,-4.911575,-1538.686425,-1642.4000000000015,-1334.962857,-307.486143,-3186.100000000006,-1339.874432,-1846.172568,-83.945,0.0,102.833425,-161.606425,35.729,0.0,-59.529,-1377.08,-1197.39,0.0,30.722143,-180.424143,-147.964,0.0,-20.331,-127.062,-0.001999999991085133,25.0,0.04899999999855709,25.0,-0.0530000000057953,31.86047
2025-03-07,2177.699999999997,284.898887,1892.784113,3459.7000000000044,2209.300708,1250.386292,5637.399999999994,2494.199595,3143.170405,36.733,0.0,-183.768113,1058.801113,111.872,0.0,320.062,833.983,1430.287,0.0,440.459708,1168.531292,172.093,0.0,166.461,81.855,0.016999999997096893,25.0,0.013000000004240064,34.59687,0.029999999994288373,56.3737
2025-03-14,785.5,-41.238232,826.750232,825.0,714.452279,110.538721,1610.5,673.214047,937.288953,107.618,0.0,-130.008232,37.364232,-3.891,0.0,-14.957,789.386,-111.599,0.0,818.047279,42.961721,-66.24,0.0,74.244,67.577,-0.011999999999943611,25.0,0.009000000000028763,25.0,-0.0030000000000427463,25.0
