tarih,stok_toplam_mia,stok_gercek_mia,stok_tuzel_mia,maden_gercek_mia,maden_tuzel_mia,genis_toplam_mia,maden_toplam_mia,maden_pay_gercek,maden_pay_tuzel,maden_pay_toplam,gercek_pay,tuzel_pay,genis_fark_mia,genis_fark_pay
2025-12-05,212.0734,136.1757,75.8977,70.421617,6.838643,249.420732,77.26025999999999,51.71379108020005,9.010342869415016,36.43090552610558,64.21158900644778,35.78841099355223,37.347331999999994,14.973627773652751
2025-12-12,214.4725,137.8212,76.6512,72.023303,6.988491,251.797986,79.011794,52.25850812501995,9.11726235205711,36.84005828253039,64.26054622387485,35.739407150100824,37.325486000000005,14.823584013892791
2025-12-19,215.27020000000002,138.1507,77.1195,72.791516,6.952578000000001,252.81509899999998,79.744094,52.689936424498754,9.015330752922413,37.04372179707177,64.17548736425199,35.824512635748,37.54489899999997,14.850734449211034
2025-12-26,221.4634,142.71689999999998,78.7466,77.059557,7.503003,259.643928,84.56255999999999,53.99469649354772,9.528034226239608,38.18353732490335,64.44265734202581,35.5573878121622,38.180528000000024,14.704957013283213
2026-01-02,220.30939999999998,142.4555,77.8539,77.178297,7.493427,257.560228,84.671724,54.17712689225759,9.624986031528286,38.433096363568694,64.66156233006853,35.338437669931466,37.250828000000006,14.462958155169831
2026-01-09,219.7459,142.9859,76.76,78.46404799999999,7.877969,256.882161,86.342017,54.87537442503072,10.263117509119333,39.29175333874261,65.06874530992387,34.93125469007613,37.136261,14.456535578583832
2026-01-16,222.6057,145.8512,76.75439999999999,82.210264,8.206507,260.034186,90.416771,56.3658468356791,10.69190430776607,40.61745543802337,65.5199754543572,34.47997962316328,37.42848599999998,14.393678991115413
2026-01-23,230.9874,153.1877,77.7997,89.23787200000001,8.956363,269.40469199999995,98.194235,58.25394075372892,11.512079095420676,42.51064560231424,66.31863902533213,33.68136097466788,38.41729199999999,14.260067898149298
2026-01-30,238.1679,160.696,77.47189999999999,96.89084799999999,9.919065,277.38667399999997,106.809913,60.294498929655994,12.803435826409318,44.846477212084416,67.47172897775057,32.52827102224943,39.218774,14.138665507774178
2026-02-06,233.488,156.3734,77.11460000000001,93.313232,9.672963,272.06890899999996,102.98619500000001,59.67334086232058,12.543620792949712,44.1077036078942,66.9727780442678,33.02722195573221,38.580908999999984,14.180565189093322
2026-02-13,234.27270000000001,157.724,76.5487,95.025561,9.935808999999999,272.516113,104.96137,60.24800347442367,12.979722712469316,44.803073512193265,67.32495933158238,32.675040668417616,38.243413000000004,14.03345019822736
2026-02-20,236.05079999999998,159.5108,76.54010000000001,97.22216999999999,10.078227,273.870143,107.300397,60.95021152172768,13.16725089201608,45.45648521419965,67.57477627697088,32.425266086791495,37.819342999999996,13.809224541866177
2026-02-27,239.7438,161.6504,78.09339999999999,99.426117,10.225567999999999,277.912315,109.651685,61.50687966129376,13.09402331054865,45.73702635897154,67.4263109202407,32.57368907975931,38.16851500000001,13.734013550281144
2026-03-06,237.083,159.6559,77.42710000000001,97.827692,10.043541999999999,274.403789,107.871234,61.274085079223504,12.971610715111373,45.49935423459295,67.34177482147602,32.65822517852398,37.32078899999999,13.600682824390589
2026-03-13,234.4819,157.9426,76.5393,96.59778999999999,10.027904000000001,271.720532,106.62569399999998,61.160060680272444,13.101640595092977,45.47288895219631,67.35812017899889,32.64187982100111,37.23863200000001,13.70475456010075
2026-03-20,232.2735,155.4377,76.8358,94.012587,9.621198,269.240856,103.633785,60.48248719583472,12.521764594108475,44.61713669445718,66.92011787827713,33.07988212172289,36.96735600000003,13.730217823999203
2026-03-27,226.6665,150.1343,76.5322,88.650196,9.36116,263.775728,98.011356,59.04726368324893,12.231661967119722,43.2403359120117,66.23576929100683,33.76423070899317,37.109228,14.068477142066687
2026-04-03,232.523,153.1357,79.3873,91.841184,9.514322,270.831087,101.35550599999999,59.97372526458559,11.984690246424806,43.58945394649131,65.85830218946084,34.14169781053917,38.308087,14.144641748603991
2026-04-10,234.3076,155.2587,79.04889999999999,93.707406,9.736559999999999,272.020018,103.443966,60.355655431869515,12.317135342806793,44.148788174177874,66.26276740489853,33.73723259510148,37.71241799999998,13.863839241419349
2026-04-17,237.0951,156.3138,80.7813,94.585757,9.852227999999998,275.794168,104.437985,60.51017696454184,12.196174114553738,44.04898498534976,65.92873492535273,34.07126507464726,38.699068,14.031865967521112
2026-04-24,233.7515,152.9941,80.75739999999999,91.920742,9.543964,272.438383,101.464706,60.08123319788148,11.818067446450728,43.40708230749322,65.4516013800981,34.5483986199019,38.68688299999997,14.200232204432067
2026-05-01,229.3883,150.8021,78.58619999999999,89.940274,9.340913,267.855665,99.281187,59.641260963872526,11.886200121649857,43.28084169942408,65.74097283950402,34.25902716049598,38.467364999999994,14.36122883568656
2026-05-08,232.0062,153.1036,78.9026,92.399985,9.483736,270.57208299999996,101.88372100000001,60.35128174647755,12.019548151771932,43.91422341299499,65.99116747742086,34.00883252257914,38.56588299999997,14.25345977027496
2026-05-15,229.0284,149.96439999999998,79.064,89.607749,9.302519,267.758714,98.910268,59.752680636204325,11.765808711929576,43.18690083849863,65.47851707473833,34.52148292526167,38.730313999999986,14.464632512389489
2026-05-22,227.7474,148.919,78.82839999999999,88.51091199999999,9.20906,267.821908,97.719972,59.43560727643886,11.6824139523319,42.907173473769625,65.38779366965332,34.61220633034669,40.074508,14.963117953741111
2026-05-29,230.4272,149.9901,80.437,89.602028,9.357001,270.696301,98.95902900000002,59.738628082786796,11.632707584817933,42.945897446134836,65.09218529756905,34.90777130477652,40.269100999999964,14.876117941486008
2026-06-05,226.2626,147.3578,78.90480000000001,87.348188,9.039656,265.73992599999997,96.387844,59.276256838796456,11.456408228650222,42.59998956964164,65.1268923808,34.87310761919999,39.47732599999997,14.855624668157684
2026-06-12,221.9459,142.7265,79.2195,83.303151,8.663022000000002,262.106744,91.966173,58.3655810238463,10.93546664646962,41.43630181949745,64.30688739913646,35.69315765688846,40.16084400000001,15.322323793393128
2026-06-19,222.1044,141.6621,80.4423,82.861035,8.956935999999999,262.207623,91.817971,58.4920278606628,11.134609527574423,41.34000542087415,63.781762090260266,36.21823790973975,40.10322300000003,15.294453510224615
2026-06-26,218.40570000000002,138.68,79.7256,80.18424,8.679917999999999,258.859089,88.864158,57.81961349870205,10.88724073572353,40.68765512987986,63.496511308999715,36.50344290464947,40.453388999999994,15.627571415891058
2026-07-03,217.6883,141.4338,76.25460000000001,82.930621,8.771359,256.86697200000003,91.70197999999999,58.635645086252374,11.502727704295872,42.125359975708385,64.97078621129386,35.02925972594761,39.17867200000002,15.252514441599763
2026-07-10,216.82979999999998,139.4182,77.4116,81.235284,8.615895,255.651704,89.851179,58.26734529638167,11.12997922791933,41.438574863787174,64.298449751833,35.701550248167,38.82190400000001,15.185466551789542
2026-07-17,220.103,137.2643,82.8387,79.128755,9.086858,259.216279,88.21561300000002,57.647002898787235,10.969339209813771,40.07924153691682,62.363666101779614,37.63633389822038,39.11327900000001,15.089051949549823
2026-07-24,223.0797,138.34279999999998,84.73689999999999,80.219282,9.091662,262.211326,89.310944,57.985874219691965,10.729283228440032,40.03544204156631,62.01496595163073,37.98503404836925,39.13162599999999,14.923697842098548
2026-07-31,220.349,138.58360000000002,81.7654,80.259125,8.299132,260.083974,88.558257,57.91386931787022,10.149931389071662,40.189997231664314,62.89277464386043,37.10722535613958,39.73497399999999,15.27774794766862
2026-08-07,227.4418,144.7064,82.7355,85.35876300000001,8.837799,267.61339000000004,94.196562,58.98755203639923,10.68199140634915,41.41567732932118,63.62348521687746,36.3765587504144,40.17159000000002,15.011053819093293
2026-08-14,228.1598,144.5111,83.64869999999999,85.964235,8.904993000000001,268.46146500000003,94.869228,59.48625053715597,10.645703997790761,41.58016793492982,63.33766947551672,36.66233052448328,40.301665000000035,15.012085626516281
2026-08-21,234.0273,149.3137,84.7136,89.947385,8.994099,273.772046,98.941484,60.240543901865664,10.617066208967627,42.27775306556116,63.80182995744514,36.198170042554864,39.744745999999985,14.517459536391087
2026-08-28,231.357,148.8487,82.5083,89.58509600000001,8.931075,271.071869,98.516171,60.18533987868218,10.824456448623957,42.58188470631967,64.33723639224229,35.66276360775771,39.71486900000001,14.651047763277866
