tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2023-06-23,15.35,38.78,41.52,23.98,32.9,41.98,-17.549999999999997,9.02,15.0,6.33,-23.88,1.047362696904559,0.06023982053376831,0.6955416199121693,0.06547086073126351
2023-06-30,17.64,43.03,43.96,24.45,30.11,38.45,-12.469999999999999,12.280000000000001,15.0,5.359999999999999,-17.83,0.8174080450351857,0.1498028497086663,-0.527789642840643,0.11364999332403514
2023-07-07,24.45,46.11,47.95,28.3,30.84,37.83,-6.390000000000001,13.806000000000001,15.0,10.643999999999998,-17.034,1.3352785847191047,0.2751851456213066,-0.41058291732107305,0.07953034687367022
2023-07-14,24.53,46.51,48.13,32.58,27.83,34.99,-3.299999999999997,14.711340000000002,15.0,9.81866,-13.118659999999997,1.2814566941068146,0.2655694511222908,-0.5558978247060142,0.11867138633655017
2023-07-21,24.58,46.1,47.89,34.09,26.04,30.36,-1.4600000000000009,14.03838,17.5,10.541619999999998,-12.001619999999999,1.2452706287300488,0.2719076032458778,-0.4682556493210159,0.08000422509531058
2023-07-28,24.1,44.58,46.45,33.99,25.22,29.32,-1.1199999999999974,16.18932,17.5,7.910680000000003,-9.03068,0.9593759083376694,0.2079658382066033,-0.4661950049497292,0.09723825573660727
2023-08-04,30.72,45.54,47.72,35.1,24.24,27.77,6.48,16.497,17.5,14.222999999999999,-7.7429999999999986,1.0298779540944356,0.1695921537303191,-0.478560917258339,0.1006565570489869
2023-08-11,31.74,46.45,48.01,36.45,24.81,29.06,6.93,17.5,17.5,14.239999999999998,-7.309999999999999,1.0296682949503506,0.17533556135670214,-0.44388120354752814,0.08969343668911678
2023-08-18,31.15,45.78,47.12,36.4,24.85,30.06,6.299999999999997,17.5,17.5,13.649999999999999,-7.350000000000001,1.0231114995623836,0.17620362762327024,-0.4472433890328696,0.09180874228874669
2023-08-25,32.32,45.29,46.6,36.93,26.01,30.76,6.309999999999999,17.944,25.0,14.376000000000001,-8.066000000000003,0.9386653048349257,0.15674116538486593,-0.46683641588250463,0.09652501492734533
2023-09-01,37.94,50.86,52.97,35.69,30.27,37.59,7.669999999999998,22.754775000000002,25.0,15.185224999999996,-7.515224999999997,1.0400192454912258,0.30558047800415344,0.1737583847658513,0.019882482352365338
2023-09-08,40.87,58.25,59.71,38.85,31.59,40.87,9.279999999999998,24.994,25.0,15.875999999999998,-6.596,1.0562002140036821,0.3321070717326816,0.20194077029708604,0.028843022797515383
