Tarih,Hisse,DIBS,Toplam,Year,Week,Hisse_Cumulative,DIBS_Cumulative,Toplam_Cumulative
2023-03-17,-210.82,-25.99,-236.81,2023,11,-4941.11,-28.810000000001363,-4969.920000000001
2023-03-24,-113.03,25.09,-87.94,2023,12,-5054.139999999999,-3.720000000001363,-5057.860000000001
2023-03-31,-60.92,15.14,-45.78,2023,13,-5115.0599999999995,11.419999999998637,-5103.640000000001
2023-04-07,-74.72,13.28,-61.44,2023,14,-5189.78,24.69999999999864,-5165.080000000001
2023-04-14,179.01,-6.03,172.98,2023,15,-5010.7699999999995,18.669999999998637,-4992.100000000001
2023-04-21,37.06,-24.01,13.05,2023,16,-4973.709999999999,-5.340000000001364,-4979.05
2023-04-28,-178.42,10.98,-167.44,2023,17,-5152.129999999999,5.639999999998636,-5146.490000000001
2023-05-05,-43.85,-70.8,-114.65,2023,18,-5195.98,-65.16000000000136,-5261.140000000001
2023-05-12,-135.12,-35.59,-170.71,2023,19,-5331.099999999999,-100.75000000000136,-5431.85
2023-05-19,-27.57,-4.21,-31.78,2023,20,-5358.669999999999,-104.96000000000136,-5463.63
2023-05-26,-378.54,1.63,-376.91,2023,21,-5737.209999999999,-103.33000000000136,-5840.540000000001
2023-06-02,-51.92,14.98,-36.94,2023,22,-5789.129999999999,-88.35000000000136,-5877.4800000000005
2023-06-09,261.8,25.24,287.04,2023,23,-5527.329999999999,-63.110000000001364,-5590.4400000000005
2023-06-16,313.39,-16.22,297.16999999999996,2023,24,-5213.939999999999,-79.33000000000136,-5293.27
2023-06-23,398.43,14.21,412.64,2023,25,-4815.509999999998,-65.12000000000137,-4880.63
2023-06-30,123.56,27.02,150.58,2023,26,-4691.949999999998,-38.10000000000137,-4730.049999999999
2023-07-07,231.44,57.02,288.46,2023,27,-4460.509999999998,18.91999999999863,-4441.59
2023-07-14,152.53,-26.51,126.02,2023,28,-4307.979999999999,-7.590000000001371,-4315.57
2023-07-21,128.37,-6.76,121.61,2023,29,-4179.609999999999,-14.350000000001371,-4193.96
2023-07-28,178.9,-8.68,170.22,2023,30,-4000.7099999999987,-23.030000000001372,-4023.7400000000002
2023-08-04,139.74,19.94,159.68,2023,31,-3860.9699999999984,-3.090000000001371,-3864.06
2023-08-11,-101.03,8.76,-92.27,2023,32,-3961.9999999999986,5.669999999998629,-3956.33
2023-08-18,-75.62,1.51,-74.11,2023,33,-4037.6199999999985,7.179999999998628,-4030.44
2023-08-25,-341.07,-20.25,-361.32,2023,34,-4378.689999999999,-13.070000000001372,-4391.76
2023-09-01,253.86,374.98,628.84,2023,35,-4124.829999999999,361.90999999999866,-3762.9200000000005
2023-09-08,-0.74,-28.12,-28.86,2023,36,-4125.569999999999,333.78999999999866,-3791.78
2023-09-15,-200.76,7.4,-193.35999999999999,2023,37,-4326.329999999999,341.18999999999863,-3985.1400000000003
2023-09-22,74.39,91.77,166.16,2023,38,-4251.939999999999,432.9599999999986,-3818.98
2023-09-29,-98.28,18.23,-80.05,2023,39,-4350.219999999998,451.18999999999863,-3899.0299999999997
2023-10-06,-237.75,-36.32,-274.07,2023,40,-4587.969999999998,414.86999999999864,-4173.099999999999
2023-10-13,21.92,-1.13,20.790000000000003,2023,41,-4566.049999999998,413.73999999999864,-4152.3099999999995
2023-10-20,-107.15,8.46,-98.69,2023,42,-4673.199999999998,422.1999999999986,-4250.999999999999
2023-10-27,-67.94,-10.41,-78.35,2023,43,-4741.139999999998,411.7899999999986,-4329.3499999999985
2023-11-03,85.67,27.22,112.89,2023,44,-4655.4699999999975,439.0099999999986,-4216.459999999999
2023-11-10,7.27,130.99,138.26000000000002,2023,45,-4648.199999999997,569.9999999999986,-4078.1999999999985
2023-11-17,119.47,4.89,124.36,2023,46,-4528.729999999997,574.8899999999986,-3953.8399999999983
2023-11-24,214.76,96.82,311.58,2023,47,-4313.969999999997,671.7099999999987,-3642.259999999998
2023-12-01,376.43,152.22,528.65,2023,48,-3937.539999999997,823.9299999999987,-3113.609999999998
2023-12-08,562.36,891.43,1453.79,2023,49,-3375.1799999999967,1715.3599999999988,-1659.819999999998
2023-12-15,395.95,188.5,584.45,2023,50,-2979.229999999997,1903.8599999999988,-1075.369999999998
2023-12-22,139.86,33.92,173.78000000000003,2023,51,-2839.3699999999967,1937.7799999999988,-901.5899999999979
2023-12-29,39.86,5.09,44.95,2023,52,-2799.5099999999966,1942.8699999999988,-856.6399999999978
2024-01-05,-299.68,-45.91,-345.59000000000003,2024,1,-3099.1899999999964,1896.9599999999987,-1202.2299999999977
2024-01-12,157.41,424.86,582.27,2024,2,-2941.7799999999966,2321.819999999999,-619.9599999999978
2024-01-19,145.63,-40.29,105.34,2024,3,-2796.1499999999965,2281.529999999999,-514.6199999999976
2024-01-26,62.55,-51.15,11.399999999999999,2024,4,-2733.5999999999963,2230.3799999999987,-503.2199999999975
2024-02-02,132.83,-14.47,118.36000000000001,2024,5,-2600.7699999999963,2215.909999999999,-384.8599999999974
2024-02-09,36.77,13.46,50.230000000000004,2024,6,-2563.9999999999964,2229.369999999999,-334.6299999999974
2024-02-16,-22.12,60.38,38.260000000000005,2024,7,-2586.1199999999963,2289.749999999999,-296.36999999999716
2024-02-23,-98.01,28.58,-69.43,2024,8,-2684.1299999999965,2318.329999999999,-365.79999999999745
2024-03-01,-75.42,-54.43,-129.85,2024,9,-2759.5499999999965,2263.899999999999,-495.64999999999736
2024-03-08,-292.91,-259.48,-552.3900000000001,2024,10,-3052.4599999999964,2004.4199999999992,-1048.0399999999972
2024-03-15,-155.94,-70.06,-226.0,2024,11,-3208.3999999999965,1934.3599999999992,-1274.0399999999972
2024-03-22,428.85,-103.76,325.09000000000003,2024,12,-2779.5499999999965,1830.5999999999992,-948.9499999999973
2024-03-29,266.72,111.52,378.24,2024,13,-2512.8299999999963,1942.1199999999992,-570.7099999999971
2024-04-05,362.93,86.36,449.29,2024,14,-2149.8999999999965,2028.479999999999,-121.41999999999734
2024-04-12,159.96,38.18,198.14000000000001,2024,15,-1989.9399999999964,2066.659999999999,76.72000000000253
