tarih,dibs_toplam_trl,pay_dibs_tcmb,pay_dibs_bankalar,pay_dibs_fonlar,pay_dibs_yurtdisi,pay_dibs_diger_yurtici,dibs_pd_trl,pay_dibs_kv_kisa,pay_dibs_ov_kisa,dibs_piyasa_yazili_oran,eb_toplam_mlrusd,eb_pd_mlrusd,pay_eb_yurtdisi,pay_eb_kendi,pay_eb_usd,pay_eb_eur,pay_eb_jpy,pay_eb_kv_kisa
2023-12-15,3.21270745,6.008285005844525,75.62589117785997,1.5796863172213202,2.3433110910861177,14.442826407988063,4.13543023,20.901003328014074,0.0,1.2872103340750805,95.66093,93.99208,45.529214487042935,1.8386294174643714,93.03601963059016,6.0927154713460965,0.8712648980637517,11.623500618349972
2023-12-22,3.21676091,6.000822734444382,75.58040208838523,1.585653750063756,2.3526482731351024,14.48047315397151,4.15058975,20.96143657425686,0.0,1.2903009785703967,95.67725,94.17849000000001,45.8872720526562,1.8384307659344308,93.0283125159471,6.110004524387682,0.8616723415293662,11.598784393336526
2023-12-29,3.23605724,5.965040346443315,75.51221343662019,1.6105191019427083,2.3583733024450453,14.55385381254875,4.167353729999999,21.226016011844525,0.0,1.2877873971104417,93.77914,92.23674000000001,46.608936699568794,1.8760995249050056,92.7584387739636,6.34820788332285,0.8933533427135434,9.674615559916795
2024-01-05,3.2374493099999997,5.962475440271835,75.53853190677448,1.6228936724263336,2.307294195132896,14.568804785394457,4.16835939,21.254903838797837,0.0,1.2875442951723004,93.67153,90.49354,46.77273873929464,1.8777957400717167,92.77693192243336,6.333302907588763,0.889776220490435,9.845839841624072
2024-01-12,3.3100259399999996,5.831740400197589,75.11155939762817,1.6980178107002992,2.7093280120940686,14.649354379379872,4.189145549999999,19.75064509276838,0.0,1.2655929669239994,93.6759,90.69386,46.763746064889695,1.877772191139877,92.79912664429544,6.320990197131317,0.8798831585732485,9.81189906350882
2024-01-19,3.30830927,5.834766469701909,75.03035954072092,1.7411942263789622,2.6766279320675483,14.717051831130654,4.181216549999999,19.771687787306035,0.0,1.2638529861508383,93.61817,89.89531,46.881102247565835,1.9000691852874285,92.81209442405839,6.315935725679125,0.8719698502624887,9.887523609407433
2024-01-26,3.39037066,5.693540304528236,75.47020773238994,1.6979429617881365,2.5563853835379757,14.581923617755713,4.266654190000001,19.48353873854384,0.0,1.2584624567273717,93.62078,90.17508000000001,46.690051076267466,1.900026895738318,92.8193909004572,6.31053501699139,0.8700629930131474,9.870587306382205
2024-02-02,3.34485389,5.771017998038772,75.35089342871117,1.6852487987150913,2.571803218585431,14.621036555949532,4.25156097,21.051462188016085,0.0,1.2710752426916918,93.57496,89.61167999999999,46.16674161549201,1.9007007857657645,92.82360290533556,6.296723819930618,0.8796732747338294,9.931529014967692
2024-02-09,3.37994168,5.7111080094139375,75.23986893170299,1.8216332064049106,2.5631421545711404,14.664247697907026,4.29835079,20.92826072020055,0.0,1.2717233600314666,93.5532,90.39871000000001,46.05533535998769,1.9010894336056918,92.88613742386367,6.253098080713762,0.8607534333177983,13.494318668927907
2024-02-16,3.4290281499999997,5.62136300922464,75.42413117839234,1.7476558190401559,2.5782672562778464,14.62858273706502,4.37627453,20.38235750260393,0.0,1.2762433956688284,96.52374,93.50677,46.32330864925043,1.8424690133225257,93.13917056486925,6.034044379888215,0.8267850552425241,13.030831885220717
2024-02-23,3.47242996,5.55110174202045,74.43806238787319,2.0061245526173264,2.561233805274506,15.443477512214528,4.41982612,18.227978615593138,0.0,1.2728337708501973,96.58726,93.91357,46.018698532290905,1.8415679252108403,93.06317500229198,6.1138448895085125,0.8229801081994859,12.982979988940896
2024-03-01,3.4777292699999998,5.542643059159117,74.33686349023941,2.029286770789953,2.511069241453634,15.580137438357877,4.4348295,18.28336128818481,0.0,1.2752083775629839,96.57965,93.46082000000001,45.62754161979258,1.929681873976557,93.05128073988651,6.11969807241152,0.8290211877019695,13.038907640656266
2024-03-08,3.51673604,5.481165427474051,74.2334997653108,2.110344340771166,2.2591786558993494,15.915811810544634,4.469740900000001,18.777730494400693,0.0,1.2709912968048636,96.62167,93.56516,45.802375388460995,1.928997915270974,93.02501059154923,6.138160828239913,0.8368285802108392,13.021597673578746
2024-03-15,3.5736090499999995,5.393934179789476,74.15792250694015,2.3045607073331094,2.159512664095139,15.984069941842119,4.554432589999999,18.90697716968515,0.0,1.2744630221932083,96.644,93.17953999999999,44.98356856090393,1.9390029386200904,93.01615998533585,6.14264676558824,0.841193249075924,15.181025791713504
