,gsyh_yil_trl,denge_gsyh,fdd_gsyh,faiz_gsyh,gelir_gsyh,gider_gsyh,vergi_gsyh,stok_trl,stok_gsyh,ic_borc_ceyrek_trl,dis_senet_ceyrek_trl,dis_kredi_ceyrek_trl,doviz_borc_ceyrek_trl,net_fin_deger_trl,yukum_toplam_trl,varlik_toplam_trl,nakit_trl,borc_senedi_trl,bs_kisa_trl,bs_uzun_trl,krediler_trl,net_stok_trl,net_stok_gsyh,net_fin_deger_gsyh,fh_borc_trl,fh_borc_gsyh,db_toplam_mlrusd,db_my_mlrusd,db_my_kisa_mlrusd,db_my_uzun_mlrusd,db_tcmb_mlrusd,db_ozel_mlrusd
2015-09-30,2.2625547744389602,-1.083970928663219,1.409203938848561,2.4931748675117804,20.615750578487656,21.699721507150876,17.328008162684903,,,0.438174912,,,,-0.47855588167641105,0.7889465649561631,0.31039068327975206,0.0490158148974596,0.686355906565918,0.07940577832479591,0.606950128241122,0.07331130733785551,,,-21.151129116645464,0.7596672139037736,33.57563858723139,424.415,97.821,0.0,97.821,1.544,289.3708
2015-12-31,2.3540591269686937,-0.9993458843276055,1.2522644678836072,2.2516103522112125,20.508401614434916,21.50774749876252,17.324053178101146,,,0.440124283,,,,-0.42971264039248097,0.7597218723755,0.330009231983018,0.0510639490994394,0.641790068815918,0.07424987451544271,0.5675401943004751,0.0710976709967755,,,-18.254114158373714,0.7128877398126936,30.283340449934848,413.574,95.801,0.0,95.801,1.319,281.4536
2016-03-31,2.423184629035116,-0.744708091318059,1.3756015369440902,2.120309628262149,20.688182980081752,21.43289107139981,17.33567050428465,,,0.448233068,,,,-0.44800273917183003,0.769892367735581,0.32188962856375203,0.0498891211231691,0.6612088643750821,0.07649647072122241,0.58471239365386,0.0696990555292894,,,-18.488180133026823,0.7309079199043715,30.163113084594407,427.909,99.774,0.0,99.774,1.296,287.57059999999996
2016-06-30,2.493785290488432,-0.9295155075463595,1.062567579537294,1.9920830870836532,20.864487531646766,21.79400303919313,17.230896406315672,,,0.45326870900000005,,,,-0.4699390891167991,0.8089502049349901,0.33901111581819,0.060282967318270306,0.695541103,0.0804684306090367,0.6150726723909631,0.07017327769208001,,,-18.84440857475573,0.7657143806920801,30.70490405138718,439.595,104.251,0.0,104.251,1.159,294.34459999999996
2016-09-30,2.5296612275000325,-0.873595948728661,1.0996648759759529,1.973260824704614,21.073024925429195,21.94662087415786,17.33524446802608,,,0.46307894400000005,,,,-0.487541538591853,0.8248825428083182,0.337341004216465,0.051287462157402104,0.701042693088295,0.0811049196940812,0.6199377733942141,0.0726581720040316,,,-19.27299724136072,0.7737008650923266,30.585157280405706,434.044,103.422,0.0,103.422,0.9560000000000001,287.70759999999996
2016-12-31,2.6299879715057912,-1.1381013648842877,0.7724220878610687,1.9105234527453563,21.070039407166156,22.208140772050445,17.452617501410092,,,0.468644329,,,,-0.49882261470968403,0.8622605519444081,0.363437937234724,0.0494072238492015,0.715500273478693,0.0827775437840184,0.632722729694674,0.08026482245148701,,,-18.966726088259815,0.7957650959301801,30.25736636637799,402.646,89.158,0.0,89.158,1.102,272.744
2017-03-31,2.7200154797667744,-1.6507393554925631,0.2832497115296054,1.9339890670221687,20.851372509417878,22.502111864910443,17.355591227755724,,,0.483347811,,,,-0.591280296068195,0.918957131649604,0.327676835581409,0.05158806129172901,0.7570035644329102,0.0875791359168073,0.6694244285161031,0.08548825322892221,,,-21.738122465350596,0.8424918176618323,30.973787609990776,412.193,92.583,0.0,92.583,1.3820000000000001,276.551
2017-06-30,2.826179337514094,-1.9926676715970846,-0.1935232109088592,1.7991444606882254,20.463608884378377,22.45627655597546,17.2855049046428,,,0.49532799600000005,,,,-0.6158262323801121,0.953113422801361,0.33728719042125,0.06163239176176621,0.793549316976295,0.0918071813046474,0.7017421356716471,0.08402135655283251,,,-21.790062088621475,0.8775706735291275,31.05148572422295,439.981,103.148,0.0,103.148,1.3900000000000001,291.278
2017-09-30,3.0002602619676564,-1.6501717743490125,0.18786973488437866,1.8380415092333913,20.20697846400819,21.857150238357203,17.177745062090082,,,0.5235098530000001,,,,-0.629945575942188,0.9789931120987561,0.34904753615656803,0.0805829115438657,0.818278304691633,0.0946681234163653,0.723610181275268,0.0845796856767565,,,-20.99636434637346,0.9028579903683895,30.092655687685895,453.541,106.063,0.0,106.063,1.298,299.745
2017-12-31,3.1515291528905003,-1.5031830169348266,0.2963181219959499,1.7995011389307765,20.00137188709996,21.504554904034787,17.009128965484933,,,0.5354476180000001,,,,-0.673326791918025,1.02543747650482,0.3521106845868,0.0768150641460066,0.847530119390671,0.0980523197077784,0.749477799682893,0.09312523412456782,,,-21.365082131652414,0.9406553535152389,29.847585342895982,460.245,102.656,0.0,102.656,1.7530000000000001,309.50100000000003
2018-03-31,3.300118604227758,-1.602177749983404,0.22092887784880402,1.8231066278322077,19.78870771987956,21.390885469862965,16.976198530631216,,,0.550374,,,,-0.690450524207142,1.1138113888671501,0.423360864660005,0.07707320991627181,0.8605218169706711,0.0995553531168761,0.7609664638537951,0.101773269560188,,,-20.921991207304213,0.962295086530859,29.159409158751743,461.289,100.128,0.0,100.128,1.437,310.552
2018-06-30,3.4649281856033904,-1.9691122108528945,-0.13562910248835727,1.833483108364537,19.762315387808137,21.73142759866103,16.877615744817007,,,0.561195,,,,-0.710157283034241,1.1433026308097503,0.43314534777551006,0.0593892607166501,0.870591260270671,0.10072030554882101,0.76987095472185,0.11277637249254802,,,-20.495584467952618,0.983367632763219,28.380606468239776,439.895,88.378,0.0,88.378,1.826,300.074
2018-09-30,3.6682567314540284,-1.9760318131078012,-0.052684916609801916,1.9233468964979992,19.643106514913523,21.61913832802132,16.630482778619154,,,0.586987,,,,-0.793684985900705,1.27231670898854,0.478631723087838,0.07410440885675822,0.960166212780671,0.111083396700831,0.849082816079839,0.144220993988698,,,-21.636571374493275,1.104387206769369,30.10659524726369,414.576,78.265,0.0,78.265,6.706,282.087
2018-12-31,3.8064792193584456,-1.907673858580496,0.03536083930669295,1.9430346978871889,19.909062084088497,21.81673594266899,16.32244817836461,,,0.586142,,,,-0.8125848054145619,1.29088592342391,0.47830111800934705,0.062173554381764806,0.9899544142774481,0.114529648568295,0.875424765709153,0.12853415704331703,,,-21.347412098876955,1.118488571320765,29.38380868158997,412.04900000000004,85.36,0.0,85.36,5.914,269.85484634897
2019-03-31,3.9450396929208615,-2.239597846342186,-0.08378825708475095,2.155809589257435,20.498665310038046,22.73826315638023,15.963574945268197,,,0.623931246,,,,-0.8352172776785289,1.35739596167636,0.5221786839978341,0.10523585143465201,1.0380705743835301,0.12009629570671701,0.917974278676816,0.13409277486620702,,,-21.171327608623976,1.1721633492497372,29.712333474188217,412.705,83.511,0.0,83.511,5.896,268.70487285533
2019-06-30,4.0878779522955915,-2.5712030844995186,-0.3476119435517944,2.223591140947724,19.746616543351017,22.317819627850536,15.514966723598969,,,0.6761576890000001,,,,-0.9425924587295441,1.4756243132128202,0.533031854483273,0.0722932448910226,1.1450940104114002,0.132478034037354,1.01261597637404,0.142425673623545,,,-23.058233874135635,1.2875196840349452,31.496040220866302,404.665,83.431,0.0,83.431,6.4910000000000005,262.68164190193
2019-09-30,4.218953192846911,-2.4107337614563242,-0.1582801869269828,2.252453574529341,20.498544555229465,22.90927831668579,15.341545649223946,,,0.701029251,,,,-0.974636064666804,1.5487804701651802,0.574144405498374,0.10477674497453301,1.2215049033114,0.14131815089972002,1.08018675241168,0.13382765581261502,,,-23.101371836010546,1.355332559124015,32.12485413258281,398.524,85.652,0.0,85.652,6.394,256.2526635791
2019-12-31,4.402050310858511,-2.809900166176808,-0.5396026242909399,2.2702975418858684,19.8951886542432,22.70508882042001,15.295476413323557,,,0.7550518430000001,,,,-1.07615318965724,1.68113186876778,0.604978679110544,0.0993625907120952,1.3421870048428401,0.0662659713995486,1.27592103344329,0.14124469722041402,,,-24.446635400842634,1.4834317020632541,33.69865397503708,398.50600000000003,85.976,0.0,85.976,8.452,241.6691902833
2020-03-31,4.54984071097551,-2.5740103761762305,-0.2701043570680325,2.3039060191081977,20.07240600307064,22.646416379246865,15.27860402503972,,,0.808767961,,,,-1.0783319172156502,1.6868320518179702,0.608500134602324,0.19119235593775202,1.35496376389986,0.0196423401903293,1.33532142370953,0.18223341238370602,,,-23.700432294572575,1.537197176283566,33.78573611545145,374.61,74.537,0.0,74.537,8.383000000000001,220.87377541435998
2020-06-30,4.55947634054547,-3.3898771142983763,-0.748065467446192,2.641811646852185,20.35811673690915,23.74799385120752,15.385975770105084,,,0.983903077,,,,-1.2337927156542101,1.9240476828847801,0.690254967230565,0.212236140314293,1.58973995611315,0.0225668441108764,1.56717311200227,0.19078667987214404,,,-27.05996530089695,1.780526635985294,39.05112129109725,372.96500000000003,71.038,0.0,71.038,19.617,213.44571230598
2020-09-30,4.82146112709834,-3.7014889946318954,-1.0824498761728898,2.6190391184590056,19.732820464998323,23.43430945963022,15.902886796920992,1.8329742481200002,38.016986963101864,1.105746853,0.5825937638400001,0.14463363128000004,0.7272273951200001,-1.34737413456439,2.1397347910534004,0.7923606564890121,0.28534618827837904,1.75426304112044,0.173944363323045,1.58031867779739,0.22710331194680602,1.5476280598416212,32.09873561239344,-27.945348910762014,1.981366353067246,41.094728357992075,371.656,67.671,0.138,67.533,20.989,213.53
2020-12-31,5.14171060094078,-3.3596438696567867,-0.7542403493674705,2.6054035202893155,20.02238912107643,23.38203299073321,16.202045557514936,1.81196150374,35.240441253314906,1.0603535290000001,0.5855773033449999,0.166030671395,0.75160797474,-1.3763510454738501,2.16695455838148,0.7906035129076241,0.232863885859892,1.7734180820382,0.17261304871508604,1.6008050333231203,0.23035603687648903,1.5790976178801082,30.711522690350957,-26.768349140887448,2.003774118914689,38.97096267044004,390.82,77.382,0.128,77.254,21.344,220.542
2021-03-31,5.4853622379873,-2.194619384775054,0.4422539286831355,2.636873313458189,20.37895984805859,22.573579232833644,16.627166291476403,1.9145118190200001,34.90219489538172,1.111241986,0.6761875142200001,0.12708231880000004,0.8032698330200001,-1.0315590910966301,2.21753510503755,1.1859760139409201,0.31827133368014804,1.8154994375706301,0.187157891934526,1.62834154563611,0.230024512771722,1.5962404853398522,29.100001350604472,-18.805669458852943,2.045523950342352,37.290590148753786,382.379,70.787,0.11,70.677,22.616,215.577
2021-06-30,6.0574321164285605,-1.582061394300897,0.9532607529086952,2.535322147209592,19.89131407237967,21.473375466680572,16.41049003758528,2.0062088025079996,33.119790101599236,1.135414412,0.7029883389479998,0.16780605156,0.8707943905079998,-1.1436877111645802,2.36095646552882,1.21726875436424,0.30721564749407204,1.9488127297367102,0.183942859389475,1.76486987034724,0.238842614906588,1.6989931550139277,28.048075857194217,-18.88073509008458,2.1876553446432982,36.115226759373606,393.43600000000004,73.514,0.013000000000000001,73.501,25.824,221.687
2021-09-30,6.5925021872946905,-1.4144124241582428,1.1401753365340221,2.554587760692265,19.57721387620236,20.9916263003606,16.120749160283804,2.146533668448,32.5602268678026,1.186718449,0.7483997241329999,0.21141549531500003,0.959815219448,-1.1714584090317801,2.49212718619195,1.3206687771601702,0.39261370847015004,2.01598136376416,0.190385520167289,1.82559584359687,0.24006574490185,1.7539199599778499,26.60476872283893,-17.769556622817014,2.25604710866601,34.221408572513575,398.359,80.035,0.0,80.035,25.85,220.017
2021-12-31,7.433799908285211,-2.586075551828321,-0.153238076630283,2.432837475198038,18.932426623850994,21.518502175679316,15.669091949889353,2.6794989129749998,36.04480812011918,1.321189479,1.0786276377749997,0.2796817962,1.3583094339749997,-1.5080481552275802,3.13577325684862,1.6277251016210401,0.418950131420156,2.48684202339495,0.236560156809438,2.2502818665855098,0.303763728680831,2.260548781554844,30.409061441583717,-20.28637001040089,2.7906057520757814,37.53942514602203,378.522,69.58800000000001,0.0,69.58800000000001,26.052,218.332
2022-03-31,8.583950656501921,-2.1460340741878166,0.3791825151667881,2.525216589354605,19.406069392281893,21.55210346646971,15.900233361269143,3.0298191971460002,35.29632588056714,1.483012479,1.2311845312,0.3156221869460001,1.5468067181460001,-1.9063969094024,3.784687250878911,1.8782903414765002,0.5164384382486501,3.0614183033558606,0.309603099666878,2.7518152036889805,0.34983997907928305,2.51338075889735,29.280000077744944,-22.20885214383657,3.411258282435144,39.73995679776285,380.512,65.336,0.0,65.336,29.812,219.424
2022-06-30,10.453200290141332,-0.6327678047304085,1.5161991696406798,2.1489669743710884,19.5345762476765,20.167344052406914,16.278841099073524,3.28776388989,31.452223229576592,1.610775187,1.3994638975199998,0.27752480537000007,1.67698870289,-2.02143810591022,4.16472940566061,2.1432912997503903,0.735109424656267,3.4126172658704204,0.37248160122453,3.0401356646458906,0.37168721142575695,2.552654465233733,24.41983693396943,-19.337983103764763,3.7843044772961774,36.20235308095309,367.943,55.789,0.015,55.774,29.428,218.66400000000002
2022-09-30,12.828767344056761,-1.376986777157804,0.5381621020041669,1.9151488791619713,18.646391238112205,20.023378015270012,15.623837959214082,3.5343827790800004,27.550447243221615,1.7382515120000002,1.49969968316,0.29643158392,1.79613126708,-2.47006693722225,4.685082804545471,2.21501586732322,0.690450437487952,3.8693444895097504,0.41980686382457005,3.4495376256851804,0.38347551579465694,2.8439323415920486,22.16839907779269,-19.254125287154487,4.252820005304407,33.15065190011907,367.22700000000003,52.333,0.018000000000000002,52.315,31.975,219.828
2022-12-31,15.325857491822418,-0.9073892607588353,1.1212293673726867,2.028618628131522,18.285144635432523,19.192533896191357,15.355003720057217,3.936298517704,25.68403444834544,1.905331206,1.636023921012,0.3949433906920001,2.030967311704,-2.4103732979585804,5.49381853049846,3.08344523253988,0.8687092291947272,4.442370274846191,0.46161947424360006,3.980750800602591,0.418056905516984,3.067589288509273,20.015775888207752,-15.727493872657428,4.860427180363175,31.713900399743405,388.639,60.816,0.009000000000000001,60.807,32.79,227.897
2023-03-31,17.534724069553064,-2.3946719508925964,-0.5313867930308123,1.8632851577477245,17.077877863214802,19.4725498141074,14.423749466531897,4.39531611522,25.066354610346774,2.233434728,1.7421761019600002,0.41970528526000006,2.1618813872200002,-2.7063050590313704,6.116447598222831,3.4101425391914604,0.965171894251882,4.953948118082501,0.517551158755025,4.436396959327481,0.439016999148072,3.430144220968118,19.562008545798275,-15.433975740345657,5.392965117230573,30.755916636263507,404.343,64.324,0.0,64.324,39.321,227.67000000000002
2023-06-30,19.72910705401338,-3.6284080386414557,-1.3399462810772413,2.2884617573614685,17.321076987236683,20.94948502587814,14.809624203775781,5.469658123685001,27.723799707257097,2.5756314820000004,2.349174405042,0.5448522366430001,2.894026641685,-3.3173657284565903,7.01264714873598,3.6952814202793904,1.06304667996477,5.60411316475334,0.59806980110856,5.00604336364478,0.5726736503465191,4.406611443720231,22.335584837448682,-16.81457614566371,6.176786815099859,31.30798975437335,404.07,62.426,0.0,62.426,46.234,224.506
