kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT120128A12,2028-01-12,2.073972602739726,7.371219113291549,10.522634166937188,2025-12-16
TP.TRT280628A19,2028-06-28,2.5342465753424657,4.5839292072590965,9.892721063343375,2025-12-16
TP.TRT190728A27,2028-07-19,2.591780821917808,6.831551639226818,2.6211395492126552,2025-12-16
TP.TRT181028A15,2028-10-18,2.841095890410959,3.377237834119984,2.1520748917770076,2025-12-16
TP.TRT140229A18,2029-02-14,3.1671232876712327,6.3139345756973775,1.8496079227483389,2025-12-16
TP.TRT110429A19,2029-04-11,3.3205479452054796,5.673715358956288,1.1953466353403235,2025-12-16
TP.TRT020529A19,2029-05-02,3.378082191780822,5.035879739840743,1.6320128631287913,2025-12-16
TP.TRT130629A15,2029-06-13,3.493150684931507,6.314182315781314,1.1344179012951008,2025-12-16
TP.TRT280531A15,2031-05-28,5.449315068493151,3.4588623303692945,6.48210407816321,2025-12-16
TP.TRT110232A16,2032-02-11,6.158904109589041,3.969487814498307,5.092619013826743,2025-12-16
TP.TRT040832A19,2032-08-04,6.638356164383562,4.378937267936989,3.5672478631324522,2025-12-16
TP.TRT120133A15,2033-01-12,7.079452054794521,3.826390626366183,3.075948412772339,2025-12-16
TP.TRT070933A14,2033-09-07,7.7315068493150685,4.0513133771413745,2.37907196672285,2025-12-16
TP.TRT180827A10,2027-08-18,1.6684931506849314,7.475431371283214,1.4794158029212654,2025-12-17
TP.TRT151227A17,2027-12-15,1.9945205479452055,8.76799868618614,1.3294881775980731,2025-12-17
TP.TRT120128A12,2028-01-12,2.0712328767123287,7.371212982120068,10.53118496286722,2025-12-17
TP.TRT280628A19,2028-06-28,2.5315068493150683,4.583934147681945,9.900759985695268,2025-12-17
TP.TRT190728A27,2028-07-19,2.589041095890411,6.831643242303054,2.623269512968297,2025-12-17
TP.TRT181028A15,2028-10-18,2.8383561643835615,3.377231737550579,2.1538236889825164,2025-12-17
TP.TRT140229A18,2029-02-14,3.164383561643836,6.314019941717075,1.8511109323224706,2025-12-17
TP.TRT110429A19,2029-04-11,3.317808219178082,5.673693353514531,1.1963179857628783,2025-12-17
TP.TRT020529A19,2029-05-02,3.3753424657534246,5.035646435925911,1.6333390528191685,2025-12-17
TP.TRT130629A15,2029-06-13,3.4904109589041097,6.314120099243481,1.1353397404296235,2025-12-17
TP.TRT280531A15,2031-05-28,5.446575342465754,3.4589280235705955,6.487371499636795,2025-12-17
TP.TRT110232A16,2032-02-11,6.156164383561644,3.969504003697688,5.096757326082572,2025-12-17
TP.TRT040832A19,2032-08-04,6.635616438356164,4.37891632853995,3.5701466438013965,2025-12-17
TP.TRT120133A15,2033-01-12,7.076712328767123,3.8263834997792845,3.0784479586799183,2025-12-17
TP.TRT070933A14,2033-09-07,7.728767123287671,4.051334247886307,2.3810052239821613,2025-12-17
TP.TRT180827A10,2027-08-18,1.6657534246575343,7.4751561332299765,1.4806170146245112,2025-12-18
TP.TRT151227A17,2027-12-15,1.9917808219178081,8.76761067814542,1.330567655561675,2025-12-18
