Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
1999-06-30,25120458.4312532,2107822.45123432,6030133.69431765,5349657.90807756,1481466.94040471,5750155.60224639,544646.68791569,1744027.05786046,1777161.49178666,691625.15071195,2562298.53778003,344711.42042651,23034049.0346844,2086409.39656885
1999-09-30,30120380.1997286,5250594.08065554,5968334.37590838,5234954.59137488,1505315.42945803,6215900.51094336,623014.60467618,2208874.39818473,1966360.19229645,693124.13306851,2816243.52425669,394193.82903667,27641955.0784845,2478425.12124403
1999-12-31,31184697.7792871,2716892.71157972,7169342.46199977,6189287.83505835,1677129.29893585,6817260.60158886,691180.49151173,2248079.31524971,2194521.18076198,910234.05013969,3156603.19100189,379360.50961042,27960603.8123796,3224093.9669075
2000-03-31,36022584.275701,1815647.45194573,8495993.18882719,7441623.68288157,1801034.94621123,8693159.50218811,743308.59640289,2334400.28426666,3134690.77844038,930781.9823024,3871289.19827625,540237.74234981,32360543.6712106,3662040.60449039
2000-06-30,41419656.3902257,3146119.73592459,9389927.55993877,8283453.21544389,2289042.72534096,10057373.1894872,930536.70598061,2047175.72516716,3707630.19032727,1160078.89853479,4012963.52393154,603780.21816861,37344628.4728015,4075027.91742421
2000-09-30,47930081.0283254,7902907.42728432,9105305.88677475,7912441.00894035,2398519.60102051,10794380.590692,1017084.05648726,2086176.90752013,3870099.28368694,1149113.2496598,4042381.23720387,668642.84086743,43034611.081197,4895469.94712843
2000-12-31,46405637.7189418,4344690.61414889,9991573.79470536,8511057.42345363,2571740.47240636,10751131.9645966,1080364.69102562,2116836.01293461,3881682.72811245,1348174.04153111,4485774.44826365,612273.60874275,41184242.3764674,5221395.34247447
2001-03-31,48788929.1019805,2173043.28466863,11191105.1840615,9682900.70549763,2636101.26788023,12332300.2455711,1149385.71216277,1735519.17284997,5359800.09694188,1319957.04471669,5253892.89310869,795589.1609831,43946694.0629445,4842235.03903602
2001-06-30,59436700.2564273,4084838.0859004,12308683.6378882,10551133.674371,2816749.99565046,14050297.4972879,1441811.06731754,5141435.94862092,5092205.82976352,1707400.92515606,5766923.40330456,801022.39973538,53211368.7906249,6225331.46580243
2001-09-30,70087295.1566957,10110283.4295998,13115246.6264951,11107461.5772162,2855512.51079155,15610458.2401463,1699755.36882175,5181260.04027633,5343383.24546422,1788578.79932033,6183122.56088583,879780.89086173,62767381.712663,7319913.4440327
2001-12-31,69494939.5250155,5369887.17989165,15202052.8859288,12603239.0490339,3119702.60154913,16405178.5082996,1793122.19424804,3157996.27785979,5609650.84388377,2307040.19298016,7456787.15929564,913177.49551661,61334595.3394532,8160344.18556236
2002-03-31,74147803.425713,3759291.09358668,16487023.5372791,13800986.7574215,3309344.89819448,19096304.4741266,1912337.78608243,2642709.54682948,6873848.43316484,2503173.38099754,8547353.14167098,1315930.41223988,66447316.704172,7700486.72154103
2002-06-30,86155636.0705967,6826900.01156332,18067596.6386876,15393495.1053004,4071658.05143379,21519883.020803,2258038.12547087,2769489.87560747,7423597.06179626,3083324.1952591,9010508.04574745,1401212.19128637,76432207.2176552,9723428.85294148
2002-09-30,101734048.292358,16730923.0971328,18455500.1211516,15675027.9940229,4323628.68883157,24058412.4965034,2427977.53291353,2675783.88866309,7720867.69830125,3033698.1036802,9052466.96812783,1505126.48081843,89984385.0761237,11749663.2162347
2002-12-31,100869386.818122,9595119.80148769,20030986.5483256,16711121.5313598,4645000.41923423,23938859.0735981,2628950.02982205,3818733.01358189,7463852.39268506,3628118.19904323,10701557.6607876,1432786.24682468,87883963.38539,12985423.4327319
