Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
2022-12-31,4882509912.85856,290397485.736197,1252273072.04753,1025250662.63132,240976329.159817,1305495692.33144,131651326.420586,135565114.053023,237404415.439237,250977566.100084,422906284.533182,116548343.998366,4384195629.81946,498314283.039098
2023-03-31,4798503056.20185,131480037.138398,1201046662.18478,1006324880.56076,249767524.442602,1234430383.96706,106529226.822079,207144603.015938,292681411.329033,225355618.203945,534513344.163258,118215395.963386,4301164207.23048,497338848.97137505
2023-06-30,5696948397.90071,264834357.461035,1300933588.26567,1116926794.72993,342135375.423965,1484429697.58614,131125316.085197,224563993.288428,353241614.409414,287816919.76509,592843265.839361,105537090.302823,5087461218.42712,609487179.473588
2023-09-30,7894487347.52061,886503072.404067,1705902969.79383,1473311726.77703,407785127.36334306,1981229027.87873,164656587.33116,205182800.008122,416282888.03792,355414821.713294,769970665.454148,133146729.99785,7026074689.9824705,868412657.538135
2023-12-31,8701530263.078209,448285679.37244,1970848336.55133,1677780281.72886,459554153.776322,2291625185.21484,236169049.994055,242013356.717858,478766382.165477,485263918.268761,834209104.810512,232392112.29144,7679127279.16304,1022402983.91517
2024-03-31,9092978987.20062,230739457.085726,1962153747.7468,1687330698.52191,533332630.002144,2219448417.07086,204844531.189175,385322621.208097,652284628.096703,476595721.667242,1185259237.80827,270469751.945865,8120450743.820889,972528243.379739
2024-06-30,10162335255.5805,432194691.88580894,2022218871.23468,1728700025.29957,646798002.160069,2559266764.81161,250063248.285957,365085274.36492896,813348554.261487,544752075.939129,1191235116.09053,200087535.185864,9025050134.22006,1137285121.36041
2024-09-30,12333977588.6793,1253636198.53688,2326613981.09395,1963182412.30339,714304583.148692,2991495028.12474,277793615.445239,366124899.272934,933857824.3944551,575658078.252716,1373673689.44165,199977707.512397,11013135605.2236,1320841983.45565
2024-12-31,13086681096.4515,678761101.754062,2540008701.14563,2157175695.80845,700132306.1262729,3324664533.62945,378957272.30058306,365214562.733402,1004396584.00985,790321500.7058381,1435619312.23975,329973451.93329,11548049326.5781,1538631769.87342
2025-03-31,12570148524.8555,307400184.20697,2399084351.55262,2021683392.69426,745988168.1895219,2942344833.66563,305796799.188997,494387415.24173105,1202171058.87199,676079197.401498,1724564586.05399,393243229.843412,11191059824.2164,1379088700.63919
2025-06-30,14609805608.7973,567224911.048612,2762236896.12714,2335275784.06531,953255904.469744,3690831530.0964,383930142.459438,549492048.735004,1330612931.86987,802150711.92724,1654660902.80858,288939103.504349,12983335083.0464,1626470525.75094
2025-09-30,17533422455.4975,1547528947.87784,3113400040.69617,2623210412.38887,1046117989.63414,4179058792.8535504,428232899.71285105,645168840.8443711,1575506673.81457,847500491.224244,1950809131.30671,302047305.822042,15635371113.7865,1898051341.711
2025-12-31,18527147403.6199,887006575.692112,3407286630.70833,2874118817.63476,969846300.236287,4572369820.82506,554732160.772046,609865937.872166,1720832347.77561,1132470242.37467,1911155171.73329,511881540.26336,16277446728.2529,2249700675.36692
2026-03-31,17098138220.9303,444885969.966031,3081227591.93426,2563108584.11682,915667790.92788,3936533227.5039506,433465368.766916,681334501.518182,1866495732.6194,904493249.262396,2439371270.99685,553445850.206013,15256920553.7019,1841217667.22838
2026-06-30,19869747341.4119,844054368.711898,3700263036.2576,3135835595.78461,1201759004.78056,4865106679.40699,541186057.841689,729059833.032408,2032580468.12818,1071751074.35727,2476916861.26076,391064697.225748,17853742081.0031,2016005260.40881
