Tarih,TP_GSYIH40_IFC_B1GQ,TP_GSYIH40_IFC_A,TP_GSYIH40_IFC_BTE,TP_GSYIH40_IFC_C,TP_GSYIH40_IFC_F,TP_GSYIH40_IFC_GTI,TP_GSYIH40_IFC_J,TP_GSYIH40_IFC_K,TP_GSYIH40_IFC_L,TP_GSYIH40_IFC_MN,TP_GSYIH40_IFC_OTQ,TP_GSYIH40_IFC_RTU,TP_GSYIH40_IFC_B1G,TP_GSYIH40_IFC_D21X31
1997-09-30,190267784.56219,31978746.9181629,31559961.9603121,25556576.2282846,7498419.83750478,39182755.56936,3506675.50954141,3828360.77499124,19280773.723082,5090859.89827754,19464768.9615193,2754008.90547248,166676578.189626,25214619.9108912
1997-12-31,177770138.151046,15957874.2133049,34210270.8421764,27252834.6520394,7929565.34621936,38049277.6695699,3565467.60245004,3683843.68441461,18757898.1375872,6400183.27263181,22009540.2743478,2430629.78288809,154190049.348373,25707027.8344412
1998-03-31,167166510.421738,6854072.65440695,36894538.9746237,29905648.0993303,7533569.21269583,42612809.772615,3113050.02622917,3920150.79443255,21795820.4310343,5384576.24427945,22357115.0242487,2527208.54762781,152464771.501023,13440745.3490402
1998-06-30,175683192.469115,12134340.0693385,34420945.1896009,27844705.5472134,8969437.38851926,41625068.8462562,3550984.272573,3827817.31381657,22198335.3435102,5924820.55431972,22682493.7003973,2462483.73302435,156482781.893017,19426276.8410253
1998-09-30,193747937.226259,33041888.1243882,31651710.3212047,25397876.9471451,7414728.9615926,39754601.0991092,3447879.33922789,4021499.91625779,20061431.8533879,5193561.32287637,21027691.8871616,2779469.47209706,172154902.126832,22320226.2384416
1998-12-31,171806299.585077,18420002.5839904,32080096.1227429,25370023.6309664,8182299.71578502,36837180.4477386,3571384.58395253,4043700.63188381,19464627.6694531,6313884.26961366,23610628.9030089,2490223.87701603,152118980.477458,20542308.7654582
1999-03-31,156223705.826828,7067185.32094041,33181111.80357,26784439.7163932,6947457.92486093,37744607.9345726,3355524.85161815,4025390.63133968,22927280.719157,5089571.75436242,23165632.2227985,2525560.03621613,142342815.167313,12684576.0998868
1999-06-30,171006007.574905,11922224.9701096,33313406.9801378,26962207.0017006,8606749.59895227,38712737.5516274,3819161.54745134,4044697.28129264,23350826.2252979,5744850.27183551,23296033.0343256,2526196.93686691,152272591.384266,18973084.6425887
1999-09-30,185830535.582447,31610038.0438934,30246433.4371214,24277764.134401,7403763.24162057,37435116.9609196,3876326.17206454,3986408.5532043,21379064.2200927,4981679.93379275,21222637.0197217,2717602.76909772,166225339.324584,19939403.7959063
1999-12-31,173717743.841849,16564380.7026542,31775911.9029244,25120280.2961786,8145254.63406893,36508197.2155706,3971779.64448519,4535584.41350798,20784737.6136884,6004915.80087121,24208946.569657,2482741.97879661,153849283.553957,20766357.0796886
2000-03-31,163064170.785265,7152895.08391374,34615141.4265384,27977592.6057741,6900304.88943061,39912586.836916,3530950.41051002,4246430.50041276,23512602.5180112,5182258.27975713,22804179.0448969,2597855.40068423,148859491.474932,13417892.1483539
2000-06-30,183201860.733082,12472765.8336444,35826738.4671971,29124053.1131554,9039754.34225802,43364771.5207389,4069855.47297301,4125834.90683895,24653912.6227792,5997117.98635661,23419037.1030331,2737234.04719269,163262002.276946,20117540.8034354
2000-09-30,200947758.879861,33155795.0874645,33335793.9058853,26790988.9305701,8261004.95033683,43512271.2262486,4232526.29049199,4438972.67849278,22970943.236868,5439783.50631336,22370734.2011317,2935423.98042475,179591224.358443,21646437.2235339
2000-12-31,187537616.121277,18684283.3515488,34118087.3675108,26998009.6522292,9100598.15122525,40304180.9316415,3874678.1356436,4612566.64582368,22243812.901712,6360773.70197392,24004789.6613005,2561451.98414644,165445633.409085,22805534.2405391
2001-03-31,167584874.137129,6794564.47885422,34910219.6168633,28260890.6731703,6732131.84934501,40680511.6308763,3657930.98869121,5065107.78890409,24497255.0227188,5334525.25193014,23724651.8589839,2749968.12931048,153596335.995049,13928489.2610646
2001-06-30,171292958.3495,11979870.733152,32570418.4158819,26495391.3379206,7834233.23430247,37374240.1889474,3714016.2956336,4606598.64051772,24863894.6332333,6017100.97522723,23254120.2946752,2599304.71349158,152281374.286622,19200305.4386059
2001-09-30,185919224.166635,30308461.3551835,29941045.1024089,23952236.1493741,6205863.24570642,37133882.9743399,4207259.60858749,5144235.94986684,23145589.8505137,5212599.83635052,23366437.3376912,2829872.05080241,165536338.040505,20525578.900756
2001-12-31,169841269.907808,16013337.2870809,29515243.9954437,23002064.9700564,6117211.76598397,34474868.2617101,3647773.81990431,5129003.78879654,23323894.850937,6028693.04440797,25216272.3027901,2547369.33772186,149695084.723178,20264509.2580568
2002-03-31,164419322.48309,6576096.8350147,33571739.3080189,26969394.9266715,6211264.44869292,39822693.793118,3619310.97804556,4555354.57817151,25082029.0069412,5640827.2643935,23905407.6034264,2901729.55394629,150431401.452637,14079957.3663952
2002-06-30,183634844.539126,12242645.5585659,34673331.8332127,28351965.0372286,8611399.36160314,41764284.3922743,4022866.26638839,4493174.84072411,25260808.2727951,6894768.52903124,24482972.2883598,2952719.84286269,163016125.422837,20815417.5443702
2002-09-30,200295332.495233,32858596.434431,31539073.1354695,25368660.5841553,8098177.75537366,41913166.8222894,4006649.82106033,4994627.30924459,24716898.8831781,5911321.06002138,24222038.8600157,3066461.24184308,178185575.021676,22217150.0025829
2002-12-31,190992338.012148,19054624.5751825,32568095.9915453,25490468.2251216,8764126.72517113,40264855.410355,4035055.62388045,5256627.47864139,24143093.1724269,7080557.29691423,25974493.6844653,2762918.3111563,168952065.197048,22101429.5165885
2003-03-31,174108165.778049,7318247.37684894,35546295.3738135,29023155.1521929,7370086.66913768,42463299.3781175,3904286.8215209,4641316.01132707,25368422.9026148,6082099.66449252,24469479.4248629,3075211.20183804,159037792.524061,15509963.4896243
2003-06-30,189548835.564798,12416777.4924931,35253577.4503377,28862740.498469,9623277.4326436,44069190.0669954,4053769.61905277,4229377.19358712,25869228.8581257,7045674.46569034,24862585.3001175,2940428.54670173,168054457.339522,21647040.6741478
2003-09-30,212506327.052895,32021365.3970684,35038500.5068056,28486865.8592446,9154014.96336886,46376891.6595927,4259676.65798469,4454790.7026468,24880891.398564,6466143.51986914,24045152.8884959,3076138.92916074,188651955.224266,23818465.7943638
2003-12-31,206053631.372048,17864882.1059833,37571024.0087745,30106886.3344775,9990179.47598222,45650388.1432408,4474254.53022629,5219769.92071963,25465572.3516361,7671571.07130443,26190649.6966497,2775232.01768035,181976631.828142,23917331.3198876
2004-03-31,190491423.872287,7478632.56638858,39482987.2930298,32655436.9819189,8977873.19092529,47964676.5890386,4236857.20178175,4944702.5468661,26866379.6019612,6801840.88772721,25062896.1637646,3177069.38989763,173134141.602958,17954563.8418529
2004-06-30,211675868.426289,12115101.9341781,41383486.3163774,34464239.9004392,11977618.5208212,50547065.8695182,4609442.97485431,4712220.91184055,26203278.0699811,7904427.85205908,25454415.7083327,3042201.23604343,186770978.370406,24971916.5757568
2004-09-30,230564022.248958,32731336.849627,38904916.0698092,32031932.2613232,11364504.1562234,50505686.3807472,5092390.69507873,5124459.41235623,25594053.1946777,7333633.78669245,24520076.7666702,3117511.52595448,205119104.260918,25410924.9093882
2004-12-31,227123850.535491,20085028.1073823,41252667.1171349,33090151.9058018,11770215.2894467,51230325.9122164,5523854.70690288,6276187.29967599,26487217.4364137,8839066.06568855,27414136.6700398,3017461.88147071,201789170.238654,25240853.9152374
2005-03-31,208044508.320597,8192782.51695346,42973161.533037,35512590.8770219,10317925.7177685,53188061.0654205,4996858.75614073,5653574.0290934,27625848.3183595,7189413.41503573,25999251.9476384,3279623.34564448,188465596.472214,20232112.122053
2005-06-30,226627773.496961,13715331.6467648,43200770.8297586,35829895.8612792,13435388.2803999,53248115.3812173,5624775.5416294,5546453.98892535,26918220.2715198,8600277.00563699,26296506.0739959,3385041.74089853,199643097.141231,26999070.7200519
2005-09-30,250367520.76563,35749354.2612421,42328362.4729346,34888611.9264158,12942593.15929,54351451.2450928,6251993.25477498,5775721.54661935,26386760.0659367,8128565.58497181,25306298.0234259,3335628.77242561,222094812.636545,28112627.4585401
2005-12-31,253161731.938956,20577085.8969206,48088127.7793921,38833215.1032257,13868077.7312227,58743442.5509742,6283048.51612707,6306831.59076181,27389187.9099846,10270105.5485082,28771055.9658456,3481758.61900413,224061765.285633,28824925.0772269
2006-03-31,221398908.367587,8074403.14096204,45823069.6081239,37957445.4939847,12186746.6372153,56667840.1011268,5504293.86323563,5993595.19677098,27870402.0825518,8198365.40884559,26409786.6035524,3706871.37390891,200055804.789286,21920793.3487565
2006-06-30,249758568.487998,14083504.9297642,49061191.822991,40962796.039451,17177332.321383,59748748.8659953,5884766.88760045,6164681.53152141,27341060.7110999,9758323.18056081,27300688.4692455,3879528.513456,220288365.501361,29531447.9163621
2006-09-30,263980948.860724,35632250.7748513,46025479.9107763,37858338.1288713,16377255.4494618,56275322.300019,6232164.24444602,5964833.36764853,26960577.1351999,8808125.56429431,26210547.8972907,3826822.96821828,234063571.519616,29751166.6085613
2006-12-31,269371685.12349,21694253.1361827,51710841.7580515,42323988.8361939,17882763.2761205,60003820.5913745,6607886.00370807,6305747.54820134,28115556.8937624,11242075.5064451,29988949.5013427,4156818.25825374,238574550.520668,30559785.1617105
2007-03-31,238087073.932196,7565484.06744958,49677649.7841381,41244876.815615,14043295.4267371,59527220.4948613,5803042.47786178,6493398.87695301,28316077.9061178,9250869.27991154,27358926.3613371,4235628.40693502,213432110.884003,25091273.2273471
2007-06-30,255384150.016493,13181409.5760106,50814416.225385,42285366.4438315,19008169.8429503,59405914.5738305,6205172.41394312,6640746.02138309,27229869.2577033,10660907.2902657,28078074.156288,4308979.62551274,225392315.557086,30077561.3753054
2007-09-30,275326865.147674,33070533.8192553,49495641.5527083,40997996.9228738,17992303.7208989,60539506.5482471,7002165.59748979,6302582.2424081,27776995.0895349,9966786.12818491,27170396.1185709,4244860.32464941,244199131.521637,30979968.2475213
2007-12-31,287024257.943056,20736711.1385831,55059189.7388746,45350191.6367305,19363431.6619441,66481429.2707315,7573059.1074277,6524925.32640521,28824584.3445385,12888054.3627435,31009645.5269253,4774023.67143346,254459135.250089,32369083.1626157
2008-03-31,255454357.686129,7950484.31091161,54763349.6141558,45748319.0211047,13836103.0215874,63758904.6525471,6500497.51555565,7585291.33630109,28654350.0180473,10073351.1036325,29144286.2313102,4654003.3566997,227809368.055987,27802310.7397944
2008-06-30,262493656.297152,13272274.5934991,53011514.850684,44200344.3500099,19216864.7014576,61783583.8315054,6843944.25920482,7346540.75632633,28004865.4546756,11529977.4659079,28430522.6526869,4812569.6738198,233867552.62869,28700612.1201156
2008-09-30,279026884.597412,35351895.8281679,49528547.9014153,40935189.3127394,17341663.4907669,59854889.6378252,7012599.51929272,6860174.44339561,27959056.8745469,10432453.4979433,27078682.2625015,4552670.09873808,247396696.022214,31587192.6339308
2008-12-31,268562262.202949,21360871.8051279,48882493.482457,39423056.4336687,16883089.776141,57710619.9525839,7243683.15065733,7688533.92035172,29223757.0275249,12623111.65475,31313269.5252917,5140842.01902113,238707637.383731,29826542.9005063
2009-03-31,217989286.453369,7521705.65905659,41266059.8377113,33747540.6253199,11089346.8301182,48727703.7768626,6258032.45021346,10433751.82359,27456308.6021193,9147048.27578311,29135792.1990015,4794903.47571716,195965635.139429,22023651.3139398
2009-06-30,246205815.649787,13864186.6237922,46464712.4565081,38761004.2908187,15356117.834489,53469393.500453,6569864.51950817,9639098.41419724,27599116.4083001,11577466.8990603,29084193.5346745,5068418.92448233,220020779.745918,26185035.9038699
2009-09-30,274728224.603901,38324559.5197928,47457484.6657792,39320319.9243878,14470321.7130235,56378995.4821015,6893067.33017563,8857067.60238496,28773570.8289628,10614217.1620591,28354875.9235194,4794414.73090058,245227065.189958,29501159.413943
2009-12-31,274586914.915846,21568272.1322763,52020747.283592,42356955.0264945,15658965.5499144,60083063.6431582,7236072.52121361,9641827.94057642,29589478.0574512,13206547.8271466,31910498.8873963,5183083.03979187,244326873.811549,30260041.1042974
2010-03-31,234276479.657592,8438158.26019278,45629319.6291028,37069059.3989215,11993002.8974732,51272242.3426648,6267963.33374023,11856367.7152772,29187166.5162891,9596022.61125943,28723213.8766747,5130961.72837107,208535299.648476,25741180.0091165
2010-06-30,265672343.116068,14333643.4738965,50466552.1500369,41615936.8855841,16652493.5372237,58263246.3355004,6284056.60804437,10416261.2813225,29496654.5346648,12316961.4358125,29238603.2409938,5423553.71262359,234079360.00272,31592983.1133484
2010-09-30,298492806.772614,41570659.5252548,51015254.1507757,41352884.7052549,18960048.8312207,61992327.1268964,6648492.11335987,9280161.34402567,29677130.9108134,10925970.4151788,29403578.9269334,5091184.39831365,263522531.264276,34970275.5083386
2010-12-31,301644668.511133,23166372.9279636,58813716.549719,48516847.7835038,18196828.1276947,65219724.2745004,7512751.56925741,9838432.57961916,29965706.8504215,13725770.7647476,32878353.8967871,5643227.94021622,264330704.257954,37313964.2531789
2011-03-31,261479672.479729,9024204.22949209,55784888.8593444,47027742.604123,15252225.6113717,58024377.0916152,6350489.36444023,12003941.7693688,30488353.896141,11073085.7692285,30467540.2816094,5898220.18359608,233185635.474782,28328257.112229
2011-06-30,295773538.671862,14798223.9310619,59955237.1826851,50735802.8208867,20697800.1049217,65812891.6441123,6960358.78020934,11119734.1456235,30808909.372116,13304520.5841202,30494336.2423833,6078778.82319526,259687162.193532,36069549.8253836
2011-09-30,332337198.913815,41737191.8779761,60669355.9541398,50715086.2171907,22940128.8691511,69163460.9650814,7324704.93816548,10595296.3846039,31208141.547329,13021706.7040755,30683262.3251213,5808927.32953589,293174609.249519,39162525.2073378
2011-12-31,331284951.331921,24970115.0494895,65874731.9890975,54480723.458747,23050735.3855454,73604510.757476,8534960.50622226,10335806.1214128,31693729.7906467,14885844.5432631,34023405.8310085,6524998.44172235,294537168.639174,36778888.3771185
2012-03-31,278755008.862527,9154109.84993201,59605024.6494827,49210547.9049859,16752688.6532939,62117217.5889371,7234984.15038827,11908057.2514085,31959404.1020859,11756520.114343,32278654.4253453,6227877.74920342,248114642.677633,30698516.4659607
2012-06-30,310529912.707459,14580142.5143009,62962287.2518177,52506759.007847,22266554.2763801,71255716.1501706,7507674.03181305,11237906.0383628,32327749.2848026,14326727.1083692,32601567.2873465,6472536.30666109,276166022.353851,34420855.2058671
2012-09-30,345090685.122788,44032635.0859538,61590159.8485227,50957059.4290388,24656086.0485365,75001148.7728358,7899175.33208412,10465737.2134762,32528454.9943126,14049687.4000407,32342210.1579002,5935134.82526712,307435634.720298,37736408.5939011
2012-12-31,345194887.855619,24752614.0795006,66668855.6173794,54879420.8865358,24919900.638793,78009192.3150803,9297102.42876386,10874090.4499803,32756610.8486514,16433292.58445,33541355.6291388,6487002.90862099,304557691.398834,40618032.197147
2013-03-31,302751561.704291,8772683.63531867,63818229.9705134,53099605.2343767,20115822.0791805,65914520.0882782,7516602.43295528,15666090.6909081,31771740.5503247,13322525.9768964,34168534.5758837,6781868.29757327,267162009.059852,35572979.0036245
2013-06-30,341259457.318855,16253701.0095567,69157521.3288267,57984537.2209415,25441826.2096625,75109151.2512663,8144220.41253026,14566871.0949008,32668134.6368459,15907444.9071494,35399543.7958104,6966421.4238513,301053708.300607,40183960.3771829
2013-09-30,375033618.32305104,46815160.5806585,68181514.1731862,56262606.4065255,28277136.8403931,80429074.1444533,8637657.15206507,13390695.3584333,32853458.8435974,15723457.3222716,34478419.9256341,6340578.87397564,333259660.459935,41833751.1691673
2013-12-31,369139087.826206,22865851.2096139,73442521.9556694,60526767.4193521,27609006.6087376,83619128.9514211,10450983.2681013,13005256.1120455,33316888.8395095,18438002.536227,35139859.6213164,6882886.62822803,324671755.264942,44409832.4556807
2014-03-31,327671992.613017,9003778.93958606,68876841.1253059,56779459.1800671,23958862.4263298,72098816.1310608,8429723.67551917,17068396.0098112,32924859.364695,15157559.0955633,37416625.9525511,7157636.86832822,291297825.905923,36463442.5165564
2014-06-30,350141451.16068,15243147.7407573,72555438.4202266,61027531.1061808,25363909.2602931,79416985.5934196,8751310.908349,15451798.0492307,33456496.3908749,17379314.1096342,35484388.966235,7259501.49124237,311730793.548696,38529949.9575504
2014-09-30,386464585.708096,46883363.6856171,71374557.6507622,59336671.813252,28467543.9710164,84381963.7943145,9052339.68559837,15410622.4845995,33616702.3868863,16944164.3855358,35613880.3988675,6907243.69971086,345663116.345252,41016327.8875406
2014-12-31,387773175.83411103,24106991.4150591,75834112.8668147,63415888.2148854,28455115.4938846,88698407.5946196,10903742.578146,15193594.048043,33946305.9292087,20156672.9364508,37197944.5979654,7345884.05060879,342620932.356778,45147952.0832166
2015-03-31,336426523.368226,9687499.02838666,68616843.5527646,57467782.07715,23443324.0507292,77206298.4480312,8477418.14786377,17708357.8323378,32963547.1649913,17218307.7834462,37228058.61481,7159538.83523314,297946498.575878,38535771.2129721
2015-06-30,373132886.533673,16922243.8985962,75791494.7614809,63834532.597941,27932206.8337894,86426811.9318529,8853627.51738464,16962045.0024458,33089267.8989048,19246532.0910773,36518572.2730307,7255622.59879786,329917407.795337,43259370.8051444
2015-09-30,408584533.47282,54304543.3022757,73529509.7847486,61071980.6538968,29778516.9369326,88303744.5398736,9105583.31530307,17054321.5670368,33674323.6104871,19960107.2205621,35372795.5445734,6806859.07012727,364094515.53085,44632648.4438103
2015-12-31,418207167.220439,23319556.7373509,82971425.1207916,69971074.3711315,30990856.2742627,95311771.2520721,12214623.9870825,16232721.7614676,34143899.2301711,24375117.6488185,38704471.5368818,7475420.68021273,367754869.320163,50434144.3602025
