Tarih,TP_GSYIH20_BY_B1GQ,TP_GSYIH20_BY_P311,TP_GSYIH20_BY_P312,TP_GSYIH20_BY_P32,TP_GSYIH20_BY_P51G,TP_GSYIH20_BY_P52,TP_GSYIH20_BY_P6,TP_GSYIH20_BY_P7
2002-06-30,86155636.0705967,54070680.2291221,318645.23042953,11094940.1040754,17026061.4946917,2441269.91456645,19840753.5531073,18636714.4553959
2002-09-30,101734048.292358,61308189.5259514,305112.67947494,11675518.9963985,18853282.4833636,4351667.72373232,28060971.1985763,22820694.3151386
2002-12-31,100869386.818122,65246664.6225609,360037.87073067,15138802.8274034,23076083.1139958,-4439741.00534447,26705034.6999252,25217495.3111497
2003-03-31,101837606.442178,64974643.84099,433875.37146424,12668677.382632,18206381.5909486,7098011.18371385,25169798.2012185,26713781.1287893
2003-06-30,114048147.630101,72930083.7708934,478206.92371322,14429104.5621173,23542204.4121668,3256834.55132022,25301960.2304057,25890246.8205153
2003-09-30,130535390.993032,80531471.9672388,425587.12482232,15717491.1609714,25463454.9515555,4741302.05981451,29934135.5903457,26278051.8617162
2003-12-31,126947327.567892,84337636.1379304,476020.38771103,17668684.6257623,31932259.2124974,-6043652.27543604,29390317.1512657,30813937.6718383
2004-03-31,124158764.606504,80537778.5908364,470163.20632462,15835071.5116083,29573740.0620017,2193687.07537599,26845653.121156,31297328.960799
2004-06-30,140826436.56594,91316191.6226383,481011.49633259,16422669.0072227,39117634.4953763,-4026534.42940721,34036075.1746008,36520610.8008239
2004-09-30,160312376.34673,98715184.5067456,430370.23977352,17511872.7060084,38508718.4964124,3207888.52466156,39566873.8528518,37628531.9797231
2004-12-31,159396094.619847,99333981.9484446,482954.64730256,23512903.1931454,42725425.5101388,-4146181.29759796,39026791.3663289,41539780.7479156
2005-03-31,147158922.865687,92948022.3845139,477373.08016619,18388852.4961882,37105215.1344016,2427889.17509621,33738441.5679363,37926870.972615
2005-06-30,163817314.154558,102534932.809835,498690.97988359,19042321.4917169,46810236.7160516,-898885.93173132,37030082.8155497,41200064.7267479
2005-09-30,186304995.666748,111677317.403059,458143.49813803,21387696.0845439,46816547.0893867,6278105.87713998,40689668.7709931,41002483.0565127
2005-12-31,185681098.842037,114780912.245393,530336.9692981,26108040.9859617,52828020.6787341,-3091686.94444571,39604867.0780912,45079392.1709948
2006-03-31,167820666.753066,106329697.453317,543181.42468055,22743222.1599544,44781014.994437,1714380.5018542,35732669.6280054,44023499.4091824
2006-06-30,197199044.124381,119094099.950309,579909.31149646,25853569.1093776,58855145.1247623,2846676.53827663,45008183.7932496,55038539.7030898
2006-09-30,216706872.761674,125701648.120643,536958.09751923,26548704.387842,61314460.0675531,6640187.51778253,51032352.2675378,55067437.6972031
2006-12-31,217733018.839536,128101502.448883,618687.21622815,30444699.5490686,67232713.2771603,-2285830.26674307,49509738.092766,55888491.4778269
2007-03-31,195678319.073105,118066310.006294,622019.320139,27870238.8602295,53133487.9299369,4770990.71328105,46657028.9722806,55441756.729056
2007-06-30,215185292.299467,130307017.696331,652220.52938967,31624601.9198,63681707.9313093,-3093840.51894603,49889608.3350645,57876023.5934807
2007-09-30,238594399.890812,142596846.341329,593498.26936392,29864321.59753,65262797.5033463,6047543.27717407,51245712.7939048,57016319.8918361
2007-12-31,243347418.783777,145480157.983883,662177.48176563,33255895.9709565,72409449.0988594,1605987.94375217,50299571.9222739,60365821.6177139
2008-03-31,225491930.319312,135360133.517654,699909.51692058,32163224.4743412,61950050.8132614,5466177.68292915,55137270.2188453,65284835.9046398
2008-06-30,254094877.558123,149074963.204169,731726.33826989,34173174.329139,74383873.165585,8008162.70788028,61350213.5353337,73627235.7222537
2008-09-30,270679090.284925,156434983.609105,639534.94156409,35815270.0651596,67799659.4143722,15649397.9709418,63948129.8592914,69607885.5755097
2008-12-31,258955012.581921,153897161.305225,704607.86702951,38977240.2816287,71435251.9291878,-4689539.79006915,60983934.8569789,62353643.8680605
2009-03-31,215723454.139913,132839310.389451,700216.53904592,36248141.8222605,47306981.1742993,-4979711.2479458,55422871.7743814,51814356.3115792
2009-06-30,244872328.495052,147287337.950983,764474.51545573,39307403.7943773,61384380.1551834,-2436829.41679144,55400031.637688,56834470.1418444
2009-09-30,274749403.11799,158748772.324627,689072.9190684,39879047.0427051,58013560.7539258,13259636.7456792,66164657.9702421,62005344.6382576
2009-12-31,278165055.869949,162403266.312008,807888.51837041,48855125.7492351,66020862.8446938,1581110.73165887,63800778.0887756,65303976.3747926
2010-03-31,245238589.292648,153093174.417278,729816.23571292,37667014.3519345,53672516.538386,8667941.7731597,53526951.5816394,62118825.6054625
2010-06-30,282700671.661903,170895509.190277,764056.14899304,41776081.8989021,70953887.2114302,7788687.71340997,64464257.4454757,73941807.9465848
2010-09-30,322044463.138908,192780452.937007,667956.18986403,42865420.5492063,78147347.5992306,16217538.3367298,67876113.0881643,76510365.5612935
2010-12-31,326064244.882544,193246594.854904,776540.28276298,50435188.7804873,89806788.7337018,9355375.00160892,68040796.7545319,85597039.5254533
2011-03-31,296328464.629657,187962689.042794,913301.22628219,43746305.4512883,74871488.8202185,14799956.015175,67110118.1819438,93075394.1080452
