Tarih,TP_GSYIH40_HY_B1GQ,TP_GSYIH40_HY_P311,TP_GSYIH40_HY_P312,TP_GSYIH40_HY_P32,TP_GSYIH40_HY_P51G,TP_GSYIH40_HY_P6,TP_GSYIH40_HY_P7,TP_GSYIH40_HY_P52
2023-12-31,242.64245687,280.78789618,269.2140467,205.78012456,272.56035683,239.24353921,237.92715839,
2024-03-31,206.5570309,247.7501788,424.62467221,161.80534604,236.52148521,204.05199499,163.58243724,
2024-06-30,219.75298449,251.24930125,335.01895772,172.79928869,240.74360867,207.58762617,195.59626733,
2024-09-30,246.10947181,272.83523733,300.44205811,183.52554632,259.82458055,252.36288639,195.67208259,
2024-12-31,251.15395534,294.74170652,305.96002231,201.50532215,286.68016839,234.49331641,243.42646397,
2025-03-31,213.07568876,254.13270912,414.50741252,167.08841903,241.14897751,203.73503213,170.70525766,
2025-06-30,229.96513096,261.59226452,330.15999959,170.65651882,263.09583083,211.28710295,208.7793455,
2025-09-30,255.0915434,284.69034764,297.87118064,186.25890578,290.95002383,249.47034658,201.72054541,
2025-12-31,260.08275437,311.64574281,313.26765166,203.24418635,303.31833593,228.35180314,251.85985899,
2026-03-31,218.81376404,268.15477102,420.19607065,169.25042554,248.7034043,177.87610451,167.95111754,
2026-06-30,235.18210503,270.68419317,340.25770261,167.59916608,264.7148149,204.00549907,195.40478077,
