tarih,g3_011,g3_012,g3_021,g3_023,g3_031,g3_032,g3_041,g3_043,g3_044,g3_045,g3_051,g3_052,g3_053,g3_054,g3_055,g3_056,g3_061,g3_062,g3_063,g3_064,g3_071,g3_072,g3_073,g3_074,g3_081,g3_083,g3_092,g3_093,g3_094,g3_095,g3_096,g3_097,g3_098,g3_101,g3_102,g3_104,g3_105,g3_111,g3_112,g3_121,g3_122,g3_131,g3_132,g3_133,g3_139
2006-09-01,2.71316781,3.68630899,2.3280898,3.49465636,14.33564678,15.02139191,3.29566015,3.74149189,3.63461777,4.6951107,4.50657368,5.38086131,3.8196558,6.48332713,6.58486199,5.28148405,8.07356297,6.82968403,3.58502868,5.03312259,4.95252862,4.2361139,3.60940368,2.15614426,54.60249475,14.87640046,7.87336178,,5.00859453,4.60514896,3.20874779,4.07532935,7.36794317,3.93042863,3.8548689,4.17552302,5.09756699,2.18735277,5.94386453,3.04430377,48.37254483,5.12747936,2.52003667,2.98709018,2.73797445
2006-10-01,2.73482045,3.69221283,2.32944395,3.49474009,15.78651382,16.28247099,3.35014392,3.75672233,3.67679525,4.75269031,4.49910203,5.41989394,3.81957499,6.56086956,6.68113602,5.31941248,8.07665091,6.85946118,3.5921453,5.02786244,5.0326156,4.17943337,3.64516313,2.16215201,53.88167242,14.88590224,8.030877,,4.92059454,4.62534841,3.23061819,4.20140318,7.80005296,3.94396949,3.86213684,4.19423702,5.0585002,2.21085157,6.02642785,3.06920458,48.36880547,5.16177188,2.49664688,3.015479,2.76163984
2006-11-01,2.81315831,3.70838124,2.33395268,3.49471494,16.61279207,16.86368441,3.39791654,3.76542549,3.68800862,4.83149731,4.37956025,5.43020914,3.8614495,6.61871897,6.7461681,5.3254228,8.08490067,6.87971192,3.59464182,5.02784345,5.01342592,4.15645309,3.65286972,2.16334588,52.690023,14.89321437,8.12456285,,4.92685701,4.63972302,3.27725787,4.16444582,7.30530526,3.94566043,3.86231259,4.19672549,5.03973412,2.23401384,6.04299967,3.06520279,48.3706056,5.12455068,2.55936904,3.01298934,2.76527241
2006-12-01,2.82990213,3.73355185,2.33773844,3.49476713,16.225667,16.68887191,3.43568408,3.78057298,3.69255952,4.86491182,4.39953807,5.4389518,3.82756194,6.67296744,6.77949938,5.33946825,8.08521008,6.89088866,3.58696801,5.01667154,4.84200348,4.1906713,3.73636423,2.18717211,52.21886049,14.89399138,8.15918884,,4.96713552,4.64636958,3.27221083,4.16386875,7.81079773,3.94622093,3.862406,4.19708228,5.04365404,2.24651291,6.04149122,3.09835087,48.36976311,5.16260876,2.53023485,3.01944147,2.77207605
2007-01-01,2.96225263,3.76454376,2.33969399,3.49479492,14.78649242,15.50416159,3.49034024,3.78206262,3.85166317,4.87649392,4.33931964,5.40947782,3.86726599,6.71154222,6.78443371,5.39819888,8.08417252,6.95732571,3.62199893,5.08911766,4.92106888,4.14498398,3.74871097,2.20205074,51.92576157,15.20530514,8.16803356,,5.01225352,4.65883443,3.29028033,4.16660171,7.68823504,3.94682205,3.86244934,4.19712937,5.04337374,2.27028797,6.14886795,3.17596454,49.30301345,5.1897038,2.51468315,3.0470326,2.78585821
2007-02-01,3.01084563,3.80234837,2.3698639,3.58538833,13.78057295,14.65149608,3.53615256,3.79161201,3.87706453,4.87712505,4.35562408,5.39147292,3.92022591,6.74167011,6.78791203,5.4610153,8.08175949,7.01600429,3.63778012,5.12023329,4.99704907,4.16535538,3.74206046,2.21186408,50.22725995,15.30602838,8.21527546,,5.0731086,4.63427921,3.33414616,4.18854873,7.28802334,3.947904,3.86241828,4.19709563,5.05075162,2.28397405,6.19832644,3.22558586,47.97702971,5.23353717,2.56303583,3.06637412,2.78570116
2007-03-01,3.02954341,3.82576553,2.41379242,3.8571494,13.63233569,14.954758,3.57117832,3.80139623,3.8885623,4.88282066,4.38819892,5.42814188,4.04743414,6.76915801,6.79103579,5.6007513,8.08495838,7.04196651,3.66354289,5.12356454,4.99646072,4.30433007,3.73977336,2.21233182,48.62935318,15.31918572,8.25446311,,4.93681006,4.6501189,3.33793825,4.27150231,7.30902618,3.94800522,3.86251731,4.19720324,5.04088829,2.30398893,6.22149298,3.25537778,47.97850449,5.25690983,2.55911323,3.07278716,2.78225707
2007-04-01,3.05944071,3.83540969,2.42499866,3.85714215,15.16860798,16.66371507,3.60920661,3.81590708,3.90424541,4.87101922,4.3920795,5.44300775,3.93284036,6.80022728,6.79410389,5.63859616,8.08302357,7.0731505,3.67680456,5.15212094,5.00532289,4.37484958,3.76024393,2.22526646,47.73158418,15.30093636,8.26508353,,5.13014131,4.65336862,3.34331423,4.31166711,7.34925783,3.94895716,3.86352677,4.19699772,5.0749408,2.31744328,6.23029706,3.27486078,47.98118304,5.27364947,2.56949991,3.07779099,2.81667344
2007-05-01,3.0059239,3.82615192,2.42957736,3.8571294,17.26043434,17.40070172,3.65192669,3.82046045,3.94052234,4.85936869,4.55102092,5.46920488,4.04925556,6.83705026,6.79253552,5.63599201,8.08277824,7.08411856,3.67997159,5.15584087,4.91990179,4.44438403,3.75976258,2.26646974,45.83984705,15.30109068,8.3062028,,5.19112163,4.65782914,3.35931973,4.25921783,7.10325792,4.00690412,3.95113719,4.19711833,5.08187586,2.33906285,6.24052571,3.28810578,47.98092904,5.27188016,2.51988773,3.08502308,2.81333627
2007-06-01,2.94292287,3.84787039,2.43641698,3.85711318,17.51160478,17.54121799,3.6900309,3.82251165,3.96128178,4.85925784,4.55936247,5.47876756,4.05145338,6.87383874,6.81971175,5.65628806,8.08188833,7.09256541,3.68391244,5.1585601,4.8620979,4.43158327,3.80181403,2.29352011,44.94669019,15.60457434,8.3432216,,5.41849117,4.66533664,3.36710472,4.29776761,7.39855667,4.13921633,4.14393641,4.19693714,5.22701613,2.35262377,6.2466716,3.35997845,47.97741701,5.26371844,2.46720868,3.10616914,2.8403294
