tarih,faiz,pi12,egilim3,bek12,bek24,bek_faiz12,ex_post,ex_ante,egilime_gore,ileri_ex_ante
2015-07-01,,6.814162882321595,5.373321626356464,7.05,6.69,7.97,,,,1.1997375574093194
2015-08-01,,7.140509413261786,5.4943945668572525,7.04,6.78,8.39,,,,1.507772991196843
2015-09-01,,7.946992738340408,9.83589800896647,7.25,6.91,8.93,,,,1.8894397156486775
2015-10-01,,7.581430913019638,9.648547291846231,7.34,6.88,8.79,,,,1.7870508982036126
2015-11-01,,8.10224254208951,9.541565463322431,7.42,6.84,8.59,,,,1.6379633096218704
2015-12-01,,8.808332036810796,6.793454601112381,7.56,6.86,8.58,,,,1.609582631480455
2016-01-01,,9.578758282916077,8.81769605023075,7.92,7.12,8.56,,,,1.344286781179993
2016-02-01,,8.777354880252798,7.2830720067572186,7.96,7.29,8.34,,,,0.9786559791220117
2016-03-01,,7.459938151090761,5.286359745266145,7.89,7.23,8.12,,,,0.8299916068264412
2016-04-01,,6.565403465964059,3.0285230782110206,7.78,7.14,7.79,,,,0.6066828448758832
2016-05-01,,6.582327035292357,4.510354468819466,7.81,7.14,7.59,,,,0.42001120029868666
2016-06-01,,7.637470678989211,8.52939281869045,7.6,6.95,7.75,,,,0.7480130902290494
2016-07-01,,8.793408798381952,13.506968307806044,7.59,7.03,7.69,,,,0.6166495375128367
2016-08-01,,8.045095500756672,10.341171809537176,7.61,7.16,7.66,,,,0.4665920119447442
2016-09-01,,7.2821253157702825,8.333923420167832,7.62,7.11,7.61,,,,0.4668098216786598
2016-10-01,,7.159431097619762,3.7556291302948575,7.61,7.01,7.58,,,,0.5326604990187889
2016-11-01,,7.0005204706316215,5.842306576529732,7.87,7.27,7.74,,,,0.43814673254403136
2016-12-01,,8.533056290752384,11.708275672196567,8.04,7.31,8.5,,,,1.108936725375087
2017-01-01,,9.218772707758195,17.251629444580118,8.19,7.59,8.71,,,,1.0409889394925154
2017-02-01,,10.128289228475861,20.686700770764176,8.21,7.59,8.52,,,,0.8643926015428738
2017-03-01,,11.291792788886479,17.14960642587018,8.15,7.7,8.51,,,,0.7520891364902527
2017-04-01,,11.869618623097033,14.077575301017387,8.27,7.87,8.29,,,,0.3893575600259602
2017-05-01,,11.722178319464671,10.915094318289253,8.41,7.93,8.25,,,,0.29648846474568114
2017-06-01,,10.901084690381202,6.713219015293803,8.32,7.9,8.15,,,,0.23169601482853075
2017-07-01,,9.788378546467413,4.5838338457981465,8.41,7.93,8.09,,,,0.14824423237282947
2017-08-01,,10.67930148799061,5.489870436464606,8.37,7.92,8.07,,,,0.13899184581172008
2017-09-01,,11.198497927226914,9.271794206228012,8.35,7.93,8.1,,,,0.15750949689614657
2017-10-01,,11.898858044412775,12.214754000667028,8.52,7.98,8.01,,,,0.027782922763464057
2017-11-01,,12.98426048848822,15.148078421031475,8.65,8.25,8.0,,,,-0.2309468822170868
2017-12-01,,11.91973752398483,14.21354841259177,9.3,8.47,8.15,,,,-0.29501244583757247
2018-01-01,12.75,10.345632960625029,10.785631933897498,9.24,8.23,8.0,2.1789417259792554,3.213108751373106,1.7731252977593481,-0.21251039453016318
2018-02-01,12.75,10.259125694216031,9.666891200885598,9.26,8.25,8.0,2.2591094298098913,3.1942156324363813,2.811339653521161,-0.2309468822170868
2018-03-01,12.75,10.234569512493575,10.941251933443642,9.24,8.31,8.0,2.2818889742399096,3.213108751373106,1.6303656530227917,-0.2862154925676208
2018-04-01,13.5,10.849529479910247,16.870998233528244,9.62,8.63,8.0,2.391052566957552,3.5395000912242347,-2.8843753236302616,-0.5799502899751396
2018-05-01,16.5,12.147065371901377,19.278636649248206,10.15,8.98,8.33,3.881452103684979,5.764866091693155,-2.3295342127518492,-0.5964397137089517
2018-06-01,17.77,15.385112044374694,28.215254489847762,10.47,9.18,16.03,2.0668939981686174,6.608128903774779,-8.146655038363503,6.274042864993579
2018-07-01,17.75,15.849020060385154,24.18891421953939,11.07,9.54,16.69,1.6409115404031782,6.014225263347428,-5.184773745711935,6.527295964944324
2018-08-01,19.25,17.89642458240328,27.690039900430975,12.96,10.67,18.15,1.1481055701147547,5.568342776203972,-6.609787190145989,6.7588325652841785
