tarih,tufe,cekirdek_b,cekirdek_c,hizmet,temel_mal,kira,enerji,gida,islenmemis_gida,islenmis_gida,alkol_tutun_altin,yonetilen_haric,yi_ufe
2011-05-01,5.9466541980653105,6.189988048378389,6.599131423465661,5.396469715021415,8.171421611553567,4.97752683654154,7.382281461188348,4.537428052490538,4.30037268188228,4.758519999999999,4.97044659521683,5.815682431257678,189.60864876999995
2011-06-01,5.919605292614641,6.232392783561631,6.644217958806944,5.424657110003448,8.238558775131056,4.994490413828463,7.415562276284305,4.352480916637429,3.9089808282689487,4.772014,5.0252856314719425,5.759552119449721,189.61855362000009
2011-07-01,5.934004195897644,6.263253501425064,6.671940796992049,5.456172481097967,8.26404515648207,5.00947511890579,7.49156685402578,4.342437191473573,3.855437295914873,4.816649,5.028509193512572,5.775719235854687,189.56902935
2011-08-01,6.003705927244067,6.313703888845043,6.726377354506334,5.479895879545219,8.366270185180671,5.020935792629392,7.580435455052938,4.407366545414359,3.9454740523075222,4.852979,5.183845663539792,5.855418214121124,192.90696565000005
2011-09-01,6.040825335497403,6.364550128278663,6.773638730473225,5.5094029919038885,8.431224615668363,5.0418061274798145,7.593641374482092,4.448004827555201,3.975612745292623,4.916817,5.284369493874949,5.886252410443935,195.88832715000007
2011-10-01,6.14602513651308,6.401356354759246,6.816400633645339,5.537499738749088,8.494900035979613,5.060405173502041,7.778587868636705,4.529959707680764,4.085365513523878,4.974167,5.893542942577271,5.941956958564979,199.02816635000002
2011-11-01,6.2492514396697345,6.46577743173499,6.879930545934645,5.584197099091736,8.592632190588526,5.081349436093691,7.7874713177001675,4.676557281295258,4.312117474308736,5.041898000000001,6.127081825307564,6.045918004486924,200.31579756000002
2011-12-01,6.316675519165049,6.510141031367978,6.923207023635624,5.610732021915288,8.659233817215561,5.101498334702916,7.79127225408886,4.754553876587505,4.412937626728283,5.078747000000001,6.173695335972584,6.114096946071292,202.32648322999992
2012-01-01,6.311542506496542,6.555135569231547,6.966406947013836,5.6412042367354225,8.718052105985453,5.12110739181713,7.87731105467722,4.6995302290370065,4.265329762978853,5.132724,5.8390932611553925,6.124066652690814,203.09906196000009
2012-02-01,6.362147517398514,6.586957158642312,6.9979607500648235,5.666404733819582,8.762204608773853,5.1435469527826365,7.9910797636768764,4.73757578353746,4.313652544597745,5.172169000000001,5.861863099923543,6.167710377368135,202.9108697
2012-03-01,6.3802297484589126,6.614693941841732,7.0297921613609,5.697487645211031,8.808374087840889,5.160726758186671,8.15198721601854,4.709325546293145,4.231076493318948,5.192929000000001,5.828742909129425,6.185125768750743,203.64382901000005
2012-04-01,6.45254160075237,6.667395242982401,7.088671576351263,5.735895161287989,8.880035848478366,5.1843395829851024,8.46083805315258,4.728696491582134,4.241260476514173,5.215765,5.888845765105758,6.23251046305479,203.81221155
