kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.097,"097. Gazete, Kitap Ve Kırtasiye Malzemeleri",097,3,2,TP.TUKFIY2025.09,01-01-2005,01-07-2026
TP.TUKFIY2025.0971,0971. Kitaplar,0971,4,3,TP.TUKFIY2025.097,01-01-2005,01-07-2026
TP.TUKFIY2025.09711,09711. Eğitsel Kitaplar Ve Ders Kitapları,09711,5,4,TP.TUKFIY2025.0971,01-01-2005,01-07-2026
TP.TUKFIY2025.09719,09719. Diğer Kitaplar,09719,5,4,TP.TUKFIY2025.0971,01-01-2005,01-07-2026
TP.TUKFIY2025.0972,0972. Gazeteler Ve Süreli Yayınlar,0972,4,3,TP.TUKFIY2025.097,01-01-2005,01-12-2025
TP.TUKFIY2025.09721,09721. Gazeteler,09721,5,4,TP.TUKFIY2025.0972,01-01-2005,01-12-2025
TP.TUKFIY2025.09722,09722. Dergiler Ve Süreli Yayınlar,09722,5,4,TP.TUKFIY2025.0972,01-01-2005,01-12-2025
TP.TUKFIY2025.0974,0974. Kırtasiye Ve Çizim Malzemeleri,0974,4,3,TP.TUKFIY2025.097,01-01-2005,01-07-2026
TP.TUKFIY2025.09740,09740. Kırtasiye Ve Çizim Malzemeleri,09740,5,4,TP.TUKFIY2025.0974,01-01-2005,01-07-2026
TP.TUKFIY2025.098,098. Paket Turlar Ve Tatiller,098,3,2,TP.TUKFIY2025.09,01-01-2005,01-07-2026
TP.TUKFIY2025.0980,0980. Paket Turlar Ve Tatiller,0980,4,3,TP.TUKFIY2025.098,01-01-2005,01-07-2026
TP.TUKFIY2025.09800,09800. Paket Turlar Ve Tatiller,09800,5,4,TP.TUKFIY2025.0980,01-01-2005,01-07-2026
TP.TUKFIY2025.10,10. Eğitim Hizmetleri,10,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.101,101. Okul Öncesi Ve Temel Eğitim İlkokul,101,3,2,TP.TUKFIY2025.10,01-01-2005,01-07-2026
TP.TUKFIY2025.1010,1010. Okul Öncesi Ve Temel Eğitim İlkokul,1010,4,3,TP.TUKFIY2025.101,01-01-2005,01-07-2026
TP.TUKFIY2025.10101,10101. Okul Öncesi Eğitim,10101,5,4,TP.TUKFIY2025.1010,01-01-2005,01-07-2026
TP.TUKFIY2025.10102,10102. İlkokul Eğitimi Temel Eğitim,10102,5,4,TP.TUKFIY2025.1010,01-01-2005,01-07-2026
TP.TUKFIY2025.102,102. Ortaöğretim Eğitimi Ortaokul Ve Lise,102,3,2,TP.TUKFIY2025.10,01-01-2005,01-07-2026
TP.TUKFIY2025.1020,1020. Ortaöğretim Eğitimi Ortaokul Ve Lise,1020,4,3,TP.TUKFIY2025.102,01-01-2005,01-07-2026
TP.TUKFIY2025.10200,10200. Ortaöğretim Eğitimi Ortaokul Ve Lise,10200,5,4,TP.TUKFIY2025.1020,01-01-2005,01-07-2026
TP.TUKFIY2025.104,104. Yükseköğretim Eğitimi,104,3,2,TP.TUKFIY2025.10,01-01-2005,01-07-2026
TP.TUKFIY2025.1040,1040. Yükseköğretim Eğitimi,1040,4,3,TP.TUKFIY2025.104,01-01-2005,01-07-2026
TP.TUKFIY2025.10400,10400. Yükseköğretim Eğitimi,10400,5,4,TP.TUKFIY2025.1040,01-01-2005,01-07-2026
