tarih,seri,aylik_ham,aylik_sa,saar3_ham,saar3_sa,saar6_ham,saar6_sa,yillik,ecb3,saar3_aritmetik,saar3_basit,saar6_aritmetik,saar6_basit
2025-09-01,tufe,3.2344897823703977,2.3176392199289353,33.568690122374065,31.49400374062996,29.87307994056532,30.608410338948634,33.294011471927675,31.81224888412162,31.494450390298834,27.694182910869092,30.61078608120407,27.00453059370158
2025-10-01,tufe,2.5501749194504653,2.730519321173186,36.158827895557444,33.216368510271636,28.749704967073143,32.333772686637616,32.866855722764484,32.404048409380536,33.220210581774865,29.02888247674351,32.33767107756327,28.34832137067447
2025-11-01,tufe,0.8650223490828779,1.8660624975682882,30.0191256167736,31.437126560559747,27.072947327142206,31.96184428359863,31.074841098442963,32.0470581557752,31.44651897487709,27.656884154681638,31.967229121078876,28.06141856101321
2025-12-01,tufe,0.8874635286571841,2.2764984207023664,18.59238181419589,31.22585632607382,25.857971926352796,31.359861611559747,30.892328316136354,31.942832140521027,31.235235327058607,27.492320957775362,31.36478424987188,27.59325193432223
2026-01-01,tufe,4.840279086102073,2.4236800782082346,29.545950878288863,29.66506589719917,32.81123759005964,31.428722893703664,30.652780124071576,30.759121939496193,29.669216968675215,26.264963985915557,31.433721227012825,27.646923231329534
2026-02-01,tufe,2.9637950401797175,2.4599200952500455,40.669405631027125,32.71528955993013,35.23946584180748,32.07466187883985,31.53483745488579,31.206810764992234,32.715767575580216,28.640394376642586,32.07974569552856,28.148639265662112
2026-03-01,tufe,1.9385699899295172,1.8768559495522696,46.62397426708935,30.653091282773957,31.865409942856115,30.93916062519535,30.865453527292573,31.012067336988448,30.658431868463044,27.0418244920422,30.946542470615903,27.267072724908783
2026-04-01,tufe,4.182102576767921,3.044570688287429,42.976540808600184,33.85008231989446,36.09567198239105,31.74095697373176,32.3717402432574,32.41050804549073,33.8674688509043,29.525386932358977,31.75301526085792,27.895175459137267
2026-05-01,tufe,1.714737258000798,2.3231076054939903,36.16395149123286,33.136604601304164,38.3983458161395,32.925780158282336,32.61480199456586,32.56110452517464,33.15421904890148,28.978136973334756,32.93482761109803,28.809265674988673
2026-06-01,tufe,0.9866376631448182,2.2615507598606976,31.148597031192526,35.15895953566259,38.670575524393236,32.88692892040843,32.10903603221191,34.055115438406226,35.16869118194854,30.516916214568468,32.896023238582984,28.77937035330533
