tarih,medyan,medyan_ham,difuzyon_0,difuzyon_hedef,difuzyon_mansete_gore,kesit_n,kirpma_05,kirpma_08,kirpma_10,medyan_saar3,kirpma_05_saar3,kirpma_08_saar3,kirpma_10_saar3
2015-05-01,0.6525239704437302,0.5113340793437393,69.28007592052668,60.56086018483923,43.734249199883244,44,0.7273810991262352,0.6101984226626866,0.6101984226626866,11.591366814554306,11.610705720101855,11.450829865838074,11.653826167631397
2015-06-01,0.37325989100185364,0.0001493677805441962,61.429664133248394,45.32763871843039,61.429664133248394,44,0.13838677980576247,0.19103891303531406,0.1238329515772724,7.9610416031625775,7.361233191966687,7.250561834290981,6.964274489337741
2015-07-01,0.6646702780560787,0.2404160595842697,73.37954996321263,64.56401459995594,64.1837367262283,44,0.5578548522311217,0.579849064037175,0.5749220135862206,6.975362956161191,5.845491959162197,5.6663904241209595,5.363305332445578
2015-08-01,0.7149002853252595,0.5529277051169679,84.58577338217033,68.36469341213845,45.42880180358663,44,0.9812571966906516,0.9895806331613399,1.101365430778812,7.2410785734274175,6.92025063394861,7.273657745650208,7.442931112526097
2015-09-01,0.9334489053614892,0.9264085995710047,84.98659207618994,84.98659207618994,41.36038496195412,44,0.9874188419009908,1.0271146510463758,0.9762232944553002,9.65467579892525,10.587630039327877,10.89513967245692,11.141515970398586
2015-10-01,0.7802458797943057,0.7940629855923476,69.93956649030179,63.96252885472662,62.13927926151786,44,0.5135818350965627,0.5035931177154851,0.5035931177154851,10.1587925131422,10.39357991815384,10.560250078588984,10.827598192012754
2015-11-01,0.8323911519590999,0.5858115401177644,86.66299729998845,71.5069566391451,64.33802567148109,44,0.7493737800300498,0.7321214126223229,0.711369426527452,10.673439976139964,9.382315916857365,9.43641551790888,9.125553169815849
2015-12-01,0.7762498498204762,0.23480189055162803,86.34363220200218,73.299553910167,67.82066501046423,44,0.6055278723113222,0.6019238091106381,0.5934313827811672,9.985354598165364,7.735348043909496,7.603320515291023,7.478281653994978
2016-01-01,0.6858929168117145,1.5517183195423279,91.64532944832717,58.22660950760443,49.54417567383313,44,0.6053249092755294,0.6116748710705059,0.5762275178352423,9.574242130101318,8.12891719709825,8.066598219784971,7.789086610190199
2016-02-01,0.3593055431913017,0.1416998578267714,61.39759738732394,47.98399585120511,47.98399585120511,44,0.3231971724181916,0.37674569020398324,0.3176667359638594,7.534081154252581,6.311751508848884,6.550168645370968,6.114236988591548
