Dönem,CPI_REER,PPI_REER,Composite_REER,MA_10Y,MA_5Y,Deviation_10Y_Pct,Deviation_5Y_Pct,PPI_MA_10Y,PPI_Deviation_10Y_Pct,CPI_MA_10Y,CPI_Deviation_10Y_Pct
2008-03-01,163.88,113.74,148.838,131.46085,141.7880833333333,13.218498130812332,4.972150339385614,105.64391666666667,7.663558479073168,142.52525000000003,14.98313456738365
2008-04-01,155.76,110.61,142.21499999999997,131.73971666666665,142.12185,7.951499819783524,0.06554234975127335,105.82233333333333,4.524249764542456,142.84716666666665,9.039614599752888
2008-05-01,164.66,116.82,150.308,132.08945,142.48048333333332,13.792585251888015,5.493746570436724,106.05516666666668,10.150220561311626,143.24699999999999,14.948306072727535
2008-06-01,165.42,117.13,150.933,132.44683333333333,142.77658333333332,13.957424425650036,5.712713160829949,106.29133333333333,10.197131155252546,143.65633333333332,15.149813559675987
2008-07-01,165.84,116.91,151.161,132.80031666666665,143.01498333333333,13.825782794945663,5.6959183414232015,106.51975,9.754294391415671,144.06341666666665,15.115970339451215
2008-08-01,176.35,122.67,160.24599999999998,133.2103,143.3785,20.295502675093438,11.76431612828979,106.77783333333332,14.88339496181325,144.5385,22.009014899144518
2008-09-01,173.9,120.61,157.91299999999998,133.547375,143.6501833333333,18.244929935912253,9.92885378612466,106.97274999999999,12.748340114655377,144.93649999999997,19.983579015637915
2008-10-01,157.56,109.03,143.001,133.732775,143.8127333333333,6.930406551423165,-0.5644377340717451,107.04883333333333,1.8507129923570707,145.16875,8.535755801437992
2008-11-01,153.81,108.46,140.20499999999998,133.895075,143.98111666666665,4.712589316672023,-2.6226471596333183,107.11908333333332,1.2517999827295063,145.37050000000002,5.805510746678301
2008-12-01,154.7,107.43,140.519,134.06475,144.1590833333333,4.814278175284705,-2.5250461151424557,107.18825,0.22553778049367387,145.58325000000002,6.262224534759299
2009-01-01,153.29,107.37,139.51399999999998,134.21726666666666,144.212,3.9463874245688126,-3.2577039358721938,107.24883333333334,0.11297714194249259,145.77516666666668,5.1550847137886855
2009-02-01,150.83,108.66,138.179,134.36543333333333,144.20408333333336,2.8382051633815597,-4.17816416432962,107.32408333333335,1.2447501298636587,145.95458333333332,3.340365581759185
2009-03-01,147.23,105.48,134.70499999999998,134.47999166666665,144.05628333333334,0.16731733140723232,-6.491409549762799,107.36741666666667,-1.757904516345353,146.09966666666665,0.7736727667642453
2009-04-01,154.13,111.47,141.332,134.63925,144.03654999999998,4.970875877576553,-1.8776831297333794,107.45299999999999,3.7383786399635284,146.2905,5.358857888926476
2009-05-01,155.99,112.18,142.847,134.817725,144.27448333333334,5.9556523446750145,-0.9894218993910757,107.5515,4.303519709162589,146.50325,6.475453616216704
2009-06-01,154.16,111.31,141.305,134.98443333333333,144.5033333333333,4.682441160499256,-2.213328412262667,107.64383333333332,3.4058306482953973,146.70183333333333,5.083894657076544
2009-07-01,156.37,112.33,143.15800000000002,135.16081666666665,144.72643333333332,5.9167912199406185,-1.0837227845730806,107.7445,4.255901693357894,146.91066666666669,6.438833576867564
2009-08-01,157.58,113.56,144.374,135.34168333333332,144.978,6.673713850906496,-0.4166149346797538,107.85408333333334,5.2904039330917,147.12208333333334,7.108325568617905
2009-09-01,155.81,112.1,142.697,135.48713333333333,145.23073333333332,5.32144011706893,-1.7446261374428895,107.93525000000001,3.858563351639046,147.29508333333334,5.780856002774475
2009-10-01,159.39,111.82,145.11899999999997,135.63448333333332,145.4954833333333,6.992703060148532,-0.2587594643545109,108.00233333333334,3.534800174070301,147.47683333333333,8.077991910593859
2009-11-01,158.01,110.31,143.7,135.77399166666666,145.7265833333333,5.837648459796451,-1.3906751170428098,108.06116666666667,2.081074453203205,147.65091666666666,7.015928899865729
2009-12-01,158.17,110.17,143.76999999999998,135.90519166666664,145.9338,5.78698152504967,-1.4827270995478834,108.1135,1.902167629389484,147.81591666666665,7.004714760645422
2010-01-01,165.77,113.72,150.155,136.07779166666666,146.15521666666663,10.344971182231252,2.736668197383332,108.18658333333333,5.11469767893277,148.03116666666668,11.983174714333805
2010-02-01,167.04,115.34,151.52999999999997,136.24085,146.32413333333332,11.222148129580797,3.5577635404868175,108.25683333333333,6.5429280060843,148.23399999999998,12.686698058475123
2010-03-01,165.36,115.76,150.48,136.38636666666667,146.4854333333333,10.333608613373121,2.7269378092884455,108.32558333333333,6.863029432105538,148.41241666666664,11.419248950980656
2010-04-01,171.34,121.38,156.35199999999998,136.57361666666665,146.78203333333335,14.48184782395135,6.519848818917639,108.43583333333335,11.937167141858069,148.63266666666667,15.2774849853554
2010-05-01,171.05,120.32,155.831,136.74021666666667,147.0519,13.961352262495797,5.970069070851856,108.52508333333334,10.868378354927149,148.83241666666666,14.927919488865845
2010-06-01,169.2,119.65,154.33499999999998,136.92146666666665,147.21059999999997,12.71789862996891,4.839597148574906,108.63341666666666,10.14106310136308,149.04491666666667,13.522825054415916
2010-07-01,167.59,118.82,152.95899999999997,137.08637499999998,147.30253333333334,11.578557679419273,3.8400335273708555,108.732,9.277857484457192,149.23825,12.296948000931405
2010-08-01,169.61,120.93,155.006,137.25449999999998,147.46149999999997,12.933273590301248,5.116250682381523,108.83625,11.111876787375529,149.43375,13.501802638292896
2010-09-01,171.45,121.05,156.32999999999998,137.40899166666665,147.62191666666664,13.769847303175636,5.898909545387073,108.92325,11.133297987344301,149.6171666666667,14.592465436786975
2010-10-01,176.07,122.44,159.981,137.57099999999997,147.80578333333332,16.28977037311645,8.237307358406253,109.00516666666667,12.32495095798211,149.8135,17.526124147690286
2010-11-01,174.84,120.7,158.59799999999998,137.69144999999997,147.92226666666664,15.183622512508958,7.217123948884871,109.04908333333334,10.684103259312122,149.96675000000002,16.5858431952416
2010-12-01,167.29,116.79,152.14,137.75050000000002,147.9301166666667,10.446060086896212,2.8458595370539,109.05283333333334,7.094879087659345,150.04950000000002,11.489875007914033
2011-01-01,161.23,113.95,147.046,137.7555,147.8433333333333,6.7441953315838425,-0.5393096295628118,109.02400000000002,4.518271206339876,150.06900000000002,7.437245533721136
2011-02-01,156.88,111.24,143.188,137.840125,147.66746666666666,3.8797665048548002,-3.0334824371154654,109.0605,1.9984320629375347,150.17425,4.46531279496984
2011-03-01,155.39,110.57,141.944,138.08325833333336,147.49245000000002,2.795952031597332,-3.7618535728439184,109.22558333333333,1.2308624276821536,150.45083333333335,3.2829108069634945
2011-04-01,158.94,112.33,144.957,138.457725,147.37971666666667,4.694050115296912,-1.6438603095880606,109.48933333333333,2.594468867591361,150.87275,5.3470557141697235
2011-05-01,157.16,108.86,142.67,138.70985,147.40859999999995,2.8549883083284997,-3.214602133118396,109.63908333333333,-0.7105890615344733,151.16875,3.963286062760993
2011-06-01,151.72,106.82,138.25,138.94978333333333,147.59053333333333,-0.5036231914479384,-6.328680520611525,109.78999999999999,-2.705164404772747,151.44683333333336,0.1803713294324234
2011-07-01,145.92,103.3,133.134,139.20484166666665,147.62214999999998,-4.361085141854202,-9.814346966224237,109.95633333333333,-6.053615223012774,151.7399166666667,-3.8354552938443676
2011-08-01,137.85,98.96,126.18299999999999,139.44871666666668,147.4430833333333,-9.512971495016762,-14.419179830409124,110.12408333333335,-10.137730998895957,152.0164166666667,-9.319004471556541
2011-09-01,138.75,100.78,127.359,139.70315,147.27276666666666,-8.835985444852174,-13.521689798724948,110.30699999999999,-8.63680455456135,152.3015,-8.897811249396758
2011-10-01,140.8,100.89,128.827,139.9869333333333,147.09955,-7.972125017382553,-12.421893880708675,110.50141666666667,-8.698003117607092,152.62358333333336,-7.746891453537932
2011-11-01,146.39,103.07,133.39399999999998,140.22147499999997,146.98345,-4.869065169939193,-9.2455647217425,110.64058333333334,-6.842501282305253,152.899,-4.257058581154889
2011-12-01,144.97,102.73,132.298,140.37859166666667,146.86198333333334,-5.756284894105705,-9.916782412149097,110.71883333333334,-7.215424054624851,153.08991666666668,-5.304017954589877
2012-01-01,148.76,105.15,135.677,140.444825,146.74941666666666,-3.3948029056962516,-7.5451180101227,110.71716666666666,-5.02827775879379,153.18525,-2.88882252044502
2012-02-01,154.35,107.77,140.37599999999998,140.51225000000002,146.6675,-0.09696663458171553,-4.289634717984566,110.7045,-2.650750421166258,153.28699999999998,0.6934704182350864
2012-03-01,152.11,106.27,138.358,140.5567333333333,146.5793333333333,-1.5643030975392442,-5.608794327531366,110.67583333333333,-3.9808449601313147,153.3628333333333,-0.8169080513857347
2012-04-01,154.3,106.58,139.984,140.571475,146.45329999999998,-0.4179190692848485,-4.417312549461143,110.61550000000001,-3.6482228982376004,153.40974999999997,0.5803086179333696
2012-05-01,154.78,108.59,140.923,140.6759416666667,146.30428333333333,0.17562230642018484,-3.678144761539788,110.64075,-1.8535214195493015,153.54816666666667,0.8022455494421363
2012-06-01,154.64,108.56,140.81599999999997,140.89214166666667,146.1243166666667,-0.05404252200725434,-3.632740113184478,110.76058333333334,-1.986792834695262,153.80566666666667,0.5424594239050484
2012-07-01,156.01,109.84,142.159,141.204775,145.95676666666665,0.6757738893744772,-2.601980540813109,110.96308333333333,-1.012123401401511,154.16549999999998,1.1964414865842299
2012-08-01,157.29,109.68,143.007,141.48935,145.85901666666666,1.072624900743415,-1.955324210901822,111.13525,-1.309440524046144,154.49825,1.8069783961954122
2012-09-01,155.0,107.36,140.708,141.73279166666666,145.64916666666667,-0.7230448611192306,-3.392512830488794,111.27083333333333,-3.5146976221681294,154.78791666666666,0.1370154324061726
2012-10-01,157.42,106.61,142.177,141.96136666666663,145.35686666666666,0.15189578573139345,-2.1876274162945193,111.37883333333333,-4.281633404312309,155.06816666666666,1.5166448303917945
2012-11-01,159.02,109.83,144.263,142.1658083333333,145.11256666666665,1.4751730329907877,-0.5854535456037784,111.47949999999999,-1.479644239523849,155.31708333333333,2.3841013410737806
2012-12-01,157.69,108.58,142.957,142.346125,144.81606666666667,0.4291476146610896,-1.2837433783820564,111.56099999999999,-2.6720807450632345,155.53975,1.3824440376173934
2013-01-01,161.14,108.81,145.44099999999997,142.59659999999997,144.57206666666667,1.994717966627541,0.6010381904111277,111.68716666666667,-2.5760942394157498,155.8435,3.3986018024492393
2013-02-01,160.54,107.94,144.76,142.81463333333335,144.3432,1.3621620006726505,0.2887562420675134,111.77674999999999,-3.4325116806491467,156.11658333333335,2.833406017618226
