Dönem,CPI_REER,PPI_REER,Composite_REER,MA_10Y,MA_5Y,Deviation_10Y,Deviation_5Y,PPI_MA_10Y,CPI_MA_10Y,PPI_Deviation_10Y,CPI_Deviation_10Y,PPI_MA_5Y,CPI_MA_5Y,PPI_Deviation_5Y,CPI_Deviation_5Y,USDTRY,High,Low,USDTRY_Change_1M,USDTRY_Change_3M,USDTRY_Change_6M,USDTRY_Change_12M,USDTRY_Forward_1M,USDTRY_Forward_3M,USDTRY_Forward_6M,USDTRY_Forward_12M
2016-06-01,142.43242913492142,103.25787561454788,130.68006307880935,140.82495313222307,134.24958016263093,-7.203900890979527,-2.658866478016125,109.32545560638664,154.32473778615298,-5.550015738040332,-7.706028742916558,104.52689967251703,146.98787180125117,-1.214064572798966,-3.099196287765408,2.9145036285573784,2.998070001602173,2.8576900959014893,-0.8143797248099882,1.0034771994900105,-0.12919507427541221,7.880505066012944,1.692869031527655,1.7324481778979717,19.992505398508833,20.76249505024288
2016-07-01,143.4917012403755,102.9765445627306,131.33715423708202,140.8583970051356,134.13457321105432,-6.759442795381553,-2.085531647065141,109.33028727192008,154.37044403365655,-5.81151194946266,-7.0471668727656285,104.46298068069831,146.85097000977837,-1.4229309830926191,-2.2875359755398117,2.9638423579079762,3.08870005607605,2.876499891281128,1.692869031527655,4.629413268526172,-1.375750328801184,9.873780432320167,-0.11064316881405079,3.584022444071877,26.052388344071996,19.991233560116918
2016-08-01,141.68537066454948,101.88539385746293,129.74537762242352,140.84604998165378,134.07820352335608,-7.881422560786193,-3.231566195752164,109.30046275168294,154.36558736592698,-6.784114822154164,-8.21440640867629,104.43945689404852,146.78052350734504,-2.445496283245353,-3.4712731097055873,2.9605630688045337,3.0267701148986816,2.9133999347686768,-0.11064316881405079,0.7531030210267131,0.6271398616767732,3.8982409461387535,0.14972911090009866,10.725435485495115,23.91164819317868,18.53294579475635
2016-09-01,141.9052674801272,102.15884428954729,129.98134052295322,140.78821020636235,134.1416095252364,-7.675976324699922,-3.101400838268972,109.23830387003298,154.30959863621783,-6.480748354449483,-8.038599844546038,104.49291267135814,146.84819389118422,-2.233709753265044,-3.366011034987442,2.9649958935650913,3.010629892349243,2.9207000732421875,0.14972911090009866,1.7324481778979717,2.7533100998461846,-1.5804794435297254,3.543722940232441,17.949098392559826,23.859779905067114,17.03339054414217
2016-10-01,139.89420191683573,99.8753665680996,127.88855131221489,140.70751005592098,134.15059210853613,-9.11035860034158,-4.667918864834279,109.16060125191508,154.2276138290664,-8.506031093020011,-9.29367417180991,104.4779706821961,146.8674298626819,-4.405334525588014,-4.747974382316073,3.0700671332223073,3.126879930496216,2.9989800453186035,3.543722940232441,3.584022444071877,8.379354923170856,4.798672875184318,6.776047835667565,21.690957128191712,18.937968802884452,19.687255521410087
2016-11-01,135.2735377020665,97.70223663079132,124.00214738068394,140.580756817043,134.07030909410636,-11.792943651551889,-7.509613262959962,109.05728867126503,154.09081459380502,-10.412006550705305,-12.211809601592588,104.42499006375549,146.77544582139961,-6.437877972370089,-7.8363980126001085,3.2780963507565586,3.4753000736236572,3.0899999141693115,6.776047835667565,10.725435485495115,11.559312085181372,14.097280251006916,6.683439095050558,11.90892828722352,8.816151015561879,18.479506656977797
2016-12-01,131.07346022851897,95.14803360475057,120.29583224138844,140.41360971461233,133.85210392112447,-14.327512492637181,-10.127798729054257,108.93664951929915,153.90373551260367,-12.65746282393769,-14.834126805333495,104.2931063209913,146.52024574975297,-8.768626267678908,-10.542423978469234,3.4971859238364478,3.581089973449707,3.3406600952148438,6.683439095050558,17.949098392559826,19.992505398508833,19.837480992034283,6.828580471862344,5.011213814314441,0.6416981203757999,9.821428501335848
2017-01-01,124.61244412360095,90.9044402310844,114.50004295584597,140.20464277465763,133.55564440974806,-18.333629550431574,-14.267911729316054,108.78991093868343,153.66809927578942,-16.440376275038698,-18.90805918022194,104.09615763456092,146.18113874197115,-12.67262663986817,-14.754772608825938,3.7359940788962622,3.935650110244751,3.524399995803833,6.828580471862344,21.690957128191712,26.052388344071996,24.318222196966666,-1.8070581247269901,-2.262278471856549,-4.808441048661893,1.037482080906238
2017-02-01,126.43568446612652,92.450702644718,116.24018991970397,139.98647620581121,133.2318378998606,-16.96327168861293,-12.753444107652303,108.64253892253893,153.4195921843565,-14.903771983242722,-17.588306248268996,103.88453975889907,145.80925138884413,-11.006293275897775,-13.286925718486945,3.6684824943542482,3.7936899662017822,3.556030035018921,-1.8070581247269901,11.90892828722352,23.91164819317868,24.6887475322588,0.1078073458395501,-2.7636555179259448,-4.340756076488406,3.1314722163073183
2017-03-01,127.19792204421265,93.41729779192922,117.06373476852761,139.75130682240402,132.8434825663552,-16.234246798641948,-11.878450860354112,108.4805219899543,153.15307175059678,-13.885648706059872,-16.947194992374023,103.6454006569539,145.3569462418129,-9.868361548311933,-12.492711677769606,3.672437387964,3.7839999198913574,3.5850000381469727,0.1078073458395501,5.011213814314441,23.859779905067114,27.270023734840578,-0.5707898218535568,-4.160999130688092,-5.511385024385684,5.848701134967116
