tarih,TP.FG.J045
2016-05-01,309.65
2016-06-01,309.58
2016-07-01,309.73
2016-08-01,309.59
2016-09-01,310.16
2016-10-01,305.77
2016-11-01,309.32
2016-12-01,312.35
2017-01-01,317.1
2017-02-01,320.49
2017-03-01,320.39
2017-04-01,318.93
2017-05-01,318.42
2017-06-01,318.2
2017-07-01,318.03
2017-08-01,320.57
2017-09-01,322.37
2017-10-01,325.93
2017-11-01,330.29
2017-12-01,332.47
2018-01-01,346.06
2018-02-01,345.9
2018-03-01,345.77
2018-04-01,351.35
2018-05-01,353.57
2018-06-01,355.71
2018-07-01,357.87
2018-08-01,383.95
2018-09-01,417.14
2018-10-01,447.97
2018-11-01,448.24
2018-12-01,445.91
2019-01-01,414.79
2019-02-01,415.13
2019-03-01,416.25
2019-04-01,416.66
2019-05-01,418.03
2019-06-01,419.07
2019-07-01,447.38
2019-08-01,463.8
2019-09-01,482.99
2019-10-01,518.35
2019-11-01,519.81
2019-12-01,520.47
2020-01-01,521.29
2020-02-01,521.81
2020-03-01,522.36
2020-04-01,518.26
2020-05-01,520.74
2020-06-01,522.88
2020-07-01,524.87
2020-08-01,526.18
2020-09-01,528.24
2020-10-01,545.31
2020-11-01,548.76
2020-12-01,550.33
2021-01-01,568.38
2021-02-01,569.33
2021-03-01,572.34
2021-04-01,575.44
2021-05-01,578.68
2021-06-01,581.37
2021-07-01,644.76
2021-08-01,646.97
2021-09-01,660.08
2021-10-01,683.9
2021-11-01,710.05
2021-12-01,738.56
2022-01-01,1003.84
2022-02-01,1000.38
2022-03-01,1008.15
2022-04-01,1102.57
2022-05-01,1110.93
2022-06-01,1269.72
2022-07-01,1272.26
2022-08-01,1283.09
2022-09-01,1482.95
2022-10-01,1488.99
2022-11-01,1500.0
2022-12-01,1511.9
2023-01-01,1482.18
2023-02-01,1491.81
2023-03-01,1495.58
2023-04-01,1392.96
2023-05-01,892.07
2023-06-01,896.76
2023-07-01,920.25
2023-08-01,970.49
2023-09-01,994.9
2023-10-01,1080.4
2023-11-01,1370.0
2023-12-01,1463.12
2024-01-01,1542.73
2024-02-01,1552.73
2024-03-01,1570.27
2024-04-01,1532.26
2024-05-01,1727.97
2024-06-01,1736.65
2024-07-01,1947.35
2024-08-01,2205.54
2024-09-01,2231.59
2024-10-01,2255.9
2024-11-01,2281.32
2024-12-01,2297.45
2025-01-01,2325.18
2025-02-01,2436.52
2025-03-01,2445.32
2025-04-01,2658.13
2025-05-01,2690.44
2025-06-01,2686.92
2025-07-01,2969.45
2025-08-01,2987.48
2025-09-01,2999.87
2025-10-01,3042.76
2025-11-01,3061.53
2025-12-01,3094.35
