tarih,TP.FG.J112
2022-03-01,743.89
2022-04-01,758.67
2022-05-01,822.45
2022-06-01,901.74
2022-07-01,923.6
2022-08-01,955.11
2022-09-01,959.8
2022-10-01,968.52
2022-11-01,975.15
2022-12-01,965.05
2023-01-01,1071.82
2023-02-01,1077.3
2023-03-01,1075.96
2023-04-01,1093.72
2023-05-01,1182.68
2023-06-01,1298.68
2023-07-01,1496.26
2023-08-01,1568.66
2023-09-01,1635.35
2023-10-01,1600.43
2023-11-01,1576.0
2023-12-01,1562.8
2024-01-01,1676.1
2024-02-01,1697.26
2024-03-01,1721.27
2024-04-01,1784.14
2024-05-01,1878.4
2024-06-01,1971.16
2024-07-01,2070.9
2024-08-01,2138.05
2024-09-01,2383.09
2024-10-01,2336.37
2024-11-01,2259.06
2024-12-01,2249.48
2025-01-01,2366.43
2025-02-01,2384.99
2025-03-01,2380.4
2025-04-01,2500.02
2025-05-01,2600.0
2025-06-01,2728.35
2025-07-01,2831.91
2025-08-01,2880.41
2025-09-01,3158.79
2025-10-01,3103.06
2025-11-01,2998.84
2025-12-01,2970.68
