dt,TUKFIY2025.GENEL
2019-08-01,13.2833666
2019-09-01,13.41530809
2019-10-01,13.68390327
2019-11-01,13.73605157
2019-12-01,13.83814915
2020-01-01,14.02506627
2020-02-01,14.07438725
2020-03-01,14.15480873
2020-04-01,14.2757551
2020-05-01,14.47021172
2020-06-01,14.63419615
2020-07-01,14.71964397
2020-08-01,14.84687326
2020-09-01,14.99138061
2020-10-01,15.3108675
2020-11-01,15.66271148
2020-12-01,15.85842469
2021-01-01,16.12513498
2021-02-01,16.27152721
2021-03-01,16.44650676
2021-04-01,16.72264145
2021-05-01,16.8712327
2021-06-01,17.1988874
2021-07-01,17.50926405
2021-08-01,17.7052914
2021-09-01,17.92707877
2021-10-01,18.35620276
2021-11-01,19.00083118
2021-12-01,21.58028731
2022-01-01,23.97659609
2022-02-01,25.1295134
2022-03-01,26.50264734
2022-04-01,28.42365261
2022-05-01,29.27090546
2022-06-01,30.72037698
2022-07-01,31.44699761
2022-08-01,31.90627966
2022-09-01,32.88767303
2022-10-01,34.05347034
2022-11-01,35.035492
2022-12-01,35.44985111
2023-01-01,37.80689159
2023-02-01,38.99593573
2023-03-01,39.88873981
2023-04-01,40.84028928
2023-05-01,40.85788148
2023-06-01,42.459714
2023-07-01,46.48864164
2023-08-01,50.71296836
2023-09-01,53.12341372
2023-10-01,54.9476619
2023-11-01,56.75054812
2023-12-01,58.41175431
2024-01-01,62.32727511
2024-02-01,65.15019471
2024-03-01,67.21068098
2024-04-01,69.34781897
2024-05-01,71.6834975
2024-06-01,72.85966164
2024-07-01,75.2097909
2024-08-01,77.0707942
2024-09-01,79.35840832
2024-10-01,81.64382342
2024-11-01,83.47592526
2024-12-01,84.33417324
2025-01-01,88.57829117
2025-02-01,90.59196963
2025-03-01,92.82052423
2025-04-01,95.6019765
2025-05-01,97.06307144
2025-06-01,98.39599463
2025-07-01,100.4219248
2025-08-01,102.46576131
2025-09-01,105.78000589
2025-10-01,108.47758107
2025-11-01,109.41593639
2025-12-01,110.38696292
2026-01-01,115.73
2026-02-01,119.16
2026-03-01,121.47
2026-04-01,126.55
2026-05-01,128.72
2026-06-01,129.99
2026-07-01,132.31
