dt,MK_F_BILESIK,UNIXTIME
1986-09-16,,"{""numberLong"":""527205600""}"
1986-09-17,,"{""numberLong"":""527292000""}"
1986-09-18,,"{""numberLong"":""527378400""}"
1986-09-19,0.0152,"{""numberLong"":""527464800""}"
1986-09-22,,"{""numberLong"":""527724000""}"
1986-09-23,,"{""numberLong"":""527810400""}"
1986-09-24,,"{""numberLong"":""527896800""}"
1986-09-25,,"{""numberLong"":""527983200""}"
1986-09-26,0.0152,"{""numberLong"":""528069600""}"
1986-09-29,,"{""numberLong"":""528332400""}"
1986-09-30,,"{""numberLong"":""528418800""}"
1986-10-01,,"{""numberLong"":""528505200""}"
1986-10-02,,"{""numberLong"":""528591600""}"
1986-10-03,0.0151,"{""numberLong"":""528678000""}"
1986-10-06,,"{""numberLong"":""528937200""}"
1986-10-07,,"{""numberLong"":""529023600""}"
1986-10-08,,"{""numberLong"":""529110000""}"
1986-10-09,,"{""numberLong"":""529196400""}"
1986-10-10,0.0149,"{""numberLong"":""529282800""}"
1986-10-13,,"{""numberLong"":""529542000""}"
1986-10-14,,"{""numberLong"":""529628400""}"
1986-10-15,,"{""numberLong"":""529714800""}"
1986-10-16,,"{""numberLong"":""529801200""}"
1986-10-17,0.0151,"{""numberLong"":""529887600""}"
1986-10-20,,"{""numberLong"":""530146800""}"
1986-10-21,,"{""numberLong"":""530233200""}"
1986-10-22,,"{""numberLong"":""530319600""}"
1986-10-23,,"{""numberLong"":""530406000""}"
1986-10-24,0.0152,"{""numberLong"":""530492400""}"
1986-10-27,,"{""numberLong"":""530751600""}"
1986-10-28,,"{""numberLong"":""530838000""}"
1986-10-29,,"{""numberLong"":""530924400""}"
1986-10-30,,"{""numberLong"":""531010800""}"
1986-10-31,0.0154,"{""numberLong"":""531097200""}"
1986-11-03,,"{""numberLong"":""531356400""}"
1986-11-04,,"{""numberLong"":""531442800""}"
1986-11-05,,"{""numberLong"":""531529200""}"
1986-11-06,,"{""numberLong"":""531615600""}"
1986-11-07,0.0154,"{""numberLong"":""531702000""}"
1986-11-10,,"{""numberLong"":""531961200""}"
1986-11-11,,"{""numberLong"":""532047600""}"
1986-11-12,,"{""numberLong"":""532134000""}"
1986-11-13,,"{""numberLong"":""532220400""}"
1986-11-14,0.0157,"{""numberLong"":""532306800""}"
1986-11-17,,"{""numberLong"":""532566000""}"
1986-11-18,,"{""numberLong"":""532652400""}"
1986-11-19,,"{""numberLong"":""532738800""}"
1986-11-20,,"{""numberLong"":""532825200""}"
1986-11-21,0.0162,"{""numberLong"":""532911600""}"
1986-11-24,,"{""numberLong"":""533170800""}"
1986-11-25,,"{""numberLong"":""533257200""}"
1986-11-26,,"{""numberLong"":""533343600""}"
1986-11-27,,"{""numberLong"":""533430000""}"
1986-11-28,0.0165,"{""numberLong"":""533516400""}"
1986-12-01,,"{""numberLong"":""533775600""}"
1986-12-02,,"{""numberLong"":""533862000""}"
1986-12-03,,"{""numberLong"":""533948400""}"
1986-12-04,,"{""numberLong"":""534034800""}"
1986-12-05,0.0171,"{""numberLong"":""534121200""}"
1986-12-08,,"{""numberLong"":""534380400""}"
1986-12-09,,"{""numberLong"":""534466800""}"
1986-12-10,,"{""numberLong"":""534553200""}"
1986-12-11,,"{""numberLong"":""534639600""}"
1986-12-12,0.0173,"{""numberLong"":""534726000""}"
1986-12-15,,"{""numberLong"":""534985200""}"
1986-12-16,,"{""numberLong"":""535071600""}"
1986-12-17,,"{""numberLong"":""535158000""}"
1986-12-18,,"{""numberLong"":""535244400""}"
1986-12-19,0.017,"{""numberLong"":""535330800""}"
1986-12-22,,"{""numberLong"":""535590000""}"
1986-12-23,,"{""numberLong"":""535676400""}"
1986-12-24,,"{""numberLong"":""535762800""}"
1986-12-25,,"{""numberLong"":""535849200""}"
1986-12-26,0.0171,"{""numberLong"":""535935600""}"
1986-12-29,,"{""numberLong"":""536194800""}"
1986-12-30,,"{""numberLong"":""536281200""}"
1986-12-31,,"{""numberLong"":""536367600""}"
1987-01-01,,"{""numberLong"":""536454000""}"
1987-01-02,0.0172,"{""numberLong"":""536540400""}"
1987-01-05,,"{""numberLong"":""536799600""}"
1987-01-06,,"{""numberLong"":""536886000""}"
1987-01-07,,"{""numberLong"":""536972400""}"
1987-01-08,,"{""numberLong"":""537058800""}"
1987-01-09,0.0177,"{""numberLong"":""537145200""}"
1987-01-12,,"{""numberLong"":""537404400""}"
1987-01-13,,"{""numberLong"":""537490800""}"
1987-01-14,,"{""numberLong"":""537577200""}"
1987-01-15,,"{""numberLong"":""537663600""}"
1987-01-16,0.0197,"{""numberLong"":""537750000""}"
1987-01-19,,"{""numberLong"":""538009200""}"
1987-01-20,,"{""numberLong"":""538095600""}"
1987-01-21,,"{""numberLong"":""538182000""}"
1987-01-22,,"{""numberLong"":""538268400""}"
1987-01-23,0.0203,"{""numberLong"":""538354800""}"
1987-01-26,,"{""numberLong"":""538614000""}"
1987-01-27,,"{""numberLong"":""538700400""}"
1987-01-28,,"{""numberLong"":""538786800""}"
1987-01-29,,"{""numberLong"":""538873200""}"
1987-01-30,0.0217,"{""numberLong"":""538959600""}"
1987-02-02,,"{""numberLong"":""539218800""}"
1987-02-03,,"{""numberLong"":""539305200""}"
1987-02-04,,"{""numberLong"":""539391600""}"
1987-02-05,,"{""numberLong"":""539478000""}"
1987-02-06,0.0243,"{""numberLong"":""539564400""}"
1987-02-09,,"{""numberLong"":""539823600""}"
1987-02-10,,"{""numberLong"":""539910000""}"
1987-02-11,,"{""numberLong"":""539996400""}"
1987-02-12,,"{""numberLong"":""540082800""}"
1987-02-13,0.0253,"{""numberLong"":""540169200""}"
1987-02-16,,"{""numberLong"":""540428400""}"
1987-02-17,,"{""numberLong"":""540514800""}"
1987-02-18,,"{""numberLong"":""540601200""}"
1987-02-19,,"{""numberLong"":""540687600""}"
1987-02-20,0.0259,"{""numberLong"":""540774000""}"
