dt,BISTTLREF.ORAN
2020-09-03,9.75
2020-09-04,9.7999
2020-09-07,9.8713
2020-09-08,9.9629
2020-09-09,10.1034
2020-09-10,10.2668
2020-09-11,10.4679
2020-09-14,10.4703
2020-09-15,10.5464
2020-09-16,10.6479
2020-09-17,11.2482
2020-09-18,11.029
2020-09-21,11.1627
2020-09-22,11.1736
2020-09-23,11.25
2020-09-24,11.25
2020-09-25,11.4748
2020-09-28,11.7227
2020-09-29,11.75
2020-09-30,11.8413
2020-10-01,11.8273
2020-10-02,12.0257
2020-10-05,12.0317
2020-10-06,12.0741
2020-10-07,12.4539
2020-10-08,12.5736
2020-10-09,12.4742
2020-10-12,12.4135
2020-10-13,12.4038
2020-10-14,12.4222
2020-10-15,12.4857
2020-10-16,12.5783
2020-10-19,12.5874
2020-10-20,12.5742
2020-10-21,12.597
2020-10-22,12.8358
2020-10-23,14.1039
2020-10-26,14.4558
2020-10-27,13.8649
2020-10-28,14.1746
2020-10-29,
2020-10-30,14.75
2020-11-02,14.75
2020-11-03,14.7534
2020-11-04,14.7506
2020-11-05,14.7536
2020-11-06,14.7102
2020-11-09,14.6198
2020-11-10,14.6432
2020-11-11,14.7172
2020-11-12,14.704
2020-11-13,14.7471
2020-11-16,14.7519
2020-11-17,14.7539
2020-11-18,14.7558
2020-11-19,14.75
2020-11-20,14.9719
2020-11-23,14.9875
2020-11-24,14.9865
2020-11-25,14.9701
2020-11-26,14.8542
2020-11-27,15.4286
2020-11-30,15.8689
2020-12-01,15.9329
2020-12-02,15.9063
2020-12-03,15.235
2020-12-04,15.0334
2020-12-07,15.4319
2020-12-08,15.1555
2020-12-09,14.239
2020-12-10,14.5412
2020-12-11,15.9356
2020-12-14,15.6902
2020-12-15,15.4205
2020-12-16,15.0423
2020-12-17,15.031
2020-12-18,15.2034
2020-12-21,15.2485
2020-12-22,15.4774
2020-12-23,15.3382
2020-12-24,15.6758
2020-12-25,17.9231
2020-12-28,17.7028
2020-12-29,17.569
2020-12-30,17.309
2020-12-31,17.9662
2021-01-01,
2021-01-04,17.3849
2021-01-05,16.7878
2021-01-06,16.7212
2021-01-07,16.7649
2021-01-08,17.4841
2021-01-11,17.182
2021-01-12,17.168
2021-01-13,16.9365
2021-01-14,16.8163
2021-01-15,16.7195
2021-01-18,16.7308
2021-01-19,16.799
2021-01-20,16.7498
2021-01-21,17.0698
2021-01-22,17.2651
2021-01-25,17.1919
2021-01-26,16.9756
2021-01-27,16.9241
2021-01-28,16.9908
2021-01-29,16.9814
2021-02-01,17.3412
2021-02-02,17.4594
2021-02-03,17.3877
2021-02-04,17.3764
2021-02-05,17.1597
2021-02-08,17.0474
2021-02-09,16.9668
2021-02-10,16.9988
2021-02-11,17.1094
2021-02-12,17.0358
2021-02-15,16.929
2021-02-16,17.0633
2021-02-17,16.823
2021-02-18,16.5596
2021-02-19,16.9496
2021-02-22,16.8069
2021-02-23,16.962
2021-02-24,17.2584
2021-02-25,17.3394
2021-02-26,17.0978
2021-03-01,17.2687
2021-03-02,17.1015
2021-03-03,17.0098
2021-03-04,17.1467
2021-03-05,17.4068
2021-03-08,17.4321
2021-03-09,17.2253
2021-03-10,17.2357
2021-03-11,17.1688
2021-03-12,17.1391
2021-03-15,17.0519
2021-03-16,16.9061
2021-03-17,16.6719
2021-03-18,17.0257
2021-03-19,18.8224
2021-03-22,18.9258
2021-03-23,19.1488
2021-03-24,19.1757
2021-03-25,19.357
2021-03-26,19.2942
2021-03-29,19.0402
2021-03-30,18.8629
2021-03-31,18.9845
2021-04-01,18.5855
2021-04-02,18.7182
2021-04-05,18.8886
2021-04-06,19.1085
2021-04-07,19.2647
2021-04-08,19.4127
2021-04-09,19.4197
2021-04-12,19.1963
2021-04-13,18.9436
2021-04-14,18.8837
2021-04-15,18.803
2021-04-16,19.3328
2021-04-19,19.1011
2021-04-20,19.0382
2021-04-21,19.0087
2021-04-22,19.1265
2021-04-23,
2021-04-26,19.0
2021-04-27,19.026
2021-04-28,18.9613
2021-04-29,18.9997
2021-04-30,19.5216
2021-05-03,19.252
2021-05-04,19.2421
2021-05-05,19.2367
2021-05-06,19.233
2021-05-07,19.25
2021-05-10,19.2673
2021-05-11,19.227
2021-05-12,17.968
2021-05-13,
2021-05-14,
2021-05-17,18.7994
2021-05-18,18.8481
2021-05-19,
2021-05-20,18.9626
2021-05-21,19.0107
2021-05-24,19.0386
2021-05-25,18.9741
2021-05-26,18.7487
2021-05-27,18.7625
2021-05-28,18.9673
2021-05-31,19.0726
2021-06-01,18.9298
2021-06-02,19.0212
2021-06-03,19.0
2021-06-04,19.1791
2021-06-07,19.0721
2021-06-08,18.9848
2021-06-09,19.0571
2021-06-10,18.8556
2021-06-11,19.0817
2021-06-14,19.0522
2021-06-15,19.0744
2021-06-16,19.1364
2021-06-17,19.1374
2021-06-18,19.2858
2021-06-21,19.0803
2021-06-22,19.1456
2021-06-23,19.0426
2021-06-24,18.8533
2021-06-25,19.0834
2021-06-28,19.0076
2021-06-29,18.9878
2021-06-30,19.0266
2021-07-01,19.0027
2021-07-02,18.9535
2021-07-05,18.9269
2021-07-06,19.2602
2021-07-07,19.0769
2021-07-08,18.8364
2021-07-09,18.9703
2021-07-12,19.0
2021-07-13,19.0356
2021-07-14,19.0374
2021-07-15,
2021-07-16,19.0
2021-07-19,18.9503
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-26,19.1341
2021-07-27,18.9477
2021-07-28,18.9846
2021-07-29,19.0043
2021-07-30,19.0615
2021-08-02,19.0148
2021-08-03,18.9791
2021-08-04,18.9554
2021-08-05,18.9379
2021-08-06,19.0651
2021-08-09,19.0621
2021-08-10,19.0754
2021-08-11,18.9726
2021-08-12,18.9552
2021-08-13,18.976
2021-08-16,19.0
2021-08-17,18.9767
2021-08-18,18.7637
2021-08-19,18.7987
2021-08-20,19.0
2021-08-23,18.9914
2021-08-24,19.0021
2021-08-25,18.9901
2021-08-26,18.9988
2021-08-27,18.9933
2021-08-30,
2021-08-31,18.9476
2021-09-01,18.9741
2021-09-02,18.6066
2021-09-03,18.988
2021-09-06,19.0029
2021-09-07,19.0
2021-09-08,19.0171
2021-09-09,19.0769
2021-09-10,19.0737
2021-09-13,19.068
2021-09-14,19.076
2021-09-15,18.9009
2021-09-16,18.8835
2021-09-17,18.6074
2021-09-20,19.048
2021-09-21,19.0287
2021-09-22,18.849
2021-09-23,18.8519
2021-09-24,18.3078
2021-09-27,17.8621
2021-09-28,17.9411
2021-09-29,18.1156
2021-09-30,18.3213
2021-10-01,18.2778
2021-10-04,18.237
2021-10-05,18.0
2021-10-06,18.0218
2021-10-07,18.0254
2021-10-08,18.1906
2021-10-11,18.2113
2021-10-12,18.0241
2021-10-13,18.1527
2021-10-14,17.7142
2021-10-15,17.9054
2021-10-18,17.9319
2021-10-19,17.965
2021-10-20,17.7967
2021-10-21,18.3473
