dt,PYUK1,PYUK2,PYUK3,PYUK4
2006-02-24,41106.0,21217.0,113.0,181.0
2006-03-03,41384.0,22533.0,30.0,1026.0
2006-03-10,36253.0,21500.0,-94.0,-497.0
2006-03-17,38586.0,21838.0,-41.0,170.0
2006-03-24,37788.0,21475.0,81.0,-285.0
2006-03-31,36690.0,21316.0,-26.0,-62.0
2006-04-07,37738.0,21846.0,-163.0,231.0
2006-04-14,35609.0,21704.0,-111.0,-46.0
2006-04-21,38356.0,22321.0,62.0,423.0
2006-04-28,37886.0,21731.0,409.0,-690.0
2006-05-05,38902.0,21041.0,33.0,-734.0
2006-05-12,36361.0,20685.0,268.0,104.0
2006-05-19,32677.0,19350.0,-122.0,-1052.0
2006-05-26,28948.0,16147.0,-118.0,-1876.0
2006-06-02,29584.0,15905.0,138.0,-48.0
2006-06-09,26334.0,15675.0,-66.0,-315.0
2006-06-16,25533.0,14964.0,-122.0,-314.0
2006-06-23,23954.0,14116.0,71.0,-300.0
2006-06-30,26075.0,14343.0,1.0,-130.0
2006-07-07,27190.0,13969.0,200.0,-586.0
2006-07-14,25919.0,14271.0,43.0,152.0
2006-07-21,26880.0,15670.0,-76.0,1158.0
2006-07-28,28378.0,16041.0,105.0,-77.0
2006-08-04,28736.0,16289.0,27.0,62.0
2006-08-11,31062.0,19285.0,102.0,2553.0
2006-08-18,31428.0,19208.0,142.0,-155.0
2006-08-25,29886.0,18399.0,-80.0,-226.0
2006-09-01,30876.0,18648.0,-46.0,-111.0
2006-09-08,30709.0,18312.0,76.0,-70.0
2006-09-15,31012.0,19575.0,32.0,1245.0
2006-09-22,30137.0,19202.0,20.0,-418.0
2006-09-29,30188.0,19386.0,46.0,438.0
2006-10-06,30025.0,20598.0,-9.0,1168.0
2006-10-13,31532.0,21662.0,122.0,854.0
2006-10-20,33323.0,23117.0,228.0,1108.0
2006-10-27,34324.0,23175.0,61.0,-204.0
2006-11-03,31913.0,22842.0,233.0,-203.0
2006-11-10,33937.0,24391.0,-7.0,1264.0
2006-11-17,33342.0,24734.0,-49.0,114.0
2006-11-24,31816.0,23324.0,489.0,-842.0
2006-12-01,32818.0,23994.0,-59.0,246.0
2006-12-08,33592.0,25984.0,-717.0,1667.0
2006-12-15,34386.0,26302.0,157.0,14.0
2006-12-22,33537.0,25928.0,-3.0,-348.0
2006-12-29,33816.0,26721.0,-106.0,547.0
2007-01-05,33291.0,26858.0,-31.0,-20.0
2007-01-12,30875.0,26385.0,-1698.0,-130.0
2007-01-19,33582.0,27682.0,342.0,979.0
2007-01-26,34882.0,29766.0,87.0,1931.0
2007-02-02,36242.0,30248.0,-27.0,152.0
2007-02-09,35900.0,30241.0,187.0,-109.0
2007-02-16,37417.0,31129.0,-57.0,1003.0
2007-02-23,37407.0,31981.0,271.0,809.0
2007-03-02,33616.0,30258.0,24.0,-969.0
2007-03-09,34535.0,30146.0,-121.0,-66.0
2007-03-16,34670.0,30383.0,19.0,136.0
2007-03-23,37375.0,30196.0,157.0,-1054.0
