dt,TRY.MT02,TRY.MT06
2005-11-18,16.14,15.77
2005-11-25,16.24,15.73
2005-12-02,16.37,15.76
2005-12-09,16.05,15.5
2005-12-16,16.29,15.63
2005-12-23,16.21,15.68
2005-12-30,16.47,15.92
2006-01-06,16.45,15.5
2006-01-13,,
2006-01-20,15.59,15.17
2006-01-27,15.7,14.99
2006-02-03,15.68,14.94
2006-02-10,15.74,15.13
2006-02-17,15.92,15.0
2006-02-24,15.7,15.0
2006-03-03,15.67,14.89
2006-03-10,15.49,14.85
2006-03-17,15.42,14.73
2006-03-24,14.84,14.48
2006-03-31,15.23,14.75
2006-04-07,15.34,14.75
2006-04-14,15.16,14.55
2006-04-21,15.33,14.52
2006-04-28,14.87,14.34
2006-05-05,14.94,14.38
2006-05-12,15.06,14.34
2006-05-19,14.86,14.26
2006-05-26,14.84,14.3
2006-06-02,14.54,14.09
2006-06-09,15.17,14.74
2006-06-16,15.58,15.31
2006-06-23,15.57,15.12
2006-06-30,17.06,17.34
2006-07-07,17.64,17.35
2006-07-14,17.3,17.29
2006-07-21,18.33,17.92
2006-07-28,18.58,17.89
2006-08-04,18.3,17.95
2006-08-11,18.37,17.92
2006-08-18,18.32,17.96
2006-08-25,18.42,17.84
2006-09-01,18.52,18.03
2006-09-08,18.74,18.03
2006-09-15,18.68,18.06
2006-09-22,18.46,17.82
2006-09-29,19.1,18.27
2006-10-06,18.85,18.22
2006-10-13,18.86,18.16
2006-10-20,18.71,18.18
2006-10-27,18.26,17.88
2006-11-03,19.42,18.58
2006-11-10,19.09,18.43
2006-11-17,18.84,18.46
2006-11-24,18.81,18.21
2006-12-01,18.5,18.23
2006-12-08,19.48,18.57
2006-12-15,18.9,18.33
2006-12-22,18.85,18.31
2006-12-29,19.79,19.12
2007-01-05,18.79,18.28
2007-01-12,19.25,18.55
2007-01-19,19.09,18.54
2007-01-26,18.94,18.3
2007-02-02,19.06,18.49
2007-02-09,18.79,18.26
2007-02-16,18.65,18.24
2007-02-23,18.69,18.29
2007-03-02,18.95,18.31
2007-03-09,18.65,18.21
2007-03-16,18.49,18.1
2007-03-23,18.26,17.96
2007-03-30,18.62,18.12
2007-04-06,18.57,18.17
2007-04-13,18.57,18.07
2007-04-20,18.46,18.09
2007-04-27,18.34,18.09
2007-05-04,18.34,18.13
2007-05-11,18.64,18.2
2007-05-18,18.52,18.1
2007-05-25,18.5,17.92
2007-06-01,18.25,18.03
2007-06-08,18.66,18.03
2007-06-15,18.44,18.07
2007-06-22,18.4,17.9
2007-06-29,18.36,17.93
2007-07-06,18.37,17.96
2007-07-13,18.55,18.03
2007-07-20,18.49,17.95
2007-07-27,18.35,17.95
2007-08-03,18.34,17.9
2007-08-10,18.05,17.7
2007-08-17,18.32,17.81
2007-08-24,18.23,17.85
2007-08-31,18.17,17.8
2007-09-07,18.2,17.83
2007-09-14,18.35,17.82
2007-09-21,18.18,17.72
2007-09-28,18.1,17.64
2007-10-05,18.0,17.58
2007-10-12,18.11,17.44
2007-10-19,17.69,17.3
2007-10-26,17.56,17.07
2007-11-02,17.33,17.02
2007-11-09,17.41,16.94
2007-11-16,17.25,16.76
2007-11-23,17.29,16.71
2007-11-30,17.4,16.91
2007-12-07,17.32,16.84
2007-12-14,17.43,16.82
2007-12-21,17.33,16.7
2007-12-28,17.66,17.07
2008-01-04,17.45,16.9
2008-01-11,17.11,16.65
2008-01-18,17.06,16.43
2008-01-25,16.85,16.27
2008-02-01,16.88,16.35
