dt,TRY.MT02,TRY.MT06
2018-09-21,27.2,24.99
2018-09-28,25.4,23.95
2018-10-05,25.26,23.94
2018-10-12,25.22,24.11
2018-10-19,25.2,24.09
2018-10-26,25.58,24.3
2018-11-02,24.47,23.28
2018-11-09,24.39,23.49
2018-11-16,23.86,22.98
2018-11-23,23.92,23.06
2018-11-30,23.99,23.02
2018-12-07,23.14,22.0
2018-12-14,23.08,22.23
2018-12-21,23.08,22.24
2018-12-28,23.59,22.51
2019-01-04,22.85,21.71
2019-01-11,22.38,21.41
2019-01-18,21.66,20.87
2019-01-25,21.45,20.6
2019-02-01,21.16,20.28
2019-02-08,21.13,20.17
2019-02-15,20.64,19.83
2019-02-22,20.68,19.88
2019-03-01,20.48,19.63
2019-03-08,20.62,19.43
2019-03-15,20.63,19.69
2019-03-22,20.45,19.62
2019-03-29,20.5,19.9
2019-04-05,20.78,19.81
2019-04-12,20.5,19.87
2019-04-19,21.97,21.13
2019-04-26,21.93,21.35
2019-05-03,22.32,21.55
2019-05-10,22.9,22.17
2019-05-17,22.87,22.34
2019-05-24,23.1,22.7
2019-05-31,23.28,22.72
2019-06-07,22.42,21.93
2019-06-14,23.86,22.93
2019-06-21,23.27,22.73
2019-06-28,23.55,22.89
2019-07-05,23.33,22.26
2019-07-12,22.6,21.85
2019-07-19,22.26,21.69
2019-07-26,20.85,20.09
2019-08-02,19.26,18.75
2019-08-09,18.7,18.31
2019-08-16,17.86,17.82
2019-08-23,17.97,17.51
2019-08-30,17.41,17.01
2019-09-06,17.31,16.62
2019-09-13,16.69,15.66
2019-09-20,14.91,14.71
2019-09-27,14.78,14.56
2019-10-04,14.19,13.83
2019-10-11,13.97,13.68
2019-10-18,14.04,13.63
2019-10-25,13.59,12.9
2019-11-01,12.74,12.25
2019-11-08,12.38,11.93
2019-11-15,12.24,11.73
2019-11-22,12.22,11.62
2019-11-29,11.75,11.35
2019-12-06,11.73,11.17
2019-12-13,11.47,10.77
2019-12-20,10.76,10.24
2019-12-27,10.53,10.1
2020-01-03,10.46,9.88
2020-01-10,10.33,9.81
2020-01-17,10.33,9.6
2020-01-24,9.95,9.44
2020-01-31,9.93,9.45
2020-02-07,9.8,9.22
2020-02-14,9.92,9.35
2020-02-21,9.87,9.24
2020-02-28,9.92,9.34
2020-03-06,10.09,9.28
2020-03-13,10.02,9.36
2020-03-20,10.0,9.36
2020-03-27,10.23,9.43
2020-04-03,10.29,9.27
2020-04-10,10.17,9.38
2020-04-17,10.23,9.35
2020-04-24,9.54,8.76
2020-05-01,8.82,8.2
2020-05-08,8.44,7.69
2020-05-15,8.2,7.58
2020-05-22,8.03,7.45
2020-05-29,8.04,7.35
2020-06-05,8.15,7.35
2020-06-12,8.06,7.4
2020-06-19,8.19,7.41
2020-06-26,8.08,7.37
2020-07-03,8.07,7.37
2020-07-10,8.18,7.37
2020-07-17,8.17,7.35
2020-07-24,8.21,7.39
2020-07-31,8.16,7.24
2020-08-07,8.7,7.79
2020-08-14,10.06,8.79
2020-08-21,10.93,9.57
2020-08-28,11.44,9.75
2020-09-04,11.76,9.93
2020-09-11,11.58,10.19
2020-09-18,11.93,10.35
2020-09-25,11.85,10.68
2020-10-02,12.25,10.87
2020-10-09,12.18,10.84
2020-10-16,12.09,10.96
2020-10-23,12.42,11.19
2020-10-30,12.5,11.34
2020-11-06,13.3,11.87
2020-11-13,13.19,12.28
2020-11-20,14.09,13.58
2020-11-27,15.47,14.59
2020-12-04,15.38,14.51
2020-12-11,16.12,14.95
2020-12-18,15.98,15.04
2020-12-25,16.73,15.88
2021-01-01,18.18,16.96
2021-01-08,17.54,16.22
2021-01-15,17.15,16.12
2021-01-22,17.19,16.08
2021-01-29,17.57,16.42
2021-02-05,17.49,16.27
2021-02-12,17.4,16.22
2021-02-19,17.18,16.14
2021-02-26,17.08,16.24
2021-03-05,17.32,16.22
2021-03-12,17.39,16.46
2021-03-19,17.43,16.8
2021-03-26,18.51,17.77
2021-04-02,19.08,17.87
2021-04-09,18.86,17.7
2021-04-16,18.73,17.74
2021-04-23,18.65,17.68
2021-04-30,18.88,17.93
2021-05-07,18.84,17.88
2021-05-14,18.74,17.9
2021-05-21,18.68,17.87
2021-05-28,18.89,17.92
2021-06-04,18.93,17.88
2021-06-11,18.78,17.87
2021-06-18,18.78,17.85
2021-06-25,18.91,18.08
2021-07-02,18.94,17.89
2021-07-09,18.93,17.81
2021-07-16,18.94,17.98
2021-07-23,18.08,17.5
2021-07-30,19.11,18.25
2021-08-06,18.9,17.79
2021-08-13,18.95,18.03
2021-08-20,18.89,17.98
2021-08-27,18.9,18.04
2021-09-03,19.01,18.03
2021-09-10,19.07,18.13
2021-09-17,19.1,18.14
2021-09-24,18.96,17.86
2021-10-01,18.47,17.47
2021-10-08,18.18,17.32
2021-10-15,18.2,17.38
2021-10-22,17.89,16.68
2021-10-29,16.27,15.73
2021-11-05,16.36,15.52
2021-11-12,16.32,15.64
2021-11-19,16.29,15.29
2021-11-26,15.84,15.03
2021-12-03,15.99,14.99
2021-12-10,16.3,15.2
2021-12-17,16.41,15.32
2021-12-24,17.73,17.09
2021-12-31,20.77,19.53
2022-01-07,19.82,17.88
2022-01-14,19.41,17.72
2022-01-21,19.0,17.52
2022-01-28,18.84,17.55
2022-02-04,18.8,17.33
2022-02-11,18.42,16.91
2022-02-18,17.99,16.74
2022-02-25,17.23,16.19
2022-03-04,17.17,15.84
2022-03-11,17.17,15.65
2022-03-18,17.14,15.41
2022-03-25,17.06,15.6
2022-04-01,17.33,15.95
2022-04-08,16.97,15.51
2022-04-15,17.09,15.67
2022-04-22,16.98,15.68
2022-04-29,17.05,15.65
2022-05-06,16.93,15.37
2022-05-13,17.07,15.46
2022-05-20,16.83,15.47
2022-05-27,17.13,15.79
2022-06-03,17.59,15.79
2022-06-10,17.78,16.08
2022-06-17,18.55,16.34
2022-06-24,18.98,16.83
2022-07-01,19.27,17.15
2022-07-08,19.94,17.28
2022-07-15,19.43,17.1
2022-07-22,20.33,17.72
2022-07-29,19.99,17.64
2022-08-05,20.02,17.35
2022-08-12,19.53,17.32
2022-08-19,18.95,16.79
2022-08-26,18.32,16.31
2022-09-02,18.34,15.92
2022-09-09,19.11,16.16
2022-09-16,19.2,15.91
2022-09-23,18.93,15.79
2022-09-30,18.33,15.77
2022-10-07,18.73,15.75
2022-10-14,19.23,15.84
2022-10-21,19.11,15.4
2022-10-28,19.81,15.66
2022-11-04,20.88,15.89
2022-11-11,21.53,16.28
2022-11-18,20.69,15.91
2022-11-25,21.42,16.18
2022-12-02,21.92,16.28
2022-12-09,22.5,16.86
2022-12-16,22.99,16.86
2022-12-23,23.24,17.37
2022-12-30,24.17,18.56
2023-01-06,24.03,17.67
2023-01-13,24.02,17.81
2023-01-20,24.57,17.97
2023-01-27,25.31,18.33
2023-02-03,26.55,18.96
2023-02-10,26.88,19.03
2023-02-17,26.64,18.95
2023-02-24,26.95,19.41
2023-03-03,27.68,19.32
2023-03-10,27.83,19.49
2023-03-17,27.64,19.51
2023-03-24,28.1,19.97
2023-03-31,29.23,20.44
2023-04-07,28.96,20.51
2023-04-14,28.0,20.76
2023-04-21,27.68,20.74
2023-04-28,28.73,21.92
2023-05-05,29.05,21.12
2023-05-12,30.47,22.5
2023-05-19,32.45,23.57
2023-05-26,33.88,25.92
2023-06-02,37.39,26.93
2023-06-09,39.42,29.37
2023-06-16,40.72,30.32
2023-06-23,41.98,32.9
2023-06-30,38.45,30.11
2023-07-07,37.83,30.84
2023-07-14,34.99,27.83
2023-07-21,30.36,26.04
2023-07-28,29.32,25.22
2023-08-04,27.77,24.24
2023-08-11,29.06,24.81
2023-08-18,30.06,24.85
2023-08-25,30.76,26.01
2023-09-01,37.59,30.27
2023-09-08,40.87,31.59
2023-09-15,41.87,33.51
2023-09-22,42.74,34.57
2023-09-29,45.21,37.15
2023-10-06,45.49,37.15
2023-10-13,44.62,37.9
2023-10-20,43.74,37.45
2023-10-27,41.72,37.53
2023-11-03,44.49,40.09
2023-11-10,45.85,40.58
2023-11-17,46.25,40.78
2023-11-24,46.07,41.76
2023-12-01,49.33,44.02
2023-12-08,50.49,44.94
2023-12-15,52.17,45.8
2023-12-22,52.6,46.37
2023-12-29,52.5,47.06
2024-01-05,51.29,46.48
2024-01-12,51.05,46.18
2024-01-19,49.98,45.9
2024-01-26,49.61,46.36
2024-02-02,50.99,46.63
2024-02-09,50.93,46.48
2024-02-16,52.03,47.01
2024-02-23,51.89,46.82
2024-03-01,53.25,47.82
2024-03-08,53.63,48.2
2024-03-15,55.66,49.63
2024-03-22,59.52,52.01
2024-03-29,64.3,57.3
2024-04-05,67.48,59.54
2024-04-12,65.85,57.98
2024-04-19,68.88,60.34
2024-04-26,68.06,60.31
2024-05-03,68.03,61.05
2024-05-10,68.18,60.53
2024-05-17,63.71,58.68
2024-05-24,61.77,58.06
2024-05-31,61.0,57.54
2024-06-07,60.95,57.57
2024-06-14,60.28,57.1
2024-06-21,58.38,56.15
2024-06-28,59.17,56.36
2024-07-05,59.45,56.55
2024-07-12,59.56,56.16
2024-07-19,59.27,55.77
2024-07-26,59.25,55.75
2024-08-02,59.09,55.79
2024-08-09,58.48,55.2
2024-08-16,59.23,55.33
2024-08-23,59.06,55.47
2024-08-30,59.36,55.29
2024-09-06,59.27,55.95
2024-09-13,60.18,56.15
2024-09-20,59.84,56.26
2024-09-27,59.5,56.11
2024-10-04,59.76,56.26
2024-10-11,59.19,55.94
2024-10-18,59.64,56.06
2024-10-25,59.47,55.82
2024-11-01,58.98,56.02
2024-11-08,59.01,55.48
2024-11-15,58.97,55.99
2024-11-22,59.3,56.06
2024-11-29,59.18,55.93
2024-12-06,59.54,55.94
2024-12-13,59.24,56.21
2024-12-20,59.45,56.54
2024-12-27,59.16,55.68
2025-01-03,56.88,54.58
2025-01-10,55.64,53.55
2025-01-17,55.0,52.87
2025-01-24,53.58,51.83
2025-01-31,52.5,50.61
2025-02-07,52.5,50.64
2025-02-14,52.11,50.13
2025-02-21,51.76,50.17
2025-02-28,52.03,50.05
2025-03-07,51.45,49.18
2025-03-14,49.91,48.35
2025-03-21,49.98,48.77
2025-03-28,53.59,51.41
2025-04-04,53.75,51.57
2025-04-11,54.6,51.93
2025-04-18,55.68,53.35
2025-04-25,56.58,54.27
2025-05-02,57.9,55.86
2025-05-09,58.3,56.48
2025-05-16,59.24,56.95
2025-05-23,59.21,56.94
2025-05-30,59.32,57.24
2025-06-06,59.6,57.36
2025-06-13,58.64,56.69
2025-06-20,58.59,56.4
2025-06-27,57.8,56.19
2025-07-04,57.86,56.06
2025-07-11,57.03,54.72
2025-07-18,56.66,54.65
2025-07-25,54.97,52.52
2025-08-01,52.56,51.4
2025-08-08,52.32,51.0
2025-08-15,51.55,50.5
2025-08-22,51.68,50.41
2025-08-29,51.64,50.49
2025-09-05,51.0,50.1
2025-09-12,50.89,49.27
2025-09-19,49.49,48.61
2025-09-26,50.24,49.05
2025-10-03,49.95,48.64
2025-10-10,49.82,48.24
2025-10-17,50.14,48.45
2025-10-24,49.89,48.07
2025-10-31,48.13,47.25
2025-11-07,48.1,47.01
2025-11-14,47.58,46.69
2025-11-21,47.91,46.96
2025-11-28,47.84,46.92
2025-12-05,47.74,46.88
2025-12-12,46.92,45.96
2025-12-19,46.15,45.46
2025-12-26,45.73,45.34
2026-01-02,46.09,45.41
2026-01-09,45.79,44.98
2026-01-16,46.21,45.01
2026-01-23,45.09,44.0
2026-01-30,44.38,43.7
2026-02-06,44.8,43.97
2026-02-13,44.65,43.77
2026-02-20,44.8,43.74
2026-02-27,44.38,43.38
2026-03-06,44.82,44.39
2026-03-13,45.24,44.56
2026-03-20,45.68,44.9
2026-03-27,46.59,45.65
2026-04-03,48.8,47.11
2026-04-10,49.02,47.0
2026-04-17,49.09,47.16
2026-04-24,48.64,46.96
2026-05-01,49.08,47.44
2026-05-08,48.85,47.24
2026-05-15,48.96,47.25
2026-05-22,48.81,47.3
2026-05-29,48.5,46.93
2026-06-05,49.3,47.66
2026-06-12,49.36,47.53
2026-06-19,49.5,47.6
2026-06-26,49.2,47.43
2026-07-03,48.97,47.23
2026-07-10,48.27,47.05
2026-07-17,47.99,46.72
2026-07-24,47.83,46.92
2026-07-31,47.7,46.65
2026-08-07,47.91,46.64
2026-08-14,47.4,46.46
