dt,AB.N06
2018-05-25,140112630.0
2018-06-01,130835255.0
2018-06-08,135798410.0
2018-06-15,125965288.0
2018-06-22,143521610.0
2018-06-29,126229660.0
2018-07-06,129341036.0
2018-07-13,134244378.0
2018-07-20,136315629.0
2018-07-27,135192989.0
2018-08-03,150421254.0
2018-08-10,163472376.0
2018-08-17,166755326.0
2018-08-24,171187899.0
2018-08-31,171184739.0
2018-09-07,186210357.0
2018-09-14,179963877.0
2018-09-21,168635748.0
2018-09-28,160592061.0
2018-10-05,163956412.0
2018-10-12,152842077.0
2018-10-19,136780380.0
2018-10-26,152751344.0
2018-11-02,152304223.0
2018-11-09,148159350.0
2018-11-16,152542426.0
2018-11-23,147903426.0
2018-11-30,149087032.0
2018-12-07,156425449.0
2018-12-14,158467368.0
2018-12-21,153248823.0
2018-12-28,159352019.0
2019-01-04,159773254.0
2019-01-11,151572683.0
2019-01-18,155784563.0
2019-01-25,152778885.0
2019-02-01,165318381.0
2019-02-08,169107272.0
2019-02-15,171046331.0
2019-02-22,181193415.0
2019-03-01,187234531.0
2019-03-08,175078578.0
2019-03-15,155372160.0
2019-03-22,142157946.0
2019-03-29,164687798.0
2019-04-05,157289099.0
2019-04-12,162427491.0
2019-04-19,156259600.0
2019-04-26,152375576.0
2019-05-03,153949646.0
2019-05-10,165383319.0
2019-05-17,149279558.0
2019-05-24,162425243.0
2019-05-31,165375903.0
2019-06-07,166164417.0
2019-06-14,168486148.0
2019-06-21,162382353.0
2019-06-28,167205423.0
2019-07-05,168729186.0
2019-07-12,182635726.0
2019-07-19,180137253.0
2019-07-26,184020639.0
2019-08-02,179441827.0
2019-08-09,193375411.0
2019-08-16,192503382.0
2019-08-23,202526297.0
2019-08-30,203144412.0
2019-09-06,202324028.0
2019-09-13,198926577.0
2019-09-20,206582734.0
2019-09-27,202454873.0
2019-10-04,211152547.0
2019-10-11,215876924.0
2019-10-18,205193778.0
2019-10-25,202448439.0
2019-11-01,207181935.0
2019-11-08,199182383.0
2019-11-15,211299911.0
2019-11-22,213633094.0
2019-11-29,217735378.0
2019-12-06,219906580.0
2019-12-13,221457426.0
2019-12-20,235304216.0
2019-12-27,243910389.0
2020-01-03,243769705.0
2020-01-10,221065422.0
2020-01-17,222195242.0
2020-01-24,223455823.0
2020-01-31,220030068.0
2020-02-07,214704094.0
2020-02-14,227422371.0
2020-02-21,210128816.0
2020-02-28,234059592.0
2020-03-06,225948571.0
