dt,KREDI.L001
2010-10-15,435275936.0
2010-10-22,436169528.0
2010-10-29,440941292.0
2010-11-05,441606011.0
2010-11-12,448139803.0
2010-11-19,450263557.0
2010-11-26,455208400.0
2010-12-03,454692757.0
2010-12-10,460060009.0
2010-12-17,466304129.0
2010-12-24,470154392.0
2010-12-31,483818493.0
2011-01-07,479222933.0
2011-01-14,480540426.0
2011-01-21,482306249.0
2011-01-28,489178090.0
2011-02-04,489449336.0
2011-02-11,493701414.0
2011-02-18,497764223.0
2011-02-25,502741217.0
2011-03-04,505172547.0
2011-03-11,507576830.0
2011-03-18,510903891.0
2011-03-25,513524109.0
2011-04-01,519235695.0
2011-04-08,518627652.0
2011-04-15,524430307.0
2011-04-22,524984230.0
2011-04-29,533012983.0
2011-05-06,535990863.0
2011-05-13,542292960.0
2011-05-20,543287188.0
2011-05-27,550865746.0
2011-06-03,558421070.0
2011-06-10,557646124.0
2011-06-17,561656687.0
2011-06-24,566856269.0
2011-07-01,573479362.0
2011-07-08,572658038.0
2011-07-15,577403126.0
2011-07-22,578685675.0
2011-07-29,583267782.0
2011-08-05,586070250.0
2011-08-12,593563095.0
2011-08-19,595823083.0
2011-08-26,604571827.0
2011-09-02,600258351.0
2011-09-09,598803086.0
2011-09-16,601686695.0
2011-09-23,604964307.0
2011-09-30,616238426.0
2011-10-07,612759030.0
2011-10-14,616209986.0
2011-10-21,618628138.0
2011-10-28,616673895.0
2011-11-04,617365677.0
2011-11-11,616736270.0
2011-11-18,621831889.0
2011-11-25,625573251.0
2011-12-02,625211096.0
2011-12-09,627316928.0
2011-12-16,632021280.0
2011-12-23,632606687.0
2011-12-30,639126816.0
2012-01-06,634671074.0
2012-01-13,634900178.0
2012-01-20,632873640.0
2012-01-27,636181763.0
2012-02-03,632631278.0
2012-02-10,635134885.0
2012-02-17,637996765.0
2012-02-24,638819984.0
2012-03-02,641608450.0
2012-03-09,644115741.0
2012-03-16,647266641.0
2012-03-23,650186883.0
2012-03-30,659743743.0
2012-04-06,658400836.0
2012-04-13,661086940.0
2012-04-20,663061391.0
2012-04-27,668637840.0
2012-05-04,667227534.0
2012-05-11,674064609.0
2012-05-18,680627983.0
2012-05-25,683562177.0
2012-06-01,689994187.0
2012-06-08,688101256.0
2012-06-15,692790263.0
2012-06-22,689435632.0
2012-06-29,700578755.0
2012-07-06,697299172.0
2012-07-13,697539416.0
2012-07-20,695379691.0
2012-07-27,697431533.0
2012-08-03,700037537.0
2012-08-10,702103963.0
2012-08-17,705986412.0
2012-08-24,704038401.0
2012-08-31,714281050.0
2012-09-07,709687929.0
2012-09-14,713164412.0
2012-09-21,712296483.0
2012-09-28,721028089.0
2012-10-05,719641338.0
2012-10-12,723411905.0
2012-10-19,724642090.0
2012-10-26,724411598.0
2012-11-02,723458533.0
2012-11-09,725757404.0
2012-11-16,730979614.0
2012-11-23,731548432.0
2012-11-30,740445353.0
2012-12-07,740285907.0
2012-12-14,745268355.0
2012-12-21,748288947.0
2012-12-28,759762194.0
2013-01-04,756224271.0
2013-01-11,760261662.0
2013-01-18,758697514.0
2013-01-25,762355071.0
2013-02-01,767355837.0
2013-02-08,769325385.0
2013-02-15,773182088.0
2013-02-22,775545498.0
2013-03-01,782621076.0
2013-03-08,784336682.0
2013-03-15,790726814.0
2013-03-22,791918733.0
2013-03-29,802055367.0
2013-04-05,799904695.0
2013-04-12,805038347.0
2013-04-19,808066005.0
2013-04-26,815676222.0
2013-05-03,817177899.0
2013-05-10,823763713.0
2013-05-17,831102074.0
2013-05-24,841090268.0
2013-05-31,861174470.0
2013-06-07,862828118.0
2013-06-14,865834286.0
2013-06-21,878563066.0
2013-06-28,891250796.0
2013-07-05,892529451.0
2013-07-12,898406295.0
2013-07-19,895460475.0
2013-07-26,900005585.0
